,amenity,geometry,name
110,school,POINT (27.20876295162451 -32.83680244328733),Lower Primary School
111,school,POINT (27.22775879261294 -32.83499655174128),Kwasa Junior Primary School
112,school,POINT (27.23841318470163 -32.84128555188196),Ezikweni Lower Primary School
113,school,POINT (27.22553356009644 -32.8403380185828),Nobuntu Higher Primary School
114,school,POINT (27.22390317080622 -32.84098912441123),Nomhle Primary
115,university,POINT (27.42815472444661 -32.86144644612616),University of Fort Hare
116,school,POINT (27.44306719384164 -32.88652631501944),
117,school,POINT (27.44323261532089 -32.88988057880312),
118,school,POINT (27.3835606891516 -32.89456859897195),
119,school,POINT (27.41476270255177 -32.88112637432219),
