node_id,name,country,border,gauge_change,if_border_is_an_origin_or_destination,cost
1,Aktau,KAZ,FALSE,FALSE,FALSE, -   
2,Aktobe,KAZ,FALSE,FALSE,FALSE, -   
3,Aktogal,KAZ,FALSE,FALSE,FALSE, -   
4,Almaty,KAZ,FALSE,FALSE,FALSE, -   
5,Andijan,UBZ,TRUE,FALSE,FALSE,22.46
6,Angren,UBZ,FALSE,FALSE,FALSE, -   
7,Arys,KAZ,FALSE,FALSE,FALSE, -   
8,Ashgabat,TKM,FALSE,FALSE,FALSE, -   
9,Atrek,TKM,FALSE,FALSE,FALSE, -   
10,Baku,AZE,TRUE,TRUE,TRUE,25
11,Balkash,KAZ,FALSE,FALSE,FALSE, -   
12,Barq,IRA,FALSE,FALSE,FALSE, -   
14,Bereklet,TKM,FALSE,FALSE,FALSE, -   
15,Berlin,GER,FALSE,FALSE,FALSE, -   
16,Beynau,KAZ,FALSE,FALSE,FALSE, -   
17,Birlik,KAZ,FALSE,FALSE,FALSE, -   
18,Brest,BEL,TRUE,TRUE,TRUE,38.98
20,Chababar,IRA,FALSE,TRUE,FALSE,50
21,Dostyk,KAZ,TRUE,TRUE,FALSE,47.77
22,Dushanbe,TAJ,FALSE,FALSE,FALSE, -   
25,Fargona_or_Feghana,UBZ,FALSE,FALSE,FALSE, -   
26,Garmsar,IRA,FALSE,FALSE,FALSE, -   
27,Gomel,BEL,TRUE,FALSE,FALSE,23.7
28,Gorgan,IRA,FALSE,FALSE,FALSE, -   
29,Gryazi Lipetsk,RUS,FALSE,FALSE,FALSE, -   
30,Gyzylgaya,TKM,FALSE,FALSE,FALSE, -   
31,Hairatan,AFG,TRUE,TRUE,FALSE,52.87
32,Hamburg,GER,FALSE,FALSE,FALSE, -   
33,Herat,AFG,FALSE,TRUE,FALSE,25.47
34,istanbul or Edime,TKY,TRUE,FALSE,FALSE,23.7
35,Jizzaz,UBZ,FALSE,FALSE,FALSE, -   
36,Kara Suu,KGZ,TRUE,TRUE,FALSE,50.31
37,Karshi,UBZ,FALSE,FALSE,FALSE, -   
38,Kashgar,CHI,FALSE,FALSE,FALSE, -   
39,Khojadavlet/Farab,UBZ,FALSE,FALSE,FALSE, -   
40,Khorgos,CHI,FALSE,FALSE,FALSE, -   
41,Kiev,UKR,FALSE,FALSE,FALSE, -   
42,Mar e Sharif,AFG,FALSE,FALSE,FALSE, -   
43,Mary,TKM,FALSE,FALSE,FALSE, -   
45,Mashad,IRA,FALSE,FALSE,FALSE, -   
46,Mointy,KAZ,FALSE,FALSE,FALSE, -   
47,Odessa,UKR,TRUE,FALSE,FALSE,23.7
48,Orenburg,RUS,FALSE,FALSE,FALSE, -   
49,Osh,KRG,FALSE,FALSE,FALSE, -   
50,Pop,UBZ,FALSE,FALSE,FALSE, -   
51,Poti,GEO,FALSE,FALSE,FALSE, -   
52,Razi/Kapikoy,IRA,TRUE,FALSE,FALSE,24.93
53,Saksaulskaya,KAZ,FALSE,FALSE,FALSE, -   
54,Samarkand,UBZ,FALSE,FALSE,FALSE, -   
55,Saraks,IRA,TRUE,TRUE,FALSE,50.4
56,Saratov,RUS,FALSE,FALSE,FALSE, -   
57,Sari,IRA,FALSE,FALSE,FALSE, -   
58,Satay Junct,TKM,FALSE,FALSE,FALSE, -   
59,Sheberghan,AFG,FALSE,FALSE,FALSE, -   
60,Tashkent,UBZ,TRUE,FALSE,FALSE,23.7
61,Tatvan,TUK,FALSE,FALSE,FALSE, -   
62,Tbilisi,GEO,TRUE,TRUE,FALSE,51.54
63,Teheran,IRA,FALSE,FALSE,FALSE, -   
65,Termiz,UBZ,FALSE,FALSE,FALSE, -   
66,Torbat,IRA,FALSE,FALSE,FALSE, -   
67,Turkenbashi,TKM,FALSE,TRUE,FALSE,25
68,Turkmenabad,TKM,TRUE,FALSE,TRUE,26.16
69,Turpan,CHI,FALSE,FALSE,FALSE, -   
70,Turugart,KGZ,TRUE,FALSE,FALSE,23.7
71,Uren,UBZ,FALSE,FALSE,FALSE, -   
72,Van,TUK,FALSE,TRUE,FALSE,50
73,Vienna,AUS,FALSE,FALSE,FALSE, -   
74,Voronezh,RUS,FALSE,FALSE,FALSE, -   
75,Warsaw,POL,FALSE,FALSE,FALSE, -   
76,Zahedin,IRA,FALSE,FALSE,FALSE, -   
77,Zharyk,KAZ,FALSE,FALSE,FALSE, -   
78,Zhezkagan,KAZ,FALSE,FALSE,FALSE, -   
79,Lashkargah,AFG,FALSE,FALSE,FALSE, -   
80,Bahramcha,AFG,FALSE,FALSE,FALSE, -   
81,Gwadar,PAK,FALSE,TRUE,FALSE,50
82,Kars,TUR,TRUE,TRUE,FALSE,49.07
83,Shamtiq,AFG,TRUE,TRUE,FALSE,51.63
84,Rustawi,GEO,TRUE,FALSE,FALSE,24.93
85,Gomishan,IRA,TRUE,TRUE,FALSE,50.4
86,No Name,UBZ,FALSE,FALSE,FALSE, -   
87,Yaysan,KAZ,TRUE,FALSE,FALSE,23.7
88,Kunowice,POL,FALSE,FALSE,FALSE, -   
89,Kabul,AFG,FALSE,FALSE,FALSE, -   
90,Karachi,PAK,FALSE,FALSE,FALSE, -   
91,Mumbai,IND,FALSE,TRUE,FALSE,50
93,Mombasa,MAR,FALSE,TRUE,FALSE,50
94,Torkham,PAK,TRUE,TRUE,FALSE,55
92,Peshawar,PAK,FALSE,FALSE,FALSE, -   
