,node_ID,x,y,geometry
0,0,-21.7138473,64.1680006,POINT (-21.7138473 64.1680006)
1,1,-21.8745164,64.1279925,POINT (-21.8745164 64.1279925)
2,2,-21.9173875,64.1452034,POINT (-21.9173875 64.1452034)
3,3,-21.7458194,64.0618473,POINT (-21.7458194 64.0618473)
4,4,-21.9210807,64.1452822,POINT (-21.9210807 64.1452822)
5,5,-21.834957,64.0961907,POINT (-21.834957 64.09619069999999)
6,6,-21.8885449,64.1220724,POINT (-21.8885449 64.12207239999999)
7,7,-21.7928903,64.1454018,POINT (-21.7928903 64.1454018)
8,8,-21.758287,64.1304962,POINT (-21.758287 64.1304962)
9,9,-21.7319536,64.101026,POINT (-21.7319536 64.101026)
10,10,-21.8972147,64.1372808,POINT (-21.8972147 64.1372808)
11,11,-21.7624784,64.1428477,POINT (-21.7624784 64.1428477)
12,12,-21.459555,64.2932131,POINT (-21.459555 64.2932131)
13,13,-21.6694137,64.1613099,POINT (-21.6694137 64.16130990000001)
14,14,-21.8850675,64.1316238,POINT (-21.8850675 64.1316238)
15,15,-21.7273981,64.1684665,POINT (-21.7273981 64.16846649999999)
16,16,-21.9154899,64.1422564,POINT (-21.9154899 64.14225639999999)
17,17,-21.5675354,64.311681,POINT (-21.5675354 64.31168099999999)
18,18,-21.6074539,64.115444,POINT (-21.6074539 64.115444)
19,19,-21.5365159,64.1888785,POINT (-21.5365159 64.1888785)
20,20,-21.7989944,64.1215138,POINT (-21.7989944 64.1215138)
21,21,-21.9638952,64.1478414,POINT (-21.9638952 64.1478414)
22,22,-21.8559887,64.1026767,POINT (-21.8559887 64.1026767)
23,23,-21.9637001,64.1383292,POINT (-21.9637001 64.1383292)
24,24,-21.9314378,64.1452218,POINT (-21.9314378 64.1452218)
25,25,-21.7882358,64.1062307,POINT (-21.7882358 64.1062307)
26,26,-21.7289234,64.1646951,POINT (-21.7289234 64.1646951)
27,27,-21.7582819,64.1387669,POINT (-21.7582819 64.13876689999999)
28,28,-21.9512745,64.14207,POINT (-21.9512745 64.14207)
29,29,-21.7759093,64.14615,POINT (-21.7759093 64.14615000000001)
30,30,-22.0145449,64.1625175,POINT (-22.0145449 64.16251750000001)
31,31,-21.8310808,64.1018507,POINT (-21.8310808 64.1018507)
32,32,-21.7694428,64.142933,POINT (-21.7694428 64.142933)
33,33,-21.8416042,64.1065605,POINT (-21.8416042 64.1065605)
34,34,-21.5913428,64.1737187,POINT (-21.5913428 64.17371869999999)
