,VALUE,geometry,raster_value,x,y,NN,NN_dist,travel_time_to_closest_facility
0,44.99996185,POINT (69.46213259147625 41.41965809229342),[0.],69.46213259147625,41.41965809229342,4202418387,0.0004975216641818609,343.20726
1,44.99996185,POINT (69.4640241963923 41.41965809229342),[0.],69.4640241963923,41.41965809229342,2080926193,0.00027440751109032317,289.75608
2,33.06755447,POINT (69.44889135706387 41.41398327754526),[0.],69.44889135706387,41.413983277545256,4709277426,0.008250843154412504,604.3870199999999
3,33.06755447,POINT (69.45078296197993 41.41398327754526),[0.],69.45078296197993,41.413983277545256,4202527651,0.009405986388753498,158.40227999999996
4,43.65157318,POINT (69.44889135706387 41.4120916726292),[0.],69.44889135706387,41.4120916726292,4202527651,0.007080360793656686,158.40227999999996
5,130.80505371,POINT (69.44699975214782 41.40641685788104),[0.],69.44699975214782,41.40641685788104,4202527651,0.001427194833189993,158.40227999999996
6,130.80505371,POINT (69.44699975214782 41.40452525296499),[0.],69.44699975214782,41.40452525296499,4202527651,0.0008592309355594922,158.40227999999996
7,24.51616287,POINT (69.45078296197993 41.4120916726292),[0.],69.45078296197993,41.4120916726292,4202527649,0.007581107226483456,135.20531999999997
8,130.80505371,POINT (69.44889135706387 41.40641685788104),[0.],69.44889135706387,41.40641685788104,4202527649,0.0017141721638355746,135.20531999999997
9,40.69281387,POINT (69.44889135706387 41.40452525296499),[0.],69.44889135706387,41.40452525296499,4202527649,0.0002463069874611801,135.20531999999997
10,24.51616287,POINT (69.45267456689598 41.4120916726292),[0.],69.45267456689598,41.4120916726292,1132474314,0.007928692690056452,94.94525999999999
11,40.69281387,POINT (69.45078296197993 41.40641685788104),[0.],69.45078296197993,41.40641685788104,1132474314,0.0023562079585757473,94.94525999999999
12,40.69281387,POINT (69.45078296197993 41.40452525296499),[0.],69.45078296197993,41.40452525296499,1132474314,0.0009226301381191616,94.94525999999999
13,35.79085159,POINT (69.45456617181203 41.4120916726292),[0.],69.45456617181203,41.4120916726292,2080925887,0.007275560830848471,38.80188
14,10.07678795,POINT (69.45645777672809 41.4120916726292),[0.],69.45645777672809,41.4120916726292,2080925919,0.006316066397645895,21.8736
15,10.07678795,POINT (69.45834938164414 41.4120916726292),[0.],69.45834938164414,41.4120916726292,2080925919,0.0055223416895503205,21.8736
16,3.36161494,POINT (69.45834938164414 41.41020006771315),[0.],69.45834938164414,41.41020006771315,2080925919,0.003742828317666548,21.8736
17,8.12564945,POINT (69.45834938164414 41.40830846279709),[0.],69.45834938164414,41.408308462797095,2080925919,0.0021627778923840914,21.8736
18,26.89606667,POINT (69.46024098656019 41.40830846279709),[0.],69.4602409865602,41.408308462797095,2080925919,0.0015612525501458503,21.8736
19,34.15132523,POINT (69.46591580130836 41.4120916726292),[0.],69.46591580130836,41.4120916726292,5884747954,0.0008642014624635849,0.0
20,34.15132523,POINT (69.46780740622441 41.4120916726292),[0.],69.46780740622441,41.4120916726292,4574605349,0.000678180873316178,17.180099999999996
21,10.93261147,POINT (69.46969901114046 41.4120916726292),[0.12924],69.46969901114046,41.4120916726292,4574605348,0.0010590370767716171,189.19151999999997
22,16.40596771,POINT (69.45645777672809 41.41020006771315),[0.],69.45645777672809,41.41020006771315,2080925893,0.00469820269714574,37.07916
23,26.30425644,POINT (69.45834938164414 41.40641685788104),[0.],69.45834938164414,41.40641685788104,2080925893,0.000493390271168874,37.07916
24,3.36161494,POINT (69.46024098656019 41.41020006771315),[0.],69.4602409865602,41.41020006771315,4574605346,0.003039079087397824,1.17288
25,26.89606667,POINT (69.46213259147625 41.40830846279709),[0.],69.46213259147625,41.408308462797095,4574605346,0.0006894291784166534,1.17288
26,142.63314819,POINT (69.4640241963923 41.41020006771315),[0.],69.4640241963923,41.41020006771315,4574605353,0.0011075169673931576,43.91598
27,142.63314819,POINT (69.46591580130836 41.41020006771315),[0.],69.46591580130836,41.41020006771315,2081785483,0.0019019241169979117,10.336680000000001
28,251.85395813,POINT (69.4640241963923 41.40830846279709),[0.],69.4640241963923,41.408308462797095,4574558600,0.0006640103674244439,13.483860000000002
29,112.45316315,POINT (69.43186691281939 41.40641685788104),[0.],69.43186691281939,41.40641685788104,4709277423,0.0009712976352474484,407.5246199999999
30,112.45316315,POINT (69.43375851773544 41.40641685788104),[0.],69.43375851773544,41.40641685788104,2086742995,0.0011266661090550303,349.70681999999994
31,101.10720825,POINT (69.44510814723176 41.40641685788104),[0.],69.44510814723176,41.40641685788104,2080836267,0.0012369870617923984,206.8914
32,9.80277157,POINT (69.45645777672809 41.40641685788104),[0.],69.45645777672809,41.40641685788104,2080925885,0.0013712107526179516,23.273999999999997
33,26.30425644,POINT (69.46024098656019 41.40641685788104),[0.103],69.4602409865602,41.40641685788104,4202418378,0.00039073200851401244,6.01434
34,185.62536621,POINT (69.46213259147625 41.40641685788104),[0.],69.46213259147625,41.40641685788104,4202418377,0.0005355114551954668,30.611520000000002
35,185.62536621,POINT (69.4640241963923 41.40641685788104),[0.317],69.4640241963923,41.40641685788104,581102580,0.00097936972383391,53.83746
36,156.24208069,POINT (69.46591580130836 41.40641685788104),[0.433],69.46591580130836,41.40641685788104,1133522669,0.0004156348647050866,66.9195
37,54.99842834,POINT (69.46780740622441 41.40641685788104),[0.2846],69.46780740622441,41.40641685788104,2083126937,0.000692101884879779,156.35682
38,54.99842834,POINT (69.46969901114046 41.40641685788104),[0.1193],69.46969901114046,41.40641685788104,4574589914,0.0007573416697071796,131.04468
39,112.45316315,POINT (69.43186691281939 41.40452525296499),[0.],69.43186691281939,41.40452525296499,2086742993,0.00031525906554061956,325.53245999999996
40,101.10720825,POINT (69.44321654231571 41.40452525296499),[0.103],69.44321654231571,41.40452525296499,5886769081,0.0007749025544224959,179.25966
41,101.10720825,POINT (69.44510814723176 41.40452525296499),[0.],69.44510814723176,41.40452525296499,2080836169,0.0004810554516224372,174.19176000000002
42,9.80277157,POINT (69.45456617181203 41.40452525296499),[0.],69.45456617181203,41.40452525296499,2080925873,0.0005727339811637091,54.665400000000005
