,D_UID,O_UID,DIST,O_POP,D_POP
0,D_1,O_1,0.0,1,9112.0
1,D_2,O_1,49473.3,1,8692.0
2,D_6,O_1,112214.8,1,2645.0
3,D_7,O_1,150623.7,1,3844.0
4,D_10,O_1,154489.5,1,5483.0
5,D_11,O_1,92143.9,1,5681.0
6,D_12,O_1,94468.0,1,8054.0
7,D_13,O_1,174800.2,1,1452.0
8,D_1,O_2,49578.9,1,9112.0
9,D_2,O_2,0.0,1,8692.0
10,D_6,O_2,65295.5,1,2645.0
11,D_7,O_2,103704.4,1,3844.0
12,D_10,O_2,107570.2,1,5483.0
13,D_11,O_2,45224.6,1,5681.0
14,D_12,O_2,47548.7,1,8054.0
15,D_13,O_2,129037.5,1,1452.0
16,D_3,O_3,185077.6,1,1015.0
17,D_5,O_3,38195.1,1,2109.0
18,D_4,O_4,44250.2,1,5324.0
19,D_8,O_4,37924.8,1,8821.0
20,D_4,O_5,0.0,1,5324.0
21,D_8,O_5,11061.0,1,8821.0
22,D_1,O_6,104566.5,1,9112.0
23,D_2,O_6,57548.4,1,8692.0
24,D_6,O_6,7308.7,1,2645.0
25,D_7,O_6,45717.6,1,3844.0
26,D_10,O_6,49583.4,1,5483.0
27,D_11,O_6,49750.9,1,5681.0
28,D_12,O_6,13565.7,1,8054.0
29,D_13,O_6,103501.8,1,1452.0
30,D_1,O_7,111878.7,1,9112.0
31,D_2,O_7,64860.6,1,8692.0
32,D_6,O_7,0.0,1,2645.0
33,D_7,O_7,38605.6,1,3844.0
34,D_10,O_7,42471.4,1,5483.0
35,D_11,O_7,57063.1,1,5681.0
36,D_12,O_7,20877.9,1,8054.0
37,D_13,O_7,96389.8,1,1452.0
38,D_1,O_8,150114.4,1,9112.0
39,D_2,O_8,103096.3,1,8692.0
40,D_6,O_8,38439.4,1,2645.0
41,D_7,O_8,0.0,1,3844.0
42,D_10,O_8,14536.5,1,5483.0
43,D_11,O_8,95298.8,1,5681.0
44,D_12,O_8,59113.6,1,8054.0
45,D_13,O_8,59667.1,1,1452.0
46,D_4,O_9,11799.9,1,5324.0
47,D_8,O_9,0.0,1,8821.0
48,D_9,O_10,0.0,1,5688.0
49,D_1,O_11,154122.5,1,9112.0
50,D_2,O_11,107104.4,1,8692.0
51,D_6,O_11,42447.5,1,2645.0
52,D_7,O_11,14622.9,1,3844.0
53,D_10,O_11,0.0,1,5483.0
54,D_11,O_11,99306.9,1,5681.0
55,D_12,O_11,63121.7,1,8054.0
56,D_13,O_11,70675.5,1,1452.0
57,D_1,O_12,92436.5,1,9112.0
58,D_2,O_12,45418.4,1,8692.0
59,D_6,O_12,57662.7,1,2645.0
60,D_7,O_12,96071.6,1,3844.0
61,D_10,O_12,99937.4,1,5483.0
62,D_11,O_12,0.0,1,5681.0
63,D_12,O_12,39915.9,1,8054.0
64,D_13,O_12,121404.7,1,1452.0
65,D_16,O_1,126565.3,1,3780.0
66,D_17,O_1,132300.4,1,8806.0
67,D_18,O_1,122029.4,1,3667.0
68,D_19,O_1,157754.9,1,2140.0
69,D_21,O_1,142958.5,1,9312.0
70,D_22,O_1,87929.3,1,993.0
71,D_23,O_1,90970.1,1,6363.0
72,D_24,O_1,164712.7,1,9398.0
73,D_25,O_1,145897.5,1,4480.0
74,D_26,O_1,8556.2,1,5010.0
75,D_16,O_2,106410.8,1,3780.0
76,D_17,O_2,112145.9,1,8806.0
77,D_18,O_2,75110.1,1,3667.0
78,D_19,O_2,110835.6,1,2140.0
79,D_21,O_2,96039.2,1,9312.0
80,D_22,O_2,67354.0,1,993.0
81,D_23,O_2,44050.8,1,6363.0
82,D_24,O_2,117793.4,1,9398.0
83,D_25,O_2,98978.2,1,4480.0
84,D_26,O_2,57659.8,1,5010.0
85,D_20,O_4,35844.7,1,485.0
86,D_20,O_5,9713.9,1,485.0
87,D_16,O_6,113971.0,1,3780.0
88,D_17,O_6,118044.8,1,8806.0
