,NAME,geometry
0,26005000,"LINESTRING (244300.0210999995 3338563.5055, 244276.1172212116 3338563.805070707, 244252.2133424238 3338564.104641414, 244228.3094636359 3338564.404212121, 244204.405584848 3338564.703782829, 244180.5017060601 3338565.003353535, 244156.5978272723 3338565.302924242, 244132.6939484844 3338565.602494949, 244108.7900696965 3338565.902065657, 244084.8861909086 3338566.201636364, 244060.9823121208 3338566.501207071, 244037.0784333329 3338566.800777778, 244013.1745545451 3338567.100348485, 243989.2706757572 3338567.399919192, 243965.3667969693 3338567.699489899, 243941.4629181814 3338567.999060606, 243917.5590393936 3338568.298631313, 243893.6551606057 3338568.59820202, 243869.7512818178 3338568.897772728, 243845.8474030299 3338569.197343435, 243821.9435242421 3338569.496914142, 243798.0396454542 3338569.796484848, 243774.1357666663 3338570.096055556, 243750.2318878785 3338570.395626263, 243726.3280090906 3338570.69519697, 243702.4241303027 3338570.994767677, 243678.5202515149 3338571.294338384, 243654.616372727 3338571.593909091, 243630.7124939391 3338571.893479798, 243606.8086151512 3338572.193050505, 243582.9047363634 3338572.492621212, 243559.0008575755 3338572.792191919, 243535.0969787876 3338573.091762627, 243511.1930999998 3338573.391333334, 243487.2892212119 3338573.690904041, 243463.385342424 3338573.990474748, 243439.4814636362 3338574.290045455, 243415.5775848483 3338574.589616162, 243391.6737060604 3338574.889186869, 243367.7698272725 3338575.188757576, 243343.8659484847 3338575.488328283)"
1,20000000,"LINESTRING (311583.6619999995 3390984.3211, 311577.2086474995 3391003.8123375, 311570.7552949995 3391023.303575, 311564.3019424995 3391042.7948125, 311557.8485899995 3391062.28605, 311551.3952374996 3391081.7772875, 311544.9418849996 3391101.268525, 311538.4885324996 3391120.7597625, 311532.0351799996 3391140.251, 311525.5818274996 3391159.7422375, 311519.1284749996 3391179.233475, 311512.6751224996 3391198.7247125, 311506.2217699997 3391218.21595, 311499.7684174997 3391237.7071875, 311493.3150649997 3391257.198425, 311486.8617124997 3391276.6896625, 311480.4083599997 3391296.1809, 311473.9550074997 3391315.6721375, 311467.5016549997 3391335.163375, 311461.0483024998 3391354.6546125, 311454.5949499998 3391374.14585, 311448.1415974998 3391393.6370875, 311441.6882449999 3391413.128325, 311435.2348924999 3391432.6195625, 311428.7815399999 3391452.1108, 311422.3281874999 3391471.6020375, 311415.8748349999 3391491.093275, 311409.4214824999 3391510.5845125, 311402.9681299999 3391530.07575, 311396.5147774999 3391549.5669875, 311390.061425 3391569.058225, 311383.6080725 3391588.5494625, 311377.15472 3391608.0407, 311370.7013675 3391627.5319375, 311364.248015 3391647.023175, 311357.7946625 3391666.5144125, 311351.34131 3391686.00565, 311344.8879575001 3391705.4968875, 311338.4346050001 3391724.988125, 311331.9812525001 3391744.4793625, 311325.5279000001 3391763.9706, 311319.3753809525 3391783.9349)"
2,21000000,"LINESTRING (310431.1690999996 3390612.8708, 310420.1916799996 3390635.31138, 310409.2142599996 3390657.75196, 310398.2368399997 3390680.19254, 310387.2594199997 3390702.63312, 310376.2819999997 3390725.0737, 310352.5508666664 3390720.67905, 310328.8197333332 3390716.2844, 310305.0885999999 3390711.889750001, 310281.3574666666 3390707.495100001, 310257.6263333334 3390703.100450001, 310233.8952000001 3390698.705800001, 310208.2806285715 3390699.459171429, 310182.6660571429 3390700.212542858, 310157.0514857143 3390700.965914286, 310131.4369142858 3390701.719285715, 310105.8223428572 3390702.472657143, 310080.2077714286 3390703.226028572, 310054.5932 3390703.9794, 310030.2535615384 3390714.932238461, 310005.9139230768 3390725.885076923, 309981.5742846153 3390736.837915385, 309957.2346461537 3390747.790753846, 309932.8950076921 3390758.743592308, 309908.5553692305 3390769.696430769, 309884.215730769 3390780.649269231, 309859.8760923074 3390791.602107692, 309835.5364538458 3390802.554946154, 309811.1968153842 3390813.507784615, 309786.8571769227 3390824.460623077, 309762.5175384611 3390835.413461538, 309738.1778999995 3390846.3663, 309717.2320971826 3390863.301202817, 309696.2862943657 3390880.236105634, 309675.3404915488 3390897.17100845, 309654.3946887319 3390914.105911267, 309633.448885915 3390931.040814084, 309612.5030830981 3390947.975716901, 309591.5572802812 3390964.910619718, 309570.6114774643 3390981.845522535, 309549.6656746474 3390998.780425352, 309528.7198718305 3391015.715328169, 309507.7740690136 3391032.650230986)"
3,34000000,"LINESTRING (268005.1865999997 3382038.088, 268005.3369786664 3382042.047462667, 268005.4873573331 3382046.006925333, 268005.6377359997 3382049.966388, 268005.7881146664 3382053.925850667, 268005.9384933331 3382057.885313333, 268006.0888719998 3382061.844776, 268006.2392506664 3382065.804238667, 268006.3896293331 3382069.763701333, 268006.5400079997 3382073.723164, 268006.6903866664 3382077.682626667, 268006.8407653331 3382081.642089333, 268006.9911439997 3382085.601552, 268007.1415226664 3382089.561014667, 268007.2919013331 3382093.520477334, 268007.4422799998 3382097.47994, 268007.5926586664 3382101.439402667, 268007.7430373331 3382105.398865334, 268007.8934159998 3382109.358328, 268008.0437946664 3382113.317790667, 268008.1941733331 3382117.277253333, 268008.3445519998 3382121.236716, 268008.4949306665 3382125.196178667, 268008.6453093331 3382129.155641334, 268008.7956879998 3382133.115104, 268008.9460666665 3382137.074566667, 268009.0964453331 3382141.034029334, 268009.2468239998 3382144.993492, 268009.3972026664 3382148.952954667, 268009.5475813331 3382152.912417334, 268009.6979599998 3382156.87188, 268009.8483386665 3382160.831342667, 268009.9987173331 3382164.790805334, 268010.1490959998 3382168.750268, 268010.2994746665 3382172.709730667, 268010.4498533331 3382176.669193334, 268010.6002319998 3382180.628656, 268010.7506106665 3382184.588118667, 268010.9009893332 3382188.547581334)"
