,NAME,geometry
0,26005000,"LINESTRING (241933.5371000003 3338593.163000001, 241957.4409787882 3338592.863429294, 241981.344857576 3338592.563858587, 242005.2487363639 3338592.26428788, 242029.1526151518 3338591.964717173, 242053.0564939397 3338591.665146466, 242076.9603727275 3338591.365575759, 242100.8642515154 3338591.066005052, 242124.7681303033 3338590.766434344, 242148.6720090912 3338590.466863637, 242172.575887879 3338590.16729293, 242196.4797666669 3338589.867722223, 242220.3836454547 3338589.568151516, 242244.2875242426 3338589.268580809, 242268.1914030305 3338588.969010102, 242292.0952818184 3338588.669439395, 242315.9991606062 3338588.369868688, 242339.9030393941 3338588.070297981, 242363.806918182 3338587.770727274, 242387.7107969699 3338587.471156566, 242411.6146757577 3338587.171585859)"
1,20000000,"LINESTRING (310919.4616 3392929.433700001, 310927.6649611111 3392911.269116668, 310935.8683222223 3392893.104533334, 310944.0716833334 3392874.93995, 310952.2750444445 3392856.775366667, 310960.4784055557 3392838.610783334, 310968.6817666668 3392820.446200001, 310976.8851277779 3392802.281616667, 310985.088488889 3392784.117033334, 310993.2918500002 3392765.952450001, 311001.4952111113 3392747.787866667, 311009.6985722224 3392729.623283334, 311017.9019333335 3392711.4587, 311026.1052944447 3392693.294116667, 311034.3086555558 3392675.129533334, 311042.5120166669 3392656.96495, 311050.715377778 3392638.800366667, 311058.9187388892 3392620.635783333, 311067.1221000003 3392602.4712, 311073.2746190479 3392582.5069, 311079.4271380955 3392562.5426, 311085.5796571432 3392542.5783)"
2,21000000,"LINESTRING (308251.0258999998 3392048.7444, 308271.9717028167 3392031.809497183, 308292.9175056336 3392014.874594366, 308313.8633084504 3391997.93969155, 308334.8091112674 3391981.004788733, 308355.7549140843 3391964.069885916, 308376.7007169012 3391947.134983099, 308397.6465197181 3391930.200080282, 308418.5923225349 3391913.265177465, 308439.5381253518 3391896.330274648, 308460.4839281688 3391879.395371831, 308481.4297309857 3391862.460469014, 308502.3755338026 3391845.525566197, 308523.3213366194 3391828.59066338, 308544.2671394363 3391811.655760563, 308565.2129422532 3391794.720857746, 308586.1587450701 3391777.78595493, 308607.1045478871 3391760.851052113, 308628.0503507039 3391743.916149296, 308648.9961535208 3391726.981246479, 308669.9419563377 3391710.046343662, 308690.8877591546 3391693.111440845)"
3,34000000,"LINESTRING (268014.6934000002 3382405.911800001, 268014.7918222224 3382401.974905557, 268014.8902444447 3382398.038011112, 268014.9886666668 3382394.101116668, 268015.087088889 3382390.164222223, 268015.1855111112 3382386.227327778, 268015.2839333335 3382382.290433334, 268015.3823555557 3382378.35353889, 268015.4807777778 3382374.416644445, 268015.5792 3382370.479750001, 268015.6776222223 3382366.542855557, 268015.7760444445 3382362.605961112, 268015.8744666667 3382358.669066668, 268015.9728888889 3382354.732172223, 268016.0713111111 3382350.795277779, 268016.1697333333 3382346.858383334, 268016.2681555555 3382342.92148889, 268016.3665777777 3382338.984594445, 268016.4649999999 3382335.047700001, 268016.3146213333 3382331.088237334)"
