,o,d,w,geometry
87,60,54,853,"LINESTRING (69.23343231 41.26065019, 66.98020844 39.62957641)"
88,21,69,37,"LINESTRING (82.48801228000001 45.25034389, 89.18466843 42.94997926)"
89,38,69,131,"LINESTRING (75.99370752999999 39.46768501, 89.18466843 42.94997926)"
90,40,69,173,"LINESTRING (80.41189971999999 44.21606721, 89.18466843 42.94997926)"
91,22,37,85,"LINESTRING (68.78590278999999 38.55653717, 65.78841394 38.82557846)"
92,39,37,59,"LINESTRING (63.74607083 39.36407461, 65.78841394 38.82557846)"
93,54,37,480,"LINESTRING (66.98020844 39.62957641, 65.78841394 38.82557846)"
94,65,37,424,"LINESTRING (67.28312911 37.21646347, 65.78841394 38.82557846)"
95,25,5,288,"LINESTRING (71.79785386 40.37339112, 72.28458996000001 40.8147501)"
96,36,5,225,"LINESTRING (72.86263520999999 40.70247245, 72.28458996000001 40.8147501)"
97,25,35,342,"LINESTRING (71.79785386 40.37339112, 67.85315559 40.13305512)"
98,54,35,411,"LINESTRING (66.98020844 39.62957641, 67.85315559 40.13305512)"
99,26,45,250,"LINESTRING (52.34042847 35.21924642, 59.61582533 36.26611183)"
100,55,45,631,"LINESTRING (61.15922124 36.54104309, 59.61582533 36.26611183)"
101,66,45,525,"LINESTRING (59.21328001 35.27868594, 59.61582533 36.26611183)"
102,26,57,181,"LINESTRING (52.34042847 35.21924642, 53.05863279 36.565873)"
103,28,57,150,"LINESTRING (54.44019416 36.84348588, 53.05863279 36.565873)"
104,27,74,161,"LINESTRING (30.99317931 52.43127856, 39.20856173 51.67575155)"
105,29,74,183,"LINESTRING (39.95971603 52.49085216, 39.20856173 51.67575155)"
106,29,56,225,"LINESTRING (39.95971603 52.49085216, 45.95946903 51.59256682)"
107,48,56,273,"LINESTRING (55.13169023 51.80194159, 45.95946903 51.59256682)"
108,30,86,323,"LINESTRING (55.46618118 40.61855253, 54.08822458 42.62386834)"
109,71,86,374,"LINESTRING (52.86168652 43.33678337, 54.08822458 42.62386834)"
110,31,42,323,"LINESTRING (67.42061344 37.21137416, 67.11609055 36.69681358)"
111,59,42,277,"LINESTRING (65.74920704 36.68168619, 67.11609055 36.69681358)"
112,31,65,373,"LINESTRING (67.42061344 37.21137416, 67.28312911 37.21646347)"
113,37,65,423,"LINESTRING (65.78841394 38.82557846, 67.28312911 37.21646347)"
114,32,15,151,"LINESTRING (10.00963148 53.55414303, 13.41935921 52.52253403)"
115,88,15,86,"LINESTRING (14.62586159 52.34048289, 13.41935921 52.52253403)"
116,32,34,245,"LINESTRING (10.00963148 53.55414303, 28.98070043 41.00778604)"
117,61,34,405,"LINESTRING (42.28149859 38.50486424, 28.98070043 41.00778604)"
118,73,34,353,"LINESTRING (16.37753292 48.19377011, 28.98070043 41.00778604)"
119,82,34,865,"LINESTRING (43.0978799 40.60092735, 28.98070043 41.00778604)"
120,32,41,37,"LINESTRING (10.00963148 53.55414303, 30.52222268 50.44866769)"
121,47,41,86,"LINESTRING (30.72329767 46.48276031, 30.52222268 50.44866769)"
122,33,59,275,"LINESTRING (62.20145163 34.33952939, 65.74920704 36.68168619)"
123,42,59,276,"LINESTRING (67.11609055 36.69681358, 65.74920704 36.68168619)"
124,33,79,249,"LINESTRING (62.20145163 34.33952939, 64.40820458 31.60953352)"
125,80,79,168,"LINESTRING (64.0384184 29.4371003, 64.40820458 31.60953352)"
126,33,83,282,"LINESTRING (62.20145163 34.33952939, 60.83747644 34.52863651)"
127,66,83,286,"LINESTRING (59.21328001 35.27868594, 60.83747644 34.52863651)"
128,34,61,405,"LINESTRING (28.98070043 41.00778604, 42.28149859 38.50486424)"
129,72,61,328,"LINESTRING (43.37413414 38.50423991, 42.28149859 38.50486424)"
130,34,82,866,"LINESTRING (28.98070043 41.00778604, 43.0978799 40.60092735)"
131,62,82,896,"LINESTRING (44.82710578 41.71513710000001, 43.0978799 40.60092735)"
132,84,82,18,"LINESTRING (45.05190277 41.50592851, 43.0978799 40.60092735)"
133,36,49,85,"LINESTRING (72.86263520999999 40.70247245, 72.81062618 40.52017458)"
134,36,70,101,"LINESTRING (72.86263520999999 40.70247245, 75.41075578 40.5748001)"
135,38,70,114,"LINESTRING (75.99370752999999 39.46768501, 75.41075578 40.5748001)"
136,37,22,85,"LINESTRING (65.78841394 38.82557846, 68.78590278999999 38.55653717)"
137,39,19,17,"LINESTRING (63.74607083 39.36407461, 64.4555769 39.76808273)"
138,54,19,68,"LINESTRING (66.98020844 39.62957641, 64.4555769 39.76808273)"
139,39,68,362,"LINESTRING (63.74607083 39.36407461, 63.57481917 39.08876273)"
140,68b,68,361,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
141,41,47,86,"LINESTRING (30.52222268 50.44866769, 30.72329767 46.48276031)"
142,51,47,137,"LINESTRING (41.67139822 42.15826004, 30.72329767 46.48276031)"
143,42,31,324,"LINESTRING (67.11609055 36.69681358, 67.42061344 37.21137416)"
144,65,31,372,"LINESTRING (67.28312911 37.21646347, 67.42061344 37.21137416)"
145,43,8,613,"LINESTRING (61.91467015 37.52891078, 58.31629783 37.94392081)"
146,67,8,625,"LINESTRING (52.96318620000001 40.02016264, 58.31629783 37.94392081)"
147,43,58,723,"LINESTRING (61.91467015 37.52891078, 61.15050175 37.41207242)"
148,55,58,675,"LINESTRING (61.15922124 36.54104309, 61.15050175 37.41207242)"
149,43,68b,370,"LINESTRING (61.91467015 37.52891078, 63.57481917 39.08876273)"
150,68,68b,361,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
151,45,26,250,"LINESTRING (59.61582533 36.26611183, 52.34042847 35.21924642)"
152,57,26,181,"LINESTRING (53.05863279 36.565873, 52.34042847 35.21924642)"
153,45,55,630,"LINESTRING (59.61582533 36.26611183, 61.15922124 36.54104309)"
154,58,55,676,"LINESTRING (61.15050175 37.41207242, 61.15922124 36.54104309)"
155,46,77,134,"LINESTRING (73.64416328999999 47.31926529, 72.83405148999999 48.85597607)"
156,78,77,199,"LINESTRING (67.70239591000001 47.79641488, 72.83405148999999 48.85597607)"
157,47,51,137,"LINESTRING (30.72329767 46.48276031, 41.67139822 42.15826004)"
158,62,51,212,"LINESTRING (44.82710578 41.71513710000001, 41.67139822 42.15826004)"
159,50,6,83,"LINESTRING (71.10627429 40.88094522, 70.07422952 41.00845288)"
160,60,6,152,"LINESTRING (69.23343231 41.26065019, 70.07422952 41.00845288)"
161,52,63,168,"LINESTRING (44.34096705 38.48807268, 51.42322354 35.69698355)"
162,52,72,249,"LINESTRING (44.34096705 38.48807268, 43.37413414 38.50423991)"
163,61,72,328,"LINESTRING (42.28149859 38.50486424, 43.37413414 38.50423991)"
164,53,2,452,"LINESTRING (60.31394877 47.04978092, 57.16692971 50.28388335)"
165,87,2,386,"LINESTRING (56.20262023 50.84645319, 57.16692971 50.28388335)"
166,53,78,274,"LINESTRING (60.31394877 47.04978092, 67.70239591000001 47.79641488)"
167,77,78,199,"LINESTRING (72.83405148999999 48.85597607, 67.70239591000001 47.79641488)"
168,56,29,226,"LINESTRING (45.95946903 51.59256682, 39.95971603 52.49085216)"
169,74,29,182,"LINESTRING (39.20856173 51.67575155, 39.95971603 52.49085216)"
170,56,48,272,"LINESTRING (45.95946903 51.59256682, 55.13169023 51.80194159)"
171,87,48,324,"LINESTRING (56.20262023 50.84645319, 55.13169023 51.80194159)"
172,57,28,150,"LINESTRING (53.05863279 36.565873, 54.44019416 36.84348588)"
173,85,28,167,"LINESTRING (54.07386257 37.06484182, 54.44019416 36.84348588)"
174,59,33,274,"LINESTRING (65.74920704 36.68168619, 62.20145163 34.33952939)"
175,79,33,249,"LINESTRING (64.40820458 31.60953352, 62.20145163 34.33952939)"
176,83,33,283,"LINESTRING (60.83747644 34.52863651, 62.20145163 34.33952939)"
177,62,84,67,"LINESTRING (44.82710578 41.71513710000001, 45.05190277 41.50592851)"
178,82,84,18,"LINESTRING (43.0978799 40.60092735, 45.05190277 41.50592851)"
179,63,52,168,"LINESTRING (51.42322354 35.69698355, 44.34096705 38.48807268)"
180,72,52,249,"LINESTRING (43.37413414 38.50423991, 44.34096705 38.48807268)"
181,66,12,249,"LINESTRING (59.21328001 35.27868594, 48.04265399 37.97703989999999)"
182,76,12,168,"LINESTRING (60.88055637 29.49568135, 48.04265399 37.97703989999999)"
183,69,38,131,"LINESTRING (89.18466843 42.94997926, 75.99370752999999 39.46768501)"
184,70,38,114,"LINESTRING (75.41075578 40.5748001, 75.99370752999999 39.46768501)"
185,73,18,287,"LINESTRING (16.37753292 48.19377011, 23.76366624 52.09965070000001)"
186,75,18,98,"LINESTRING (20.97265547 52.17848205, 23.76366624 52.09965070000001)"
187,18b,18,173,"LINESTRING (23.76366624 52.09965070000001, 23.76366624 52.09965070000001)"
188,74,27,162,"LINESTRING (39.20856173 51.67575155, 30.99317931 52.43127856)"
189,18b,27,160,"LINESTRING (23.76366624 52.09965070000001, 30.99317931 52.43127856)"
190,76,20,85,"LINESTRING (60.88055637 29.49568135, 60.6459286 25.29687798)"
191,79,80,168,"LINESTRING (64.40820458 31.60953352, 64.0384184 29.4371003)"
192,81,80,85,"LINESTRING (62.29134860000001 25.23313981, 64.0384184 29.4371003)"
193,80,81,85,"LINESTRING (64.0384184 29.4371003, 62.29134860000001 25.23313981)"
