,o,d,w,geometry
0,1,10,980,"LINESTRING (51.19423615 43.6500856, 49.86637319 40.40943762)"
1,62,10,1183,"LINESTRING (44.82710578 41.71513710000001, 49.86637319 40.40943762)"
2,67,10,643,"LINESTRING (52.96318620000001 40.02016264, 49.86637319 40.40943762)"
3,1,16,1044,"LINESTRING (51.19423615 43.6500856, 55.18184777 45.32223604)"
4,53,16,1045,"LINESTRING (60.31394877 47.04978092, 55.18184777 45.32223604)"
5,1,71,443,"LINESTRING (51.19423615 43.6500856, 52.86168652 43.33678337)"
6,86,71,374,"LINESTRING (54.08822458 42.62386834, 52.86168652 43.33678337)"
7,2,53,451,"LINESTRING (57.16692971 50.28388335, 60.31394877 47.04978092)"
8,7,53,1052,"LINESTRING (68.8130505 42.43365853, 60.31394877 47.04978092)"
9,16,53,1045,"LINESTRING (55.18184777 45.32223604, 60.31394877 47.04978092)"
10,78,53,274,"LINESTRING (67.70239591000001 47.79641488, 60.31394877 47.04978092)"
11,2,87,387,"LINESTRING (57.16692971 50.28388335, 56.20262023 50.84645319)"
12,48,87,323,"LINESTRING (55.13169023 51.80194159, 56.20262023 50.84645319)"
13,3,11,54,"LINESTRING (79.92260014999999 46.8519507, 74.97469911 46.84081729)"
14,46,11,73,"LINESTRING (73.64416328999999 47.31926529, 74.97469911 46.84081729)"
15,3,21,131,"LINESTRING (79.92260014999999 46.8519507, 82.48801228000001 45.25034389)"
16,4,21,169,"LINESTRING (76.85773523 43.22966422, 82.48801228000001 45.25034389)"
17,69,21,37,"LINESTRING (89.18466843 42.94997926, 82.48801228000001 45.25034389)"
18,4,17,466,"LINESTRING (76.85773523 43.22966422, 73.91684012 43.65288192)"
19,7,17,529,"LINESTRING (68.8130505 42.43365853, 73.91684012 43.65288192)"
20,4,40,234,"LINESTRING (76.85773523 43.22966422, 80.41189971999999 44.21606721)"
21,69,40,173,"LINESTRING (89.18466843 42.94997926, 80.41189971999999 44.21606721)"
22,5,25,288,"LINESTRING (72.28458996000001 40.8147501, 71.79785386 40.37339112)"
23,35,25,343,"LINESTRING (67.85315559 40.13305512, 71.79785386 40.37339112)"
24,50,25,15,"LINESTRING (71.10627429 40.88094522, 71.79785386 40.37339112)"
25,5,36,225,"LINESTRING (72.28458996000001 40.8147501, 72.86263520999999 40.70247245)"
26,49,36,85,"LINESTRING (72.81062618 40.52017458, 72.86263520999999 40.70247245)"
27,70,36,101,"LINESTRING (75.41075578 40.5748001, 72.86263520999999 40.70247245)"
28,6,50,82,"LINESTRING (70.07422952 41.00845288, 71.10627429 40.88094522)"
29,25,50,16,"LINESTRING (71.79785386 40.37339112, 71.10627429 40.88094522)"
30,6,60,153,"LINESTRING (70.07422952 41.00845288, 69.23343231 41.26065019)"
31,7,60,913,"LINESTRING (68.8130505 42.43365853, 69.23343231 41.26065019)"
32,54,60,853,"LINESTRING (66.98020844 39.62957641, 69.23343231 41.26065019)"
33,8,43,614,"LINESTRING (58.31629783 37.94392081, 61.91467015 37.52891078)"
34,58,43,722,"LINESTRING (61.15050175 37.41207242, 61.91467015 37.52891078)"
35,68b,43,370,"LINESTRING (63.57481917 39.08876273, 61.91467015 37.52891078)"
36,8,67,624,"LINESTRING (58.31629783 37.94392081, 52.96318620000001 40.02016264)"
37,10,67,644,"LINESTRING (49.86637319 40.40943762, 52.96318620000001 40.02016264)"
38,9,14,227,"LINESTRING (54.02161162 37.41497489, 55.51937803 39.24696232)"
39,30,14,274,"LINESTRING (55.46618118 40.61855253, 55.51937803 39.24696232)"
40,9,85,186,"LINESTRING (54.02161162 37.41497489, 54.07386257 37.06484182)"
41,28,85,167,"LINESTRING (54.44019416 36.84348588, 54.07386257 37.06484182)"
42,10,1,980,"LINESTRING (49.86637319 40.40943762, 51.19423615 43.6500856)"
43,16,1,1044,"LINESTRING (55.18184777 45.32223604, 51.19423615 43.6500856)"
44,71,1,443,"LINESTRING (52.86168652 43.33678337, 51.19423615 43.6500856)"
45,10,62,1182,"LINESTRING (49.86637319 40.40943762, 44.82710578 41.71513710000001)"
46,51,62,212,"LINESTRING (41.67139822 42.15826004, 44.82710578 41.71513710000001)"
47,82,62,897,"LINESTRING (43.0978799 40.60092735, 44.82710578 41.71513710000001)"
48,84,62,67,"LINESTRING (45.05190277 41.50592851, 44.82710578 41.71513710000001)"
49,11,3,54,"LINESTRING (74.97469911 46.84081729, 79.92260014999999 46.8519507)"
50,21,3,131,"LINESTRING (82.48801228000001 45.25034389, 79.92260014999999 46.8519507)"
51,11,46,73,"LINESTRING (74.97469911 46.84081729, 73.64416328999999 47.31926529)"
52,77,46,134,"LINESTRING (72.83405148999999 48.85597607, 73.64416328999999 47.31926529)"
53,12,66,249,"LINESTRING (48.04265399 37.97703989999999, 59.21328001 35.27868594)"
54,45,66,526,"LINESTRING (59.61582533 36.26611183, 59.21328001 35.27868594)"
55,83,66,285,"LINESTRING (60.83747644 34.52863651, 59.21328001 35.27868594)"
56,12,76,168,"LINESTRING (48.04265399 37.97703989999999, 60.88055637 29.49568135)"
57,20,76,85,"LINESTRING (60.6459286 25.29687798, 60.88055637 29.49568135)"
58,14,9,227,"LINESTRING (55.51937803 39.24696232, 54.02161162 37.41497489)"
59,85,9,186,"LINESTRING (54.07386257 37.06484182, 54.02161162 37.41497489)"
60,14,30,274,"LINESTRING (55.51937803 39.24696232, 55.46618118 40.61855253)"
61,86,30,323,"LINESTRING (54.08822458 42.62386834, 55.46618118 40.61855253)"
62,15,32,151,"LINESTRING (13.41935921 52.52253403, 10.00963148 53.55414303)"
63,34,32,245,"LINESTRING (28.98070043 41.00778604, 10.00963148 53.55414303)"
64,41,32,37,"LINESTRING (30.52222268 50.44866769, 10.00963148 53.55414303)"
65,15,88,86,"LINESTRING (13.41935921 52.52253403, 14.62586159 52.34048289)"
66,75,88,23,"LINESTRING (20.97265547 52.17848205, 14.62586159 52.34048289)"
67,17,4,466,"LINESTRING (73.91684012 43.65288192, 76.85773523 43.22966422)"
68,21,4,169,"LINESTRING (82.48801228000001 45.25034389, 76.85773523 43.22966422)"
69,40,4,234,"LINESTRING (80.41189971999999 44.21606721, 76.85773523 43.22966422)"
70,17,7,529,"LINESTRING (73.91684012 43.65288192, 68.8130505 42.43365853)"
71,53,7,1051,"LINESTRING (60.31394877 47.04978092, 68.8130505 42.43365853)"
72,60,7,914,"LINESTRING (69.23343231 41.26065019, 68.8130505 42.43365853)"
73,18,73,288,"LINESTRING (23.76366624 52.09965070000001, 16.37753292 48.19377011)"
74,34,73,352,"LINESTRING (28.98070043 41.00778604, 16.37753292 48.19377011)"
75,18,75,98,"LINESTRING (23.76366624 52.09965070000001, 20.97265547 52.17848205)"
76,88,75,23,"LINESTRING (14.62586159 52.34048289, 20.97265547 52.17848205)"
77,18,18b,172,"LINESTRING (23.76366624 52.09965070000001, 23.76366624 52.09965070000001)"
78,27,18b,161,"LINESTRING (30.99317931 52.43127856, 23.76366624 52.09965070000001)"
79,19,39,17,"LINESTRING (64.4555769 39.76808273, 63.74607083 39.36407461)"
80,37,39,59,"LINESTRING (65.78841394 38.82557846, 63.74607083 39.36407461)"
81,54,39,299,"LINESTRING (66.98020844 39.62957641, 63.74607083 39.36407461)"
82,68,39,362,"LINESTRING (63.57481917 39.08876273, 63.74607083 39.36407461)"
83,19,54,68,"LINESTRING (64.4555769 39.76808273, 66.98020844 39.62957641)"
84,35,54,410,"LINESTRING (67.85315559 40.13305512, 66.98020844 39.62957641)"
85,37,54,481,"LINESTRING (65.78841394 38.82557846, 66.98020844 39.62957641)"
86,39,54,299,"LINESTRING (63.74607083 39.36407461, 66.98020844 39.62957641)"
