,o,d,w,geometry
0,1,10,308,"LINESTRING (51.19423615 43.6500856, 49.86637319 40.40943762)"
1,62,10,381,"LINESTRING (44.82710578 41.71513710000001, 49.86637319 40.40943762)"
2,67,10,244,"LINESTRING (52.96318620000001 40.02016264, 49.86637319 40.40943762)"
3,1,16,905,"LINESTRING (51.19423615 43.6500856, 55.18184777 45.32223604)"
4,53,16,926,"LINESTRING (60.31394877 47.04978092, 55.18184777 45.32223604)"
5,1,71,738,"LINESTRING (51.19423615 43.6500856, 52.86168652 43.33678337)"
6,86,71,699,"LINESTRING (54.08822458 42.62386834, 52.86168652 43.33678337)"
7,2,53,1000,"LINESTRING (57.16692971 50.28388335, 60.31394877 47.04978092)"
8,7,53,1034,"LINESTRING (68.8130505 42.43365853, 60.31394877 47.04978092)"
9,16,53,926,"LINESTRING (55.18184777 45.32223604, 60.31394877 47.04978092)"
10,78,53,439,"LINESTRING (67.70239591000001 47.79641488, 60.31394877 47.04978092)"
11,2,87,945,"LINESTRING (57.16692971 50.28388335, 56.20262023 50.84645319)"
12,48,87,888,"LINESTRING (55.13169023 51.80194159, 56.20262023 50.84645319)"
13,3,11,135,"LINESTRING (79.92260014999999 46.8519507, 74.97469911 46.84081729)"
14,46,11,212,"LINESTRING (73.64416328999999 47.31926529, 74.97469911 46.84081729)"
15,3,21,58,"LINESTRING (79.92260014999999 46.8519507, 82.48801228000001 45.25034389)"
16,4,21,53,"LINESTRING (76.85773523 43.22966422, 82.48801228000001 45.25034389)"
17,69,21,12,"LINESTRING (89.18466843 42.94997926, 82.48801228000001 45.25034389)"
18,4,17,368,"LINESTRING (76.85773523 43.22966422, 73.91684012 43.65288192)"
19,7,17,445,"LINESTRING (68.8130505 42.43365853, 73.91684012 43.65288192)"
20,4,40,248,"LINESTRING (76.85773523 43.22966422, 80.41189971999999 44.21606721)"
21,69,40,163,"LINESTRING (89.18466843 42.94997926, 80.41189971999999 44.21606721)"
22,5,25,343,"LINESTRING (72.28458996000001 40.8147501, 71.79785386 40.37339112)"
23,35,25,273,"LINESTRING (67.85315559 40.13305512, 71.79785386 40.37339112)"
24,50,25,307,"LINESTRING (71.10627429 40.88094522, 71.79785386 40.37339112)"
25,5,36,260,"LINESTRING (72.28458996000001 40.8147501, 72.86263520999999 40.70247245)"
26,49,36,89,"LINESTRING (72.81062618 40.52017458, 72.86263520999999 40.70247245)"
27,70,36,88,"LINESTRING (75.41075578 40.5748001, 72.86263520999999 40.70247245)"
28,6,50,308,"LINESTRING (70.07422952 41.00845288, 71.10627429 40.88094522)"
29,25,50,307,"LINESTRING (71.79785386 40.37339112, 71.10627429 40.88094522)"
30,6,60,307,"LINESTRING (70.07422952 41.00845288, 69.23343231 41.26065019)"
31,7,60,1098,"LINESTRING (68.8130505 42.43365853, 69.23343231 41.26065019)"
32,54,60,794,"LINESTRING (66.98020844 39.62957641, 69.23343231 41.26065019)"
33,8,43,294,"LINESTRING (58.31629783 37.94392081, 61.91467015 37.52891078)"
34,58,43,754,"LINESTRING (61.15050175 37.41207242, 61.91467015 37.52891078)"
35,68b,43,787,"LINESTRING (63.57481917 39.08876273, 61.91467015 37.52891078)"
36,8,67,245,"LINESTRING (58.31629783 37.94392081, 52.96318620000001 40.02016264)"
37,10,67,244,"LINESTRING (49.86637319 40.40943762, 52.96318620000001 40.02016264)"
38,9,14,578,"LINESTRING (54.02161162 37.41497489, 55.51937803 39.24696232)"
39,30,14,617,"LINESTRING (55.46618118 40.61855253, 55.51937803 39.24696232)"
40,9,85,541,"LINESTRING (54.02161162 37.41497489, 54.07386257 37.06484182)"
41,28,85,524,"LINESTRING (54.44019416 36.84348588, 54.07386257 37.06484182)"
42,10,1,308,"LINESTRING (49.86637319 40.40943762, 51.19423615 43.6500856)"
43,16,1,905,"LINESTRING (55.18184777 45.32223604, 51.19423615 43.6500856)"
44,71,1,738,"LINESTRING (52.86168652 43.33678337, 51.19423615 43.6500856)"
45,10,62,381,"LINESTRING (49.86637319 40.40943762, 44.82710578 41.71513710000001)"
46,51,62,89,"LINESTRING (41.67139822 42.15826004, 44.82710578 41.71513710000001)"
47,82,62,187,"LINESTRING (43.0978799 40.60092735, 44.82710578 41.71513710000001)"
48,84,62,74,"LINESTRING (45.05190277 41.50592851, 44.82710578 41.71513710000001)"
49,11,3,135,"LINESTRING (74.97469911 46.84081729, 79.92260014999999 46.8519507)"
50,21,3,58,"LINESTRING (82.48801228000001 45.25034389, 79.92260014999999 46.8519507)"
51,11,46,212,"LINESTRING (74.97469911 46.84081729, 73.64416328999999 47.31926529)"
52,77,46,287,"LINESTRING (72.83405148999999 48.85597607, 73.64416328999999 47.31926529)"
53,12,66,505,"LINESTRING (59.75 32.04, 59.21328001 35.27868594)"
54,45,66,862,"LINESTRING (59.61582533 36.26611183, 59.21328001 35.27868594)"
55,83,66,338,"LINESTRING (60.83747644 34.52863651, 59.21328001 35.27868594)"
56,12,76,428,"LINESTRING (59.75 32.04, 60.88055637 29.49568135)"
57,20,76,351,"LINESTRING (60.6459286 25.29687798, 60.88055637 29.49568135)"
58,14,9,578,"LINESTRING (55.51937803 39.24696232, 54.02161162 37.41497489)"
59,85,9,541,"LINESTRING (54.07386257 37.06484182, 54.02161162 37.41497489)"
60,14,30,617,"LINESTRING (55.51937803 39.24696232, 55.46618118 40.61855253)"
61,86,30,658,"LINESTRING (54.08822458 42.62386834, 55.46618118 40.61855253)"
62,15,32,234,"LINESTRING (13.41935921 52.52253403, 10.00963148 53.55414303)"
63,34,32,117,"LINESTRING (28.98070043 41.00778604, 10.00963148 53.55414303)"
64,41,32,176,"LINESTRING (30.52222268 50.44866769, 10.00963148 53.55414303)"
65,15,88,269,"LINESTRING (13.41935921 52.52253403, 14.62586159 52.34048289)"
66,75,88,326,"LINESTRING (20.97265547 52.17848205, 14.62586159 52.34048289)"
67,17,4,368,"LINESTRING (73.91684012 43.65288192, 76.85773523 43.22966422)"
68,21,4,53,"LINESTRING (82.48801228000001 45.25034389, 76.85773523 43.22966422)"
69,40,4,248,"LINESTRING (80.41189971999999 44.21606721, 76.85773523 43.22966422)"
70,17,7,445,"LINESTRING (73.91684012 43.65288192, 68.8130505 42.43365853)"
71,53,7,1034,"LINESTRING (60.31394877 47.04978092, 68.8130505 42.43365853)"
72,60,7,1098,"LINESTRING (69.23343231 41.26065019, 68.8130505 42.43365853)"
73,18,73,102,"LINESTRING (23.76366624 52.09965070000001, 16.37753292 48.19377011)"
74,34,73,67,"LINESTRING (28.98070043 41.00778604, 16.37753292 48.19377011)"
75,18,75,387,"LINESTRING (23.76366624 52.09965070000001, 20.97265547 52.17848205)"
76,88,75,326,"LINESTRING (14.62586159 52.34048289, 20.97265547 52.17848205)"
77,18,18b,534,"LINESTRING (23.76366624 52.09965070000001, 23.76366624 52.09965070000001)"
78,27,18b,589,"LINESTRING (30.99317931 52.43127856, 23.76366624 52.09965070000001)"
79,20,91,89,"LINESTRING (60.6459286 25.29687798, 72.92574618 19.02476851)"
80,20,93,199,"LINESTRING (60.6459286 25.29687798, 60.7656735 14.76131335)"
81,81,93,124,"LINESTRING (62.29134860000001 25.23313981, 60.7656735 14.76131335)"
82,21,69,12,"LINESTRING (82.48801228000001 45.25034389, 89.18466843 42.94997926)"
83,38,69,88,"LINESTRING (75.99370752999999 39.46768501, 89.18466843 42.94997926)"
84,40,69,163,"LINESTRING (80.41189971999999 44.21606721, 89.18466843 42.94997926)"
85,22,37,89,"LINESTRING (68.78590278999999 38.55653717, 65.78841394 38.82557846)"
86,39,37,263,"LINESTRING (63.74607083 39.36407461, 65.78841394 38.82557846)"
87,54,37,452,"LINESTRING (66.98020844 39.62957641, 65.78841394 38.82557846)"
88,65,37,571,"LINESTRING (67.28312911 37.21646347, 65.78841394 38.82557846)"
89,25,5,343,"LINESTRING (71.79785386 40.37339112, 72.28458996000001 40.8147501)"
90,36,5,260,"LINESTRING (72.86263520999999 40.70247245, 72.28458996000001 40.8147501)"
91,25,35,273,"LINESTRING (71.79785386 40.37339112, 67.85315559 40.13305512)"
92,54,35,348,"LINESTRING (66.98020844 39.62957641, 67.85315559 40.13305512)"
93,26,45,529,"LINESTRING (52.34042847 35.21924642, 59.61582533 36.26611183)"
94,55,45,678,"LINESTRING (61.15922124 36.54104309, 59.61582533 36.26611183)"
95,63,45,338,"LINESTRING (51.42322354 35.69698355, 59.61582533 36.26611183)"
96,66,45,862,"LINESTRING (59.21328001 35.27868594, 59.61582533 36.26611183)"
97,26,57,528,"LINESTRING (52.34042847 35.21924642, 53.05863279 36.565873)"
98,28,57,527,"LINESTRING (54.44019416 36.84348588, 53.05863279 36.565873)"
99,27,74,648,"LINESTRING (30.99317931 52.43127856, 39.20856173 51.67575155)"
100,29,74,709,"LINESTRING (39.95971603 52.49085216, 39.20856173 51.67575155)"
101,29,56,768,"LINESTRING (39.95971603 52.49085216, 45.95946903 51.59256682)"
102,48,56,829,"LINESTRING (55.13169023 51.80194159, 45.95946903 51.59256682)"
103,30,86,658,"LINESTRING (55.46618118 40.61855253, 54.08822458 42.62386834)"
104,71,86,699,"LINESTRING (52.86168652 43.33678337, 54.08822458 42.62386834)"
105,31,42,419,"LINESTRING (67.42061344 37.21137416, 67.11609055 36.69681358)"
106,59,42,70,"LINESTRING (65.74920704 36.68168619, 67.11609055 36.69681358)"
107,89,42,292,"LINESTRING (69.19380137 34.50670823, 67.11609055 36.69681358)"
108,31,65,496,"LINESTRING (67.42061344 37.21137416, 67.28312911 37.21646347)"
109,37,65,571,"LINESTRING (65.78841394 38.82557846, 67.28312911 37.21646347)"
110,32,15,234,"LINESTRING (10.00963148 53.55414303, 13.41935921 52.52253403)"
111,88,15,269,"LINESTRING (14.62586159 52.34048289, 13.41935921 52.52253403)"
112,32,34,117,"LINESTRING (10.00963148 53.55414303, 28.98070043 41.00778604)"
113,61,34,156,"LINESTRING (42.28149859 38.50486424, 28.98070043 41.00778604)"
114,73,34,67,"LINESTRING (16.37753292 48.19377011, 28.98070043 41.00778604)"
115,82,34,145,"LINESTRING (43.0978799 40.60092735, 28.98070043 41.00778604)"
116,32,41,176,"LINESTRING (10.00963148 53.55414303, 30.52222268 50.44866769)"
117,47,41,89,"LINESTRING (30.72329767 46.48276031, 30.52222268 50.44866769)"
118,33,59,31,"LINESTRING (62.20145163 34.33952939, 65.74920704 36.68168619)"
