,o,d,w,geometry
0,1,10,0,"LINESTRING (51.19423615 43.6500856, 49.86637319 40.40943762)"
1,67,10,235000,"LINESTRING (52.96318620000001 40.02016264, 49.86637319 40.40943762)"
2,1,16,200000,"LINESTRING (51.19423615 43.6500856, 55.18184777 45.32223604)"
3,53,16,200000,"LINESTRING (60.31394877 47.04978092, 55.18184777 45.32223604)"
4,1,71,200000,"LINESTRING (51.19423615 43.6500856, 52.86168652 43.33678337)"
5,86,71,200000,"LINESTRING (54.08822458 42.62386834, 52.86168652 43.33678337)"
6,2,53,2275000,"LINESTRING (57.16692971 50.28388335, 60.31394877 47.04978092)"
7,7,53,2075000,"LINESTRING (68.8130505 42.43365853, 60.31394877 47.04978092)"
8,16,53,200000,"LINESTRING (55.18184777 45.32223604, 60.31394877 47.04978092)"
9,2,87,2275000,"LINESTRING (57.16692971 50.28388335, 56.20262023 50.84645319)"
10,48,87,2275000,"LINESTRING (55.13169023 51.80194159, 56.20262023 50.84645319)"
11,4,17,8733957,"LINESTRING (76.85773523 43.22966422, 73.91684012 43.65288192)"
12,7,17,8733957,"LINESTRING (68.8130505 42.43365853, 73.91684012 43.65288192)"
13,4,40,3280262,"LINESTRING (76.85773523 43.22966422, 80.41189971999999 44.21606721)"
14,69,40,3280262,"LINESTRING (89.18466843 42.94997926, 80.41189971999999 44.21606721)"
15,5,25,8136436,"LINESTRING (72.28458996000001 40.8147501, 71.79785386 40.37339112)"
16,35,25,4862242,"LINESTRING (67.85315559 40.13305512, 71.79785386 40.37339112)"
17,50,25,3093538,"LINESTRING (71.10627429 40.88094522, 71.79785386 40.37339112)"
18,5,36,8136436,"LINESTRING (72.28458996000001 40.8147501, 72.86263520999999 40.70247245)"
19,6,50,3093538,"LINESTRING (70.07422952 41.00845288, 71.10627429 40.88094522)"
20,25,50,3093538,"LINESTRING (71.79785386 40.37339112, 71.10627429 40.88094522)"
21,6,60,3093538,"LINESTRING (70.07422952 41.00845288, 69.23343231 41.26065019)"
22,7,60,10808957,"LINESTRING (68.8130505 42.43365853, 69.23343231 41.26065019)"
23,54,60,10616737,"LINESTRING (66.98020844 39.62957641, 69.23343231 41.26065019)"
24,8,43,2016668,"LINESTRING (58.31629783 37.94392081, 61.91467015 37.52891078)"
25,58,43,23350757,"LINESTRING (61.15050175 37.41207242, 61.91467015 37.52891078)"
26,68b,43,21977425,"LINESTRING (63.57481917 39.08876273, 61.91467015 37.52891078)"
27,8,67,235000,"LINESTRING (58.31629783 37.94392081, 52.96318620000001 40.02016264)"
28,10,67,235000,"LINESTRING (49.86637319 40.40943762, 52.96318620000001 40.02016264)"
29,9,14,200000,"LINESTRING (54.02161162 37.41497489, 55.51937803 39.24696232)"
30,30,14,200000,"LINESTRING (55.46618118 40.61855253, 55.51937803 39.24696232)"
31,9,85,200000,"LINESTRING (54.02161162 37.41497489, 54.07386257 37.06484182)"
32,28,85,200000,"LINESTRING (54.44019416 36.84348588, 54.07386257 37.06484182)"
33,10,1,0,"LINESTRING (49.86637319 40.40943762, 51.19423615 43.6500856)"
34,16,1,200000,"LINESTRING (55.18184777 45.32223604, 51.19423615 43.6500856)"
35,71,1,200000,"LINESTRING (52.86168652 43.33678337, 51.19423615 43.6500856)"
36,12,66,9856584,"LINESTRING (59.75 32.04, 59.21328001 35.27868594)"
37,45,66,16881584,"LINESTRING (59.61582533 36.26611183, 59.21328001 35.27868594)"
38,83,66,8525000,"LINESTRING (60.83747644 34.52863651, 59.21328001 35.27868594)"
39,12,76,9856584,"LINESTRING (59.75 32.04, 60.88055637 29.49568135)"
40,20,76,9856584,"LINESTRING (60.6459286 25.29687798, 60.88055637 29.49568135)"
41,14,9,200000,"LINESTRING (55.51937803 39.24696232, 54.02161162 37.41497489)"
42,85,9,200000,"LINESTRING (54.07386257 37.06484182, 54.02161162 37.41497489)"
43,14,30,200000,"LINESTRING (55.51937803 39.24696232, 55.46618118 40.61855253)"
44,86,30,200000,"LINESTRING (54.08822458 42.62386834, 55.46618118 40.61855253)"
45,17,4,8733957,"LINESTRING (73.91684012 43.65288192, 76.85773523 43.22966422)"
46,40,4,3280262,"LINESTRING (80.41189971999999 44.21606721, 76.85773523 43.22966422)"
47,17,7,8733957,"LINESTRING (73.91684012 43.65288192, 68.8130505 42.43365853)"
48,53,7,2075000,"LINESTRING (60.31394877 47.04978092, 68.8130505 42.43365853)"
49,60,7,10808957,"LINESTRING (69.23343231 41.26065019, 68.8130505 42.43365853)"
50,20,91,4411584,"LINESTRING (60.6459286 25.29687798, 72.92574618 19.02476851)"
51,20,93,5445000,"LINESTRING (60.6459286 25.29687798, 60.7656735 14.76131335)"
52,81,93,2035000,"LINESTRING (62.29134860000001 25.23313981, 60.7656735 14.76131335)"
53,22,37,2609320,"LINESTRING (68.78590278999999 38.55653717, 65.78841394 38.82557846)"
54,39,37,12138325,"LINESTRING (63.74607083 39.36407461, 65.78841394 38.82557846)"
55,54,37,5582287,"LINESTRING (66.98020844 39.62957641, 65.78841394 38.82557846)"
56,65,37,15351110,"LINESTRING (67.28312911 37.21646347, 65.78841394 38.82557846)"
57,25,5,8136436,"LINESTRING (71.79785386 40.37339112, 72.28458996000001 40.8147501)"
58,36,5,8136436,"LINESTRING (72.86263520999999 40.70247245, 72.28458996000001 40.8147501)"
59,25,35,4862242,"LINESTRING (71.79785386 40.37339112, 67.85315559 40.13305512)"
60,54,35,4862242,"LINESTRING (66.98020844 39.62957641, 67.85315559 40.13305512)"
61,26,45,200000,"LINESTRING (52.34042847 35.21924642, 59.61582533 36.26611183)"
62,55,45,23350757,"LINESTRING (61.15922124 36.54104309, 59.61582533 36.26611183)"
63,63,45,18969173,"LINESTRING (51.42322354 35.69698355, 59.61582533 36.26611183)"
64,66,45,16881584,"LINESTRING (59.21328001 35.27868594, 59.61582533 36.26611183)"
65,26,57,200000,"LINESTRING (52.34042847 35.21924642, 53.05863279 36.565873)"
66,28,57,200000,"LINESTRING (54.44019416 36.84348588, 53.05863279 36.565873)"
