,o,d,w,geometry
29,9,14,0,"LINESTRING (54.02161162 37.41497489, 55.51937803 39.24696232)"
30,30,14,0,"LINESTRING (55.46618118 40.61855253, 55.51937803 39.24696232)"
31,9,85,0,"LINESTRING (54.02161162 37.41497489, 54.07386257 37.06484182)"
32,28,85,0,"LINESTRING (54.44019416 36.84348588, 54.07386257 37.06484182)"
33,10,1,0,"LINESTRING (49.86637319 40.40943762, 51.19423615 43.6500856)"
34,16,1,0,"LINESTRING (55.18184777 45.32223604, 51.19423615 43.6500856)"
35,71,1,0,"LINESTRING (52.86168652 43.33678337, 51.19423615 43.6500856)"
36,12,66,0,"LINESTRING (59.75 32.04, 59.21328001 35.27868594)"
37,45,66,0,"LINESTRING (59.61582533 36.26611183, 59.21328001 35.27868594)"
38,12,76,0,"LINESTRING (59.75 32.04, 60.88055637 29.49568135)"
39,20,76,0,"LINESTRING (60.6459286 25.29687798, 60.88055637 29.49568135)"
40,14,9,0,"LINESTRING (55.51937803 39.24696232, 54.02161162 37.41497489)"
41,85,9,0,"LINESTRING (54.07386257 37.06484182, 54.02161162 37.41497489)"
42,14,30,0,"LINESTRING (55.51937803 39.24696232, 55.46618118 40.61855253)"
43,86,30,0,"LINESTRING (54.08822458 42.62386834, 55.46618118 40.61855253)"
44,17,4,5821712,"LINESTRING (73.91684012 43.65288192, 76.85773523 43.22966422)"
45,40,4,1483534,"LINESTRING (80.41189971999999 44.21606721, 76.85773523 43.22966422)"
46,17,7,5821712,"LINESTRING (73.91684012 43.65288192, 68.8130505 42.43365853)"
47,53,7,250000,"LINESTRING (60.31394877 47.04978092, 68.8130505 42.43365853)"
48,60,7,6071712,"LINESTRING (69.23343231 41.26065019, 68.8130505 42.43365853)"
49,20,91,0,"LINESTRING (60.6459286 25.29687798, 72.92574618 19.02476851)"
50,20,93,0,"LINESTRING (60.6459286 25.29687798, 60.7656735 14.76131335)"
51,81,93,0,"LINESTRING (62.29134860000001 25.23313981, 60.7656735 14.76131335)"
52,22,37,251813,"LINESTRING (68.78590278999999 38.55653717, 65.78841394 38.82557846)"
53,39,37,610791,"LINESTRING (63.74607083 39.36407461, 65.78841394 38.82557846)"
54,54,37,1558930,"LINESTRING (66.98020844 39.62957641, 65.78841394 38.82557846)"
55,65,37,1917908,"LINESTRING (67.28312911 37.21646347, 65.78841394 38.82557846)"
56,25,5,5138715,"LINESTRING (71.79785386 40.37339112, 72.28458996000001 40.8147501)"
57,36,5,5138715,"LINESTRING (72.86263520999999 40.70247245, 72.28458996000001 40.8147501)"
58,25,35,834865,"LINESTRING (71.79785386 40.37339112, 67.85315559 40.13305512)"
59,54,35,834865,"LINESTRING (66.98020844 39.62957641, 67.85315559 40.13305512)"
60,26,45,0,"LINESTRING (52.34042847 35.21924642, 59.61582533 36.26611183)"
61,55,45,1137329,"LINESTRING (61.15922124 36.54104309, 59.61582533 36.26611183)"
62,63,45,1137329,"LINESTRING (51.42322354 35.69698355, 59.61582533 36.26611183)"
63,66,45,0,"LINESTRING (59.21328001 35.27868594, 59.61582533 36.26611183)"
64,26,57,0,"LINESTRING (52.34042847 35.21924642, 53.05863279 36.565873)"
65,28,57,0,"LINESTRING (54.44019416 36.84348588, 53.05863279 36.565873)"
66,30,86,0,"LINESTRING (55.46618118 40.61855253, 54.08822458 42.62386834)"
67,71,86,0,"LINESTRING (52.86168652 43.33678337, 54.08822458 42.62386834)"
68,31,42,0,"LINESTRING (67.42061344 37.21137416, 67.11609055 36.69681358)"
69,89,42,0,"LINESTRING (69.19380137 34.50670823, 67.11609055 36.69681358)"
70,31,65,1917908,"LINESTRING (67.42061344 37.21137416, 67.28312911 37.21646347)"
71,37,65,1917908,"LINESTRING (65.78841394 38.82557846, 67.28312911 37.21646347)"
72,35,54,834865,"LINESTRING (67.85315559 40.13305512, 66.98020844 39.62957641)"
73,37,54,1558930,"LINESTRING (65.78841394 38.82557846, 66.98020844 39.62957641)"
74,39,54,1149361,"LINESTRING (63.74607083 39.36407461, 66.98020844 39.62957641)"
75,60,54,1965048,"LINESTRING (69.23343231 41.26065019, 66.98020844 39.62957641)"
76,37,22,251813,"LINESTRING (65.78841394 38.82557846, 68.78590278999999 38.55653717)"
77,37,39,610791,"LINESTRING (65.78841394 38.82557846, 63.74607083 39.36407461)"
78,54,39,1149361,"LINESTRING (66.98020844 39.62957641, 63.74607083 39.36407461)"
79,68,39,1760152,"LINESTRING (63.57481917 39.08876273, 63.74607083 39.36407461)"
80,39,68,1760152,"LINESTRING (63.74607083 39.36407461, 63.57481917 39.08876273)"
81,68b,68,1760152,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
82,40,69,1483534,"LINESTRING (80.41189971999999 44.21606721, 89.18466843 42.94997926)"
83,42,31,0,"LINESTRING (67.11609055 36.69681358, 67.42061344 37.21137416)"
84,65,31,1917908,"LINESTRING (67.28312911 37.21646347, 67.42061344 37.21137416)"
85,42,89,0,"LINESTRING (67.11609055 36.69681358, 69.19380137 34.50670823)"
86,94,89,0,"LINESTRING (71.11171118999999 34.19162304, 69.19380137 34.50670823)"
87,43,8,622823,"LINESTRING (61.91467015 37.52891078, 58.31629783 37.94392081)"
88,67,8,55526,"LINESTRING (52.96318620000001 40.02016264, 58.31629783 37.94392081)"
89,43,58,1137329,"LINESTRING (61.91467015 37.52891078, 61.15050175 37.41207242)"
90,55,58,1137329,"LINESTRING (61.15922124 36.54104309, 61.15050175 37.41207242)"
91,43,68b,1760152,"LINESTRING (61.91467015 37.52891078, 63.57481917 39.08876273)"
92,68,68b,1760152,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
93,45,26,0,"LINESTRING (59.61582533 36.26611183, 52.34042847 35.21924642)"
94,57,26,0,"LINESTRING (53.05863279 36.565873, 52.34042847 35.21924642)"
95,45,55,1137329,"LINESTRING (59.61582533 36.26611183, 61.15922124 36.54104309)"
96,58,55,1137329,"LINESTRING (61.15050175 37.41207242, 61.15922124 36.54104309)"
97,45,63,1137329,"LINESTRING (59.61582533 36.26611183, 51.42322354 35.69698355)"
98,50,6,4643632,"LINESTRING (71.10627429 40.88094522, 70.07422952 41.00845288)"
99,60,6,4643632,"LINESTRING (69.23343231 41.26065019, 70.07422952 41.00845288)"
100,53,2,250000,"LINESTRING (60.31394877 47.04978092, 57.16692971 50.28388335)"
101,87,2,250000,"LINESTRING (56.20262023 50.84645319, 57.16692971 50.28388335)"
102,57,28,0,"LINESTRING (53.05863279 36.565873, 54.44019416 36.84348588)"
103,85,28,0,"LINESTRING (54.07386257 37.06484182, 54.44019416 36.84348588)"
104,66,12,0,"LINESTRING (59.21328001 35.27868594, 59.75 32.04)"
105,76,12,0,"LINESTRING (60.88055637 29.49568135, 59.75 32.04)"
106,76,20,0,"LINESTRING (60.88055637 29.49568135, 60.6459286 25.29687798)"
107,91,20,0,"LINESTRING (72.92574618 19.02476851, 60.6459286 25.29687798)"
108,93,20,0,"LINESTRING (60.7656735 14.76131335, 60.6459286 25.29687798)"
109,81,90,0,"LINESTRING (62.29134860000001 25.23313981, 67.00109753 24.89698664)"
110,92,90,0,"LINESTRING (71.56378993 34.10942691, 67.00109753 24.89698664)"
111,87,48,250000,"LINESTRING (56.20262023 50.84645319, 55.13169023 51.80194159)"
112,89,94,0,"LINESTRING (69.19380137 34.50670823, 71.11171118999999 34.19162304)"
113,92,94,0,"LINESTRING (71.56378993 34.10942691, 71.11171118999999 34.19162304)"
114,90,81,0,"LINESTRING (67.00109753 24.89698664, 62.29134860000001 25.23313981)"
115,93,81,0,"LINESTRING (60.7656735 14.76131335, 62.29134860000001 25.23313981)"
116,90,92,0,"LINESTRING (67.00109753 24.89698664, 71.56378993 34.10942691)"
117,94,92,0,"LINESTRING (71.11171118999999 34.19162304, 71.56378993 34.10942691)"
