,o,d,w,geometry
0,1,10,0,"LINESTRING (51.19423615 43.6500856, 49.86637319 40.40943762)"
1,67,10,55526,"LINESTRING (52.96318620000001 40.02016264, 49.86637319 40.40943762)"
2,1,16,0,"LINESTRING (51.19423615 43.6500856, 55.18184777 45.32223604)"
3,53,16,0,"LINESTRING (60.31394877 47.04978092, 55.18184777 45.32223604)"
4,1,71,0,"LINESTRING (51.19423615 43.6500856, 52.86168652 43.33678337)"
5,86,71,0,"LINESTRING (54.08822458 42.62386834, 52.86168652 43.33678337)"
6,2,53,250000,"LINESTRING (57.16692971 50.28388335, 60.31394877 47.04978092)"
7,7,53,250000,"LINESTRING (68.8130505 42.43365853, 60.31394877 47.04978092)"
8,16,53,0,"LINESTRING (55.18184777 45.32223604, 60.31394877 47.04978092)"
9,2,87,250000,"LINESTRING (57.16692971 50.28388335, 56.20262023 50.84645319)"
10,48,87,250000,"LINESTRING (55.13169023 51.80194159, 56.20262023 50.84645319)"
11,4,17,5821712,"LINESTRING (76.85773523 43.22966422, 73.91684012 43.65288192)"
12,7,17,5821712,"LINESTRING (68.8130505 42.43365853, 73.91684012 43.65288192)"
13,4,40,1483534,"LINESTRING (76.85773523 43.22966422, 80.41189971999999 44.21606721)"
14,69,40,1483534,"LINESTRING (89.18466843 42.94997926, 80.41189971999999 44.21606721)"
15,5,25,5138715,"LINESTRING (72.28458996000001 40.8147501, 71.79785386 40.37339112)"
16,35,25,834865,"LINESTRING (67.85315559 40.13305512, 71.79785386 40.37339112)"
17,50,25,4643632,"LINESTRING (71.10627429 40.88094522, 71.79785386 40.37339112)"
18,5,36,5138715,"LINESTRING (72.28458996000001 40.8147501, 72.86263520999999 40.70247245)"
19,6,50,4643632,"LINESTRING (70.07422952 41.00845288, 71.10627429 40.88094522)"
20,25,50,4643632,"LINESTRING (71.79785386 40.37339112, 71.10627429 40.88094522)"
21,6,60,4643632,"LINESTRING (70.07422952 41.00845288, 69.23343231 41.26065019)"
22,7,60,6071712,"LINESTRING (68.8130505 42.43365853, 69.23343231 41.26065019)"
23,54,60,1965048,"LINESTRING (66.98020844 39.62957641, 69.23343231 41.26065019)"
24,8,43,622823,"LINESTRING (58.31629783 37.94392081, 61.91467015 37.52891078)"
25,58,43,1137329,"LINESTRING (61.15050175 37.41207242, 61.91467015 37.52891078)"
26,68b,43,1760152,"LINESTRING (63.57481917 39.08876273, 61.91467015 37.52891078)"
27,8,67,55526,"LINESTRING (58.31629783 37.94392081, 52.96318620000001 40.02016264)"
28,10,67,55526,"LINESTRING (49.86637319 40.40943762, 52.96318620000001 40.02016264)"
