,NAME,GEOM
0,Hakra Right Disty,"LINESTRING (311859.2516999999 3236462.93, 311601.3918000003 3236307.5076, 311351.6392999999 3236099.3487, 310945.2314999998 3235850.3782, 310882.9888000004 3235813.764799999, 310764.2016000003 3235761.514, 310408.0058000004 3235735.5143, 309464.2167999996 3235626.3156, 309439.4955000002 3235621.073000001, 309414.9456000002 3235615.0787, 309390.5900999997 3235608.338099999, 309366.4515000004 3235600.8576, 309342.5524000004 3235592.644200001, 309318.9150999999 3235583.705399999, 309295.5614 3235574.0496, 309272.5131999999 3235563.685799999, 309249.7918999996 3235552.6237, 309227.4187000003 3235540.873500001, 309205.4144000001 3235528.4462, 309183.7994999997 3235515.3533, 309162.5939999996 3235501.607100001, 309141.8179000001 3235487.2204, 309121.4903999995 3235472.2064, 309101.6303000003 3235456.579299999, 309082.2562999995 3235440.353499999, 309063.3864000002 3235423.544199999, 309045.0379999997 3235406.166999999, 309027.2284000004 3235388.2381, 309009.9741000002 3235369.7743, 308993.2911 3235350.7925, 308977.1950000003 3235331.310699999, 308961.7006999999 3235311.346799999, 308946.8228000002 3235290.919500001, 308935.9672999997 3235261.735200001, 308924.3990000002 3235232.8259, 308912.125 3235204.2092, 308899.1525999997 3235175.9022, 308885.4896 3235147.9221, 308871.1442 3235120.285499999, 308856.1251999997 3235093.009199999, 308840.4413999999 3235066.1096, 308824.1025 3235039.6028, 308807.1180999996 3235013.504899999, 308789.4985999996 3234987.831599999, 308771.2545999996 3234962.598200001, 308752.3969000001 3234937.8201, 308732.9369999999 3234913.512, 308712.8865999999 3234889.6887, 308692.2577999998 3234866.364499999, 308671.0629000003 3234843.553400001, 308649.3147999998 3234821.269200001, 308627.0264999997 3234799.5252, 308603.8280999996 3234784.4365, 308580.2441999996 3234769.957699999, 308556.2909000004 3234756.0985, 308531.9845000003 3234742.8685, 308507.3414000003 3234730.2766, 308482.3784999996 3234718.3313, 308457.1127000004 3234707.0408, 308431.5612000003 3234696.412699999, 308405.7412999999 3234686.454299999, 308379.6705999998 3234677.1724, 308353.3668 3234668.5732, 308326.8477999996 3234660.662599999, 308300.1316 3234653.445900001, 308273.2363 3234646.928200001, 308246.1803000001 3234641.113700001, 308218.9819 3234636.0065, 308191.6595999999 3234631.609999999, 308164.2319999998 3234627.927200001, 306523.6511000004 3234383.530099999, 305087.3123000003 3234181.454700001, 302771.6059999997 3233326.353499999, 301726.9960000003 3232956.5801, 301698.0461999997 3232951.277100001, 301668.9647000004 3232946.7512, 301639.7724000001 3232943.0057, 301610.4903999995 3232940.043400001, 301581.1394999996 3232937.8662, 301551.7407999998 3232936.4759, 301522.3153999997 3232935.873400001, 301492.8843999999 3232936.0591, 301463.4689999996 3232937.0328, 301434.0902000004 3232938.794, 301404.7691000002 3232941.3413, 301375.5267000003 3232944.672800001, 301346.3841000004 3232948.7863, 301317.3619999997 3232953.6788, 301288.4813999999 3232959.3467, 301259.7629000004 3232965.786, 301231.2271999996 3232972.992000001, 301202.8946000002 3232980.9597, 301174.7856000001 3232989.6832, 301146.9203000003 3232999.156300001, 301119.3186999997 3233009.372300001, 301092.0005999999 3233020.323799999, 301064.9855000004 3233032.002900001, 301038.2928999998 3233044.4013, 300880.0263999999 3233163.3673, 300488.2549000001 3233529.7289, 300470.7653000001 3233548.2513, 300452.7383000003 3233566.2511, 300434.1893999996 3233583.7127, 300415.1348000001 3233600.620999999, 300395.591 3233616.961300001, 300375.5747999996 3233632.7194, 300355.1036 3233647.8818, 300334.1952 3233662.4353, 300312.8676000005 3233676.3672, 300291.1392999999 3233689.6656, 300269.0290999999 3233702.319, 300246.5562000005 3233714.316199999, 300223.7400000002 3233725.6471, 300200.6003 3233736.3017, 300177.1571000004 3233746.2708, 300153.4307000004 3233755.5459, 300129.4417000003 3233764.118799999, 300105.2109000003 3233771.982100001, 300080.7592000002 3233779.1291, 300056.1076999996 3233785.5535, 300031.2779000001 3233791.2498, 300006.2912999997 3233796.213099999, 299981.1694 3233800.438999999, 299668.1255000001 3233842.544399999, 299247.0723000001 3233879.1577, 297608.6441000002 3234065.9005, 296896.8301999997 3234158.343800001, 296425.3689999999 3234144.477299999, 295611.8673999999 3234079.767000001, 292280.1677000001 3233911.8046, 292050.7242000001 3233906.922800001, 291904.8885000004 3233917.9911, 291775.4677999998 3233954.9684, 291641.4249 3234024.301000001, 291373.3391000004 3234158.343800001, 290673.3165999996 3234534.005999999, 289418.1619999995 3235207.575999999, 288248.7533999998 3235850.057399999, 288128.5769999996 3235882.412599999, 287721.8262 3235919.389900001, 286158.4205 3235947.5052, 285001.4396000002 3235979.2367, 283349.2549999999 3236030.322000001, 281726.8739999998 3236071.921499999)"
1,3L/Hakra Right Minor,"LINESTRING (249521.1079000002 3234927.9593, 249429.2160999998 3234775.984300001, 248994.4968999997 3234100.932499999, 248679.9440000001 3233641.473200001, 248549.1748000002 3233273.9057, 248460.8172000004 3232977.0243)"
2,1R/Hakra Right Minor,"LINESTRING (247606.0279999999 3235253.797700001, 247494.4532000003 3235459.225199999, 247101.2981000002 3236262.6292, 246987.3400999997 3236473.4515, 246924.6632000003 3236570.3158, 246879.0800000001 3236610.201099999, 246793.6114999996 3236610.201099999, 246389.0606000004 3236507.638900001, 246121.2593 3236450.6599, 244970.2834000001 3236217.046, 244850.6275000004 3236256.931299999, 244679.6904999996 3236399.378799999)"
3,1R/1R/Hakra Right Sub Minor,"LINESTRING (246121.2593 3236450.6599, 246068.8931 3236613.5211, 245684.0023999996 3237622.559, 245590.3804000001 3237898.2239, 245567.6189999999 3238007.8694)"
4,4L/Hakra Right Minor,"LINESTRING (243796.9222999997 3233086.065400001, 243731.2537000002 3232937.216700001, 243464.2016000003 3232530.071699999, 243354.7539999997 3232385.6009, 243271.5739000002 3232298.0428, 243113.9693 3232074.7697, 243017.6555000003 3231960.9442, 242930.0974000003 3231838.363, 242842.5393000003 3231663.2468, 242798.7603000002 3231531.909700001, 242763.7370999996 3231453.1075, 242754.9813000001 3231374.305199999, 242768.1150000002 3231291.125, 242912.5857999995 3230757.0208, 242969.4984999998 3230187.8934, 243043.9228999997 3229509.318299999, 243052.6787 3228944.5688, 243052.6787 3228861.388599999, 243000.1438999996 3228681.8946, 242689.3126999997 3227679.354699999)"
5,1L/4L Hakra Right Sub Minor,"LINESTRING (242601.6410999997 3227377.601399999, 243052.2560000001 3226883.989499999, 243134.9905000003 3226806.7707, 243250.8186999997 3226762.6456, 243708.6160000004 3226668.879899999)"
6,2L/Hakra Right Minor,"LINESTRING (277021.5066999998 3235937.878599999, 276706.1161000002 3235872.774599999, 275995.9868999999 3235693.7751, 275177.2843000004 3235508.9068, 275015.8913000003 3235473.6938, 274185.4508999996 3235086.3506, 274102.1750999996 3235058.592, 274097.4183999998 3235057.0064, 273874.1035000002 3235039.680199999, 273783.3761999998 3235032.641000001, 273757.0258999998 3235030.5966, 273536.9445000002 3235024.7278, 273457.7152000004 3234977.777100001, 273416.9959000004 3234941.831800001, 273231.8232000005 3234778.369000001, 273032.2246000003 3234602.171599999, 272728.9963999996 3234316.2707, 272373.9326999998 3233981.496400001)"
