,CHANNEL_NA,CHANNEL_TY,Head_X,Head_y,Tail_X,Tail_Y,LENGTH,Shape_Leng,UID,geometry,startPer,endPer
0,Hakra Right Disty,D,73.0640167469,29.2430122103,72.3277672595,29.1983261566,76047.6429655,76047.6429655,7000000,"LINESTRING (311859.2516999999 3236462.93, 311601.3918000003 3236307.5076, 311351.6392999999 3236099.3487, 310945.2314999998 3235850.3782, 310882.9888000004 3235813.764799999, 310764.2016000003 3235761.514, 310408.0058000004 3235735.5143, 309464.2167999996 3235626.3156, 309439.4955000002 3235621.073000001, 309414.9456000002 3235615.0787, 309390.5900999997 3235608.338099999, 309366.4515000004 3235600.8576, 309342.5524000004 3235592.644200001, 309318.9150999999 3235583.705399999, 309295.5614 3235574.0496, 309272.5131999999 3235563.685799999, 309249.7918999996 3235552.6237, 309227.4187000003 3235540.873500001, 309205.4144000001 3235528.4462, 309183.7994999997 3235515.3533, 309162.5939999996 3235501.607100001, 309141.8179000001 3235487.2204, 309121.4903999995 3235472.2064, 309101.6303000003 3235456.579299999, 309082.2562999995 3235440.353499999, 309063.3864000002 3235423.544199999, 309045.0379999997 3235406.166999999, 309027.2284000004 3235388.2381, 309009.9741000002 3235369.7743, 308993.2911 3235350.7925, 308977.1950000003 3235331.310699999, 308961.7006999999 3235311.346799999, 308946.8228000002 3235290.919500001, 308935.9672999997 3235261.735200001, 308924.3990000002 3235232.8259, 308912.125 3235204.2092, 308899.1525999997 3235175.9022, 308885.4896 3235147.9221, 308871.1442 3235120.285499999, 308856.1251999997 3235093.009199999, 308840.4413999999 3235066.1096, 308824.1025 3235039.6028, 308807.1180999996 3235013.504899999, 308789.4985999996 3234987.831599999, 308771.2545999996 3234962.598200001, 308752.3969000001 3234937.8201, 308732.9369999999 3234913.512, 308712.8865999999 3234889.6887, 308692.2577999998 3234866.364499999, 308671.0629000003 3234843.553400001, 308649.3147999998 3234821.269200001, 308627.0264999997 3234799.5252, 308603.8280999996 3234784.4365, 308580.2441999996 3234769.957699999, 308556.2909000004 3234756.0985, 308531.9845000003 3234742.8685, 308507.3414000003 3234730.2766, 308482.3784999996 3234718.3313, 308457.1127000004 3234707.0408, 308431.5612000003 3234696.412699999, 308405.7412999999 3234686.454299999, 308379.6705999998 3234677.1724, 308353.3668 3234668.5732, 308326.8477999996 3234660.662599999, 308300.1316 3234653.445900001, 308273.2363 3234646.928200001, 308246.1803000001 3234641.113700001, 308218.9819 3234636.0065, 308191.6595999999 3234631.609999999, 308164.2319999998 3234627.927200001, 306523.6511000004 3234383.530099999, 305087.3123000003 3234181.454700001, 302771.6059999997 3233326.353499999, 301726.9960000003 3232956.5801, 301698.0461999997 3232951.277100001, 301668.9647000004 3232946.7512, 301639.7724000001 3232943.0057, 301610.4903999995 3232940.043400001, 301581.1394999996 3232937.8662, 301551.7407999998 3232936.4759, 301522.3153999997 3232935.873400001, 301492.8843999999 3232936.0591, 301463.4689999996 3232937.0328, 301434.0902000004 3232938.794, 301404.7691000002 3232941.3413, 301375.5267000003 3232944.672800001, 301346.3841000004 3232948.7863, 301317.3619999997 3232953.6788, 301288.4813999999 3232959.3467, 301259.7629000004 3232965.786, 301231.2271999996 3232972.992000001, 301202.8946000002 3232980.9597, 301174.7856000001 3232989.6832, 301146.9203000003 3232999.156300001, 301119.3186999997 3233009.372300001, 301092.0005999999 3233020.323799999, 301064.9855000004 3233032.002900001, 301038.2928999998 3233044.4013, 300880.0263999999 3233163.3673, 300488.2549000001 3233529.7289, 300470.7653000001 3233548.2513, 300452.7383000003 3233566.2511, 300434.1893999996 3233583.7127, 300415.1348000001 3233600.620999999, 300395.591 3233616.961300001, 300375.5747999996 3233632.7194, 300355.1036 3233647.8818, 300334.1952 3233662.4353, 300312.8676000005 3233676.3672, 300291.1392999999 3233689.6656, 300269.0290999999 3233702.319, 300246.5562000005 3233714.316199999, 300223.7400000002 3233725.6471, 300200.6003 3233736.3017, 300177.1571000004 3233746.2708, 300153.4307000004 3233755.5459, 300129.4417000003 3233764.118799999, 300105.2109000003 3233771.982100001, 300080.7592000002 3233779.1291, 300056.1076999996 3233785.5535, 300031.2779000001 3233791.2498, 300006.2912999997 3233796.213099999, 299981.1694 3233800.438999999, 299668.1255000001 3233842.544399999, 299247.0723000001 3233879.1577, 297608.6441000002 3234065.9005, 296896.8301999997 3234158.343800001, 296425.3689999999 3234144.477299999, 295611.8673999999 3234079.767000001, 292280.1677000001 3233911.8046, 292050.7242000001 3233906.922800001, 291904.8885000004 3233917.9911, 291775.4677999998 3233954.9684, 291641.4249 3234024.301000001, 291373.3391000004 3234158.343800001, 290673.3165999996 3234534.005999999, 289418.1619999995 3235207.575999999, 288248.7533999998 3235850.057399999, 288128.5769999996 3235882.412599999, 287721.8262 3235919.389900001, 286158.4205 3235947.5052, 285001.4396000002 3235979.2367, 283349.2549999999 3236030.322000001, 281726.8739999998 3236071.921499999, 281569.7203000002 3236071.921499999, 281463.4104000004 3236048.8106, 280122.9815999996 3235503.3948, 279864.1402000003 3235489.5283, 278449.7566999998 3235410.951400001, 278255.6255999999 3235410.951400001, 278126.2049000002 3235410.951400001, 278019.8951000003 3235447.9288, 277539.1896000002 3235683.659399999, 277021.5066999998 3235937.878599999, 275939.9193000002 3236450.939300001, 275172.6393999998 3236825.334899999, 274728.9112999998 3237061.0655, 274534.7801999999 3237135.020199999, 274423.8481999999 3237162.7532, 274331.4047999997 3237171.997500001, 274003.2308 3237167.375399999, 273633.4573999997 3237185.864, 273504.0367000001 3237181.241900001, 273411.5932999998 3237204.352700001, 270753.8465999998 3237726.6577, 269071.3772999998 3237994.7435, 268784.8028999995 3238040.9652, 268604.5383000001 3238091.809, 268475.1176000005 3238101.053300001, 267971.3013000004 3238114.9199, 266811.1370999999 3238151.8972, 266718.6936999997 3238138.0307, 265022.3579000002 3237403.105900001, 262826.8279999997 3237199.7305, 261061.1596999997 3237010.2216, 260894.7616999997 3236977.8665, 260760.7187999999 3236945.511299999, 260668.2753999997 3236899.2896, 260455.8698000005 3236726.148399999, 259904.2291000001 3236198.9166, 259586.6880999999 3235914.7678, 258726.9648000002 3235161.3543, 258629.8991999999 3235087.399599999, 258532.8337000003 3235041.177999999, 258403.4129999997 3234999.578500001, 258163.0603 3234944.112400001, 256637.7446999997 3234620.560699999, 256189.3943999996 3234629.805, 254502.3030000003 3234671.4045, 252283.6622000001 3234722.248400001, 252112.642 3234726.8705, 252038.6873000003 3234754.603499999, 250980.2107999995 3235101.2662, 250809.1906000003 3235142.865700001, 250702.8806999996 3235156.7322, 250527.2383000003 3235124.377, 249521.1079000002 3234927.9593, 249011.1671000002 3234837.8026, 248909.4793999996 3234837.8026, 248812.4139 3234837.8026, 248627.5272000004 3234893.2686, 247878.7358999997 3235161.3543, 247606.0279999999 3235253.797700001, 247384.1639 3235327.7524, 247287.0983999996 3235327.7524, 247194.6550000003 3235318.508099999, 247069.8564999998 3235272.2864, 246302.5765000004 3234823.936100001, 246219.3775000004 3234740.737, 246085.3345999997 3234444.918299999, 245974.4025999997 3234162.966, 245923.5586999999 3234089.011299999, 245271.8329999996 3233358.708699999, 245202.5005000001 3233317.109200001, 245123.9236000003 3233289.3762, 244046.9583999999 3233122.9781, 243796.9222999997 3233086.065400001, 242960.7489 3232984.313100001, 241911.5166999996 3232854.8924, 240626.5538999997 3232910.3584, 240173.3817999996 3232915.9641)",0.41840969184381077,0.20339992259203366
1,3L/Hakra Right Minor,M,72.4233695779,29.218351871,72.4003809395,29.178819272,5058.05948641,5058.05948641,7003000,"LINESTRING (249521.1079000002 3234927.9593, 249429.2160999998 3234775.984300001, 248994.4968999997 3234100.932499999, 248679.9440000001 3233641.473200001, 248549.1748000002 3233273.9057, 248460.8172000004 3232977.0243, 248330.0480000004 3232595.319700001, 248291.1706999997 3232425.6731, 248100.3183000004 3232224.217900001, 247916.5345999999 3232075.7772, 247729.2165999999 3231930.8708, 247704.4764999999 3231899.062100001, 247594.9130999995 3231524.426000001, 247492.4183 3231199.270199999, 247488.8839999996 3231128.584100001, 247510.0898000002 3231064.966700001, 247488.8839999996 3230966.006200001, 247396.9922000002 3230895.3202, 247290.9631000003 3230757.4824, 247220.2769999998 3230651.453299999, 247188.4682999998 3230594.9045)",0.4423077512268953,0.20998448339841558
2,1R/Hakra Right Minor,M,72.4036120547,29.2209089949,72.3193154747,29.2324059619,9367.44578284,9367.44578284,7004000,"LINESTRING (247606.0279999999 3235253.797700001, 247494.4532000003 3235459.225199999, 247101.2981000002 3236262.6292, 246987.3400999997 3236473.4515, 246924.6632000003 3236570.3158, 246879.0800000001 3236610.201099999, 246793.6114999996 3236610.201099999, 246389.0606000004 3236507.638900001, 246121.2593 3236450.6599, 244970.2834000001 3236217.046, 244850.6275000004 3236256.931299999, 244679.6904999996 3236399.378799999, 244092.8068000004 3236917.887700001, 243995.9424000001 3236997.658299999, 243300.7986000003 3237060.335200001, 242292.2703 3237174.293199999, 241585.7306000004 3237117.314200001, 241072.9195999997 3237060.335200001, 240748.1392999999 3237009.054099999, 240394.8695 3236878.0024, 239967.5268999999 3236786.835999999, 239568.6738999998 3236729.857000001, 239437.6222000001 3236712.7633)",0.410304636180749,0.23417143035564827
3,1R/1R/Hakra Right Sub Minor,SM,72.3880772773,29.2314029791,72.3654556711,29.2527217895,4054.30164273,4054.30164273,7004010,"LINESTRING (246121.2593 3236450.6599, 246068.8931 3236613.5211, 245684.0023999996 3237622.559, 245590.3804000001 3237898.2239, 245567.6189999999 3238007.8694, 245614.71 3238117.748400001, 245633.5464000003 3238224.488, 245663.0703999996 3238413.765799999, 245634.2594999997 3238684.588300001, 245582.3997999998 3238753.7345, 245472.9183999998 3238805.5942, 245398.0099999998 3238822.8807, 244314.7196000004 3238857.4538, 243974.7507999996 3238863.216)",0.40799586435862495,0.35119724981967493
4,4L/Hakra Right Minor,M,72.3649620957,29.200598485,72.3222969606,29.0894919178,13764.598028,13764.598028,7005000,"LINESTRING (243796.9222999997 3233086.065400001, 243731.2537000002 3232937.216700001, 243464.2016000003 3232530.071699999, 243354.7539999997 3232385.6009, 243271.5739000002 3232298.0428, 243113.9693 3232074.7697, 243017.6555000003 3231960.9442, 242930.0974000003 3231838.363, 242842.5393000003 3231663.2468, 242798.7603000002 3231531.909700001, 242763.7370999996 3231453.1075, 242754.9813000001 3231374.305199999, 242768.1150000002 3231291.125, 242912.5857999995 3230757.0208, 242969.4984999998 3230187.8934, 243043.9228999997 3229509.318299999, 243052.6787 3228944.5688, 243052.6787 3228861.388599999, 243000.1438999996 3228681.8946, 242689.3126999997 3227679.354699999, 242601.6410999997 3227377.601399999, 242501.0629000003 3227031.425000001, 242452.9058999997 3226930.733200001, 241380.3196 3225954.4608, 240824.3258999996 3225446.624, 240180.7741 3224873.1186, 240101.9718000004 3224785.5606, 240071.3265000004 3224724.2699, 239939.9894000003 3223905.602, 239668.5593999997 3222434.626499999, 239366.4840000002 3220862.959100001)",0.42145597537688856,0.22494243611171116
5,1L/4L Hakra Right Sub Minor,SM,72.3540010166,29.1488880481,72.3755631543,29.1383417031,2583.1891041,2583.1891041,7005010,"LINESTRING (242601.6410999997 3227377.601399999, 243052.2560000001 3226883.989499999, 243134.9905000003 3226806.7707, 243250.8186999997 3226762.6456, 243708.6160000004 3226668.879899999, 244210.5384 3226586.145500001, 244475.2885999996 3226547.5361, 244673.8513000002 3226161.4419)",0.5314291007360252,0.2716455310678543
6,2L/Hakra Right Minor,M,72.7058586885,29.2326084033,72.594326198,29.1840023343,12650.0003355,12650.0003355,7002000,"LINESTRING (277021.5066999998 3235937.878599999, 276706.1161000002 3235872.774599999, 275995.9868999999 3235693.7751, 275177.2843000004 3235508.9068, 275015.8913000003 3235473.6938, 274185.4508999996 3235086.3506, 274102.1750999996 3235058.592, 274097.4183999998 3235057.0064, 273874.1035000002 3235039.680199999, 273783.3761999998 3235032.641000001, 273757.0258999998 3235030.5966, 273536.9445000002 3235024.7278, 273457.7152000004 3234977.777100001, 273416.9959000004 3234941.831800001, 273231.8232000005 3234778.369000001, 273032.2246000003 3234602.171599999, 272728.9963999996 3234316.2707, 272373.9326999998 3233981.496400001, 272313.2922 3233924.321, 272263.4071000004 3233912.5833, 272137.2270999998 3233921.386600001, 272064.5691 3233927.579, 271730.7790999999 3233956.027000001, 271688.9308000002 3233959.593599999, 271620.7695000004 3233965.402799999, 271541.5401999997 3233938.993100001, 271387.8371000001 3233810.907199999, 271383.0816000002 3233806.9443, 271048.2125000004 3233555.420399999, 270722.8375000004 3233311.0276, 270721.9888000004 3233310.385500001, 270707.6335000005 3233299.5261, 270367.8925999999 3233042.52, 270284.9512 3232979.776799999, 270156.4949000003 3232882.602600001, 270038.5898000002 3232794.9296, 269813.1678999998 3232627.3082, 269680.6840000004 3232511.3137, 269352.6476999996 3232224.106000001, 269129.4484999999 3232028.686899999, 269025.6058 3231935.775, 268906.4326999998 3231829.146400001, 268707.2955999998 3231651.1566, 268574.8435000004 3231532.770199999, 268365.4714000002 3231414.734999999, 268365.0358999996 3231414.489399999, 268137.6151999999 3231286.279100001, 267976.2221999997 3231207.049799999, 267635.8296999997 3231092.6075, 267556.6003999999 3231030.9847, 267546.7796 3231021.5055, 267531.6699000001 3231006.921399999, 267437.4142000005 3230915.9441, 267219.1423000004 3230705.2643, 266767.3783 3230717.636, 266374.1169999996 3230728.559900001, 266364.8415000001 3230728.0143, 266250.3125999998 3230721.2773, 266159.2799000004 3230758.145500001, 266083.5904000001 3230768.1556, 266067.8987999996 3230767.408399999, 266067.3994000005 3230767.3846)",0.4105928871225382,0.21900013747869015
