,NAME,GEOM,GEOM2
0,Hakra Right Disty,"LINESTRING (240173.3817999996 3232915.9641, 240626.5538999997 3232910.3584, 241911.5166999996 3232854.8924, 242960.7489 3232984.313100001, 243796.9222999997 3233086.065400001, 244046.9583999999 3233122.9781, 245123.9236000003 3233289.3762, 245202.5005000001 3233317.109200001, 245271.8329999996 3233358.708699999, 245923.5586999999 3234089.011299999, 245974.4025999997 3234162.966, 246085.3345999997 3234444.918299999, 246219.3775000004 3234740.737, 246302.5765000004 3234823.936100001, 247069.8564999998 3235272.2864, 247194.6550000003 3235318.508099999, 247287.0983999996 3235327.7524, 247384.1639 3235327.7524, 247606.0279999999 3235253.797700001, 247878.7358999997 3235161.3543, 248627.5272000004 3234893.2686, 248812.4139 3234837.8026, 248909.4793999996 3234837.8026, 249011.1671000002 3234837.8026, 249521.1079000002 3234927.9593, 250527.2383000003 3235124.377, 250702.8806999996 3235156.7322, 250809.1906000003 3235142.865700001, 250980.2107999995 3235101.2662, 252038.6873000003 3234754.603499999, 252112.642 3234726.8705, 252283.6622000001 3234722.248400001, 254502.3030000003 3234671.4045)","POLYGON ((240638.9228679282 3233910.28190139, 240669.6791939099 3233909.428071757, 241871.5952852958 3233857.546820467, 242838.3286734437 3233976.791456505, 242839.9519551478 3233976.990337634, 243663.4788943723 3234077.203714641, 243897.5861107677 3234111.7648418, 244716.4818311804 3234238.289535425, 245097.3320768265 3234665.057920661, 245154.7685893143 3234811.042458936, 245174.4814136518 3234857.64880883, 245308.5243136525 3235153.467508831, 245349.2999640044 3235233.651882464, 245397.116444862 3235309.847496479, 245451.5868162996 3235381.437761683, 245512.2702938619 3235447.843356234, 245595.4692938619 3235531.042456235, 245658.4555193171 3235588.859731642, 245726.1503347979 3235641.085337331, 245798.058884303 3235687.337498801, 246565.3388843024 3236135.6877988, 246642.3212379928 3236176.285072422, 246722.5419239232 3236210.035079148, 246847.3404239237 3236256.256779148, 246928.2191329471 3236282.360748876, 247011.0222503707 3236301.503020263, 247075.3110031188 3236310.705329231, 247095.1517072615 3236313.545332837, 247187.5951072608 3236322.789632838, 247287.0983999996 3236327.7524, 247384.1639 3236327.7524, 247491.2085936495 3236322.006609728, 247597.02317458 3236304.835267123, 247700.3916660121 3236276.435698052, 247922.255766012 3236202.480998053, 247927.067418428 3236200.863532885, 248199.7753184278 3236108.420132883, 248215.8084225277 3236102.832985131, 248939.9513743396 3235843.571999946, 248945.9322066068 3235841.777750589, 249338.2422670017 3235911.137528081, 250335.6343710677 3236105.84932993, 250346.0757565134 3236107.830167587, 250521.7181565127 3236140.185367587, 250624.7489472792 3236153.675242113, 250728.6233516259 3236156.400803032, 250832.2198043109 3236148.33262159, 250938.5297043116 3236134.46612159, 251045.5421356578 3236114.533313741, 251216.562335657 3236072.933813741, 251291.4543866245 3236051.596368828, 252297.053379312 3235722.251634275, 252308.6260252472 3235721.938864633, 254525.2136731901 3235671.142016078, 254623.0947644427 3235664.082368013, 254719.8125649723 3235647.462689426, 254814.4356294883 3235621.443036907, 254906.0526861534 3235586.273993935, 254993.7814126287 3235542.294257616, 255076.776933321 3235489.927376855, 255154.239955996 3235429.67767334, 255225.4244693998 3235362.125384652, 255289.6449277549 3235287.921076257, 255346.2828529408 3235207.779376212, 255394.7927907766 3235122.472092895, 255434.7075640426 3235032.820782081, 255465.6427716528 3234939.6888349, 255487.3004906468 3234843.973162915, 255499.4721453515 3234746.59556037, 255502.0405160784 3234648.49382681, 255494.9808680133 3234550.612735558, 255478.3611894264 3234453.894935028, 255452.3415369076 3234359.271870512, 255417.1724939345 3234267.654813847, 255373.1927576162 3234179.926087372, 255320.8258768553 3234096.93056668, 255260.5761733403 3234019.467544004, 255193.0238846517 3233948.283030601, 255118.8195762574 3233884.062572245, 255038.6778762115 3233827.42464706, 254953.3705928954 3233778.914709224, 254863.7192820811 3233738.999935958, 254770.5873349001 3233708.064728348, 254674.8716629149 3233686.407009354, 254577.4940603702 3233674.235354649, 254479.3923268105 3233671.666983922, 252260.7515268103 3233722.510883923, 252256.6454333089 3233722.613419462, 252085.6252333088 3233727.235519461, 251975.4722932274 3233736.322938525, 251866.9950527677 3233757.511135618, 251761.5186971694 3233790.541270397, 251707.3558811642 3233810.852317244, 250705.9975242772 3234138.808196913, 250702.3736971984 3234139.689668193, 249712.7118289327 3233946.486970071, 249695.2062486444 3233943.231030375, 249185.2654486444 3233853.074330375, 249098.5505377176 3233841.627848858, 249011.1671000002 3233837.8026, 248814.3541253913 3233837.8026, 248812.4139 3233837.8026, 248715.4144091495 3233842.518168908, 248619.3297338652 3233856.620402451, 248525.0660619617 3233879.97630052, 248340.179361962 3233935.44230052, 248290.4546774724 3233951.789914869, 247549.6562130289 3234217.013983176, 247357.4938709387 3234282.153791209, 247020.1261471379 3234085.017256728, 247006.6340022541 3234055.241500163, 246904.9686106851 3233796.841841063, 246857.4102965341 3233693.607493247, 246798.4442966231 3233596.436846093, 246747.6003966233 3233522.482146093, 246669.6639294982 3233423.183254243, 246017.9382294979 3232692.880654243, 245947.303064339 3232621.321290166, 245869.8388501247 3232557.216963788, 245786.328755417 3232501.215774281, 245716.9962554174 3232459.616274282, 245628.3096078484 3232412.296178613, 245535.3203666512 3232374.1187778, 245456.7434666515 3232346.385777799, 245367.734433671 3232319.55339279, 245276.6182448763 3232301.102783669, 244199.6530448759 3232134.704683669, 244193.0049573409 3232133.700382122, 243942.9688573407 3232096.787682123, 243917.7192448519 3232093.388162368, 243082.3575670182 3231991.734639246, 243039.2050404875 3231986.411861132, 242033.9369265559 3231862.414043496, 241951.3009047174 3231855.684104871, 241868.3914060893 3231855.822728243, 240598.8002006101 3231910.625206418, 240161.0128320711 3231916.040598609, 240063.0627498779 3231922.06787444, 239966.1751004439 3231937.666914243, 239871.2829647973 3231962.687490736, 239779.3002060777 3231996.88864209, 239691.1126685345 3232039.940992521, 239607.5696463624 3232091.42992436, 239529.4757045342 3232150.859571048, 239457.5829304003 3232217.657592597, 239392.5836906761 3232291.180687546, 239335.1039635723 3232370.720788299, 239285.6973102826 3232455.511880203, 239244.8395438865 3232544.737378692, 239212.9241470097 3232637.537993441, 239190.2584823707 3232733.0200038, 239177.0608327104 3232830.263865812, 239173.4582986094 3232928.333067928, 239179.4855744407 3233026.283150121, 239195.0846142431 3233123.170799555, 239220.1051907359 3233218.062935202, 239254.3063420899 3233310.045693921, 239297.3586925214 3233398.233231465, 239348.8476243608 3233481.776253637, 239408.2772710478 3233559.870195465, 239475.0752925974 3233631.762969599, 239548.5983875463 3233696.762209323, 239628.1384882986 3233754.241936427, 239712.9295802029 3233803.648589717, 239802.1550786926 3233844.506356113, 239894.9556934416 3233876.421752989, 239990.4377038 3233899.087417629, 240087.6815658122 3233912.285067289, 240185.7507679281 3233915.88760139, 240638.9228679282 3233910.28190139))"
1,3L/Hakra Right Minor,"LINESTRING (247188.4682999998 3230594.9045, 247220.2769999998 3230651.453299999, 247290.9631000003 3230757.4824, 247396.9922000002 3230895.3202, 247488.8839999996 3230966.006200001, 247510.0898000002 3231064.966700001, 247488.8839999996 3231128.584100001, 247492.4183 3231199.270199999, 247594.9130999995 3231524.426000001)","POLYGON ((246348.7014628783 3231141.714539637, 246388.2268263906 3231206.153677317, 246458.9129263911 3231312.182777318, 246498.3391750267 3231367.19324422, 246510.2866925428 3231382.72501361, 246516.5700274337 3231417.719619612, 246538.6791189864 3231499.90548502, 246641.173918986 3231825.061285022, 246675.2338447459 3231917.096431096, 246718.1507844817 3232005.349946262, 246769.511424603 3232088.971900927, 246828.8211340689 3232167.156969954, 246895.5087279551 3232239.152188387, 246968.9319682774 3232304.264202917, 247048.3837490943 3232361.86594925, 247133.0989063237 3232411.402691081, 247222.2615866916 3232452.397362506, 247315.0131048447 3232484.455162429, 247410.46021296 3232507.267356712, 247507.6837032097 3232520.614251455, 247605.7472602349 3232524.367308765, 247703.7064783745 3232518.490384647, 247800.6179568078 3232503.040077094, 247895.5483850204 3232478.165181015, 247987.5835310942 3232444.105255255, 248075.8370462611 3232401.188315519, 248159.4590009258 3232349.827675398, 248237.6440699523 3232290.517965931, 248309.6392883857 3232223.830372045, 248374.7513029159 3232150.407131723, 248432.3530492491 3232070.955350906, 248481.8897910797 3231986.240193677, 248522.8844625045 3231897.077513309, 248554.9422624276 3231804.325995156, 248577.7544567112 3231708.878887041, 248591.1013514539 3231611.655396791, 248594.8544087632 3231513.591839766, 248588.9774846456 3231415.632621626, 248573.527177093 3231318.721143193, 248548.6522810131 3231223.79071498, 248508.465450977 3231096.30150704, 248510.0877103255 3231067.01104462, 248504.6320975968 3230960.632533539, 248487.8922574553 3230855.437813699, 248466.6864574547 3230756.477313699, 248440.7081321724 3230659.361745602, 248405.1103800465 3230565.345220485, 248360.252962887 3230475.377898212, 248306.5892235207 3230390.369016154, 248244.6615041696 3230311.17770017, 248175.0956653746 3230238.604282005, 248112.2294125511 3230185.006651526, 248104.2314595982 3230174.609314951, 248073.3085510097 3230128.224973941, 248060.0438371213 3230104.643260362, 248007.7929579605 3230021.574660503, 247947.6515344551 3229944.027540413, 247880.1987613901 3229872.748721248, 247806.0842458437 3229808.424657004, 247726.0217511155 3229751.674823581, 247640.7823227964 3229703.045752899, 247551.1868631779 3229663.00576949, 247458.0982255138 3229631.940480284, 247362.4129042723 3229610.149060998, 247265.0524014038 3229597.841374911, 247166.9543517737 3229595.135951769, 247069.0634932258 3229602.058846276, 246972.3225682403 3229618.543387172, 246877.6632448091 3229644.430819319, 246785.9971439626 3229679.471832592, 246698.2070603618 3229723.328962879, 246615.1384605029 3229775.579842039, 246537.5913404122 3229835.721265545, 246466.3125212479 3229903.17403861, 246401.9884570036 3229977.288554156, 246345.2386235809 3230057.351048884, 246296.6095528983 3230142.590477203, 246256.5695694899 3230232.185936822, 246225.504280284 3230325.274574486, 246203.7128609976 3230420.959895728, 246191.4051749109 3230518.320398596, 246188.6997517689 3230616.418448226, 246195.6226462755 3230714.309306774, 246212.1071871721 3230811.050231759, 246237.9946193185 3230905.709555191, 246273.0356325917 3230997.375656038, 246316.8927628784 3231085.165739638, 246348.7014628783 3231141.714539637))"
2,1R/Hakra Right Minor,"LINESTRING (239437.6222000001 3236712.7633, 239568.6738999998 3236729.857000001, 239967.5268999999 3236786.835999999, 240394.8695 3236878.0024, 240748.1392999999 3237009.054099999, 241072.9195999997 3237060.335200001, 241585.7306000004 3237117.314200001)","POLYGON ((239433.2885967523 3237720.668786946, 239792.2928136305 3237771.955103641, 240115.1783467295 3237840.837334584, 240400.332477042 3237946.62031841, 240495.0072602532 3237976.485839428, 240592.1767265233 3237996.817065328, 240916.957026523 3238048.098165329, 240962.4880739244 3238054.218934674, 241475.2990739251 3238111.197934675, 241573.2484733999 3238117.236295224, 241671.3180825773 3238113.644859384, 241768.5634375107 3238100.458214643, 241864.0480122722 3238077.803355602, 241956.8522382097 3238045.898460934, 242046.0823598956 3238005.050792218, 242130.8790424798 3237955.653734833, 242210.4256475545 3237898.183009444, 242283.9560978282 3237833.192090554, 242350.7622548689 3237761.306876239, 242410.2007388644 3237683.219660411, 242461.6991247214 3237599.682465643, 242504.7614548322 3237511.499800787, 242538.9730154176 3237419.520913112, 242564.0043304473 3237324.631609587, 242579.6143346739 3237227.745726076, 242585.6526952235 3237129.796326601, 242582.0612593831 3237031.726717424, 242568.8746146431 3236934.48136249, 242546.2197556009 3236838.996787729, 242514.3148609335 3236746.192561791, 242473.4671922175 3236656.962440106, 242424.0701348323 3236572.165757522, 242366.5994094436 3236492.619152447, 242301.6084905537 3236419.088702173, 242229.7232762391 3236352.282545132, 242151.6360604101 3236292.844061137, 242068.098865642 3236241.34567528, 241979.9162007864 3236198.283345169, 241887.9373131115 3236164.071784583, 241793.0480095863 3236139.040469554, 241696.1621260756 3236123.430465327, 241206.1869663031 3236068.988780908, 241002.5248581533 3236036.831605936, 240742.676322958 3235940.436181589, 240603.5079250744 3235900.009553614, 240176.1653250743 3235808.843153613, 240108.9482562334 3235796.886506338, 239710.0952562332 3235739.907506339, 239698.0130840754 3235738.256588816, 239566.9613840757 3235721.162888815, 239469.1447438984 3235713.260258871, 239371.0245243914 3235714.983389597, 239273.5456769064 3235726.315686302, 239177.6469760323 3235747.148012775, 239084.2519786818 3235777.279742322, 238994.2601297345 3235816.420689917, 238908.5380998901 3235864.193906838, 238827.9114391567 3235920.13931089, 238753.1566263519 3235983.71811725, 238684.9935911883 3236054.318027257, 238624.0787809563 3236131.259125182, 238570.9988385777 3236213.800426194, 238526.2649529141 3236301.147012441, 238490.3079357385 3236392.45768855, 238463.4740727824 3236486.853082793, 238446.0217888149 3236583.424115924, 238438.1191588711 3236681.240756101, 238439.8422895973 3236779.360975609, 238451.1745863026 3236876.839823093, 238472.006912775 3236972.738523968, 238502.1386423223 3237066.133521318, 238541.2795899175 3237156.125370265, 238589.0528068384 3237241.84740011, 238644.9982108907 3237322.474060843, 238708.5770172504 3237397.228873648, 238779.1769272567 3237465.391908811, 238856.1180251823 3237526.306719044, 238938.6593261939 3237579.386661422, 239026.0059124412 3237624.120547086, 239117.3165885499 3237660.077564261, 239211.7119827938 3237686.911427218, 239308.2830159245 3237704.363711185, 239433.2885967523 3237720.668786946))"
3,1R/1R/Hakra Right Sub Minor,"LINESTRING (243974.7507999996 3238863.216, 244314.7196000004 3238857.4538, 245398.0099999998 3238822.8807)","POLYGON ((244331.6663683765 3239857.310193209, 244346.6182543611 3239856.94490844, 245429.9086543604 3239822.371808439, 245527.722313855 3239814.432370683, 245624.2867728591 3239796.9437483, 245718.6720628452 3239770.074366285, 245809.9692018743 3239734.082991476, 245897.2989485896 3239689.316240485, 245979.8202697909 3239636.205241598, 246056.7384400442 3239575.261482766, 246127.3126953223 3239507.071885704, 246190.863366967 3239432.293153506, 246246.7784272701 3239351.645446242, 246294.5193836346 3239265.90544542, 246333.6264645528 3239175.898874117, 246363.7230474573 3239082.492544819, 246384.5192858024 3238986.586011536, 246395.8149004444 3238889.102906613, 246397.5011084395 3238790.982045639, 246389.5616706828 3238693.168386145, 246372.0730483002 3238596.60392714, 246345.2036662855 3238502.218637154, 246309.2122914756 3238410.921498125, 246264.4455404851 3238323.59175141, 246211.3345415978 3238241.070430208, 246150.3907827665 3238164.152259955, 246082.201185704 3238093.578004677, 246007.4224535062 3238030.027333032, 245926.7747462424 3237974.112272729, 245841.0347454201 3237926.371316365, 245751.0281741174 3237887.264235447, 245657.6218448186 3237857.167652542, 245561.7153115359 3237836.371414197, 245464.2322066127 3237825.075799555, 245366.1113456391 3237823.38959156, 244290.2955227397 3237857.724141213, 243957.8040316235 3237863.359606791, 243859.8825705426 3237869.835262387, 243763.0673533048 3237885.877717523, 243668.2907633766 3237911.332474587, 243576.4655511292 3237945.954390353, 243488.4760435532 3237989.410036846, 243405.1696277067 3238041.280912436, 243327.348589914 3238101.067472234, 243255.7623893106 3238168.193938987, 243191.1004401411 3238242.013848125, 243133.9854723239 3238321.81627357, 243084.9675342214 3238406.832674339, 243044.5186953732 3238496.244296019, 243013.0285002093 3238589.190055816, 242990.8002165231 3238684.774835253, 242978.047914838 3238782.078100652, 242974.8944067902 3238880.162768376, 242981.3700623861 3238978.084229457, 242997.4125175224 3239074.899446695, 243022.8672745864 3239169.676036623, 243057.4891903526 3239261.501248871, 243100.9448368458 3239349.490756446, 243152.8157124352 3239432.797172293, 243212.6022722333 3239510.618210086, 243279.7287389865 3239582.204410689, 243353.5486481249 3239646.866359858, 243433.3510735696 3239703.981327676, 243518.3674743389 3239752.999265778, 243607.7790960189 3239793.448104626, 243700.7248558154 3239824.93829979, 243796.3096352522 3239847.166583477, 243893.6129006513 3239859.918885162, 243991.6975683757 3239863.072393209, 244331.6663683765 3239857.310193209))"
4,4L/Hakra Right Minor,"LINESTRING (239366.4840000002 3220862.959100001, 239668.5593999997 3222434.626499999, 239939.9894000003 3223905.602)","POLYGON ((238685.8337959561 3222619.73222129, 238956.5911455833 3224087.062390195, 238979.1127054984 3224182.578493521, 239010.8880332502 3224275.427161803, 239051.6111150622 3224364.714211611, 239100.8897653952 3224449.579759845, 239158.2494039079 3224529.206504882, 239223.1376259255 3224602.827597641, 239294.9295223986 3224669.734026752, 239372.9336981185 3224729.281446729, 239456.3989302317 3224780.896383364, 239544.5214029263 3224824.081756603, 239636.4524486175 3224858.421667694, 239731.3067210806 3224883.585404521, 239828.1707218193 3224899.330626542, 239926.1115975552 3224905.505698663, 240024.1861241151 3224902.051151562, 240121.4497901951 3224889.000254417, 240216.9658935211 3224866.478694502, 240309.8145618039 3224834.70336675, 240399.1016116114 3224793.980284938, 240483.9671598449 3224744.701634605, 240563.5939048826 3224687.341996092, 240637.2149976413 3224622.453774075, 240704.1214267525 3224550.661877602, 240763.668846729 3224472.657701882, 240815.2837833646 3224389.192469769, 240858.4691566037 3224301.069997074, 240892.8090676947 3224209.138951383, 240917.9728045215 3224114.28467892, 240933.7180265427 3224017.420678181, 240939.893098663 3223919.479802445, 240936.4385515622 3223821.405275885, 240923.3876544173 3223724.141609805, 240651.9576544166 3222253.166109805, 240650.5853469761 3222245.880534573, 240348.5099469766 3220674.213134574, 240325.2808838471 3220578.866622935, 240292.8180825944 3220486.25607715, 240251.4341777405 3220397.273387403, 240201.5277189121 3220312.775505638, 240143.5793325892 3220233.576192647, 240078.14709341 3220160.43818111, 240005.8611496066 3220094.065830059, 239927.4176543334 3220035.098341517, 239843.5720613314 3219984.103604634, 239755.131849496 3219941.572726603, 239662.9487464134 3219907.915303029, 239567.9105257587 3219883.455473299, 239470.93245755 3219868.428798946, 239372.9484935978 3219862.979995057, 239274.9022730383 3219867.161536594, 239177.7380345732 3219880.933153024, 239082.3915229342 3219904.162216153, 238989.7809771501 3219936.625017406, 238900.7982874028 3219978.00892226, 238816.3004056376 3220027.915381089, 238737.101092647 3220085.863767412, 238663.9630811099 3220151.296006591, 238597.5907300588 3220223.581950394, 238538.623241517 3220302.025445668, 238487.6285046341 3220385.871038669, 238445.0976266028 3220474.311250505, 238411.4402030284 3220566.494353587, 238386.980373299 3220661.532574242, 238371.9536989457 3220758.510642451, 238366.5048950572 3220856.494606403, 238370.6864365935 3220954.540826962, 238384.4580530237 3221051.705065427, 238685.8337959561 3222619.73222129))"
5,1L/4L Hakra Right Sub Minor,"LINESTRING (244673.8513000002 3226161.4419, 244475.2885999996 3226547.5361, 244210.5384 3226586.145500001)","POLYGON ((243801.793157836 3225674.285628357, 243785.1990652001 3225681.111550211, 243698.5383506947 3225727.160081317, 243616.8084765518 3225781.481111574, 243540.7965461375 3225843.551499766, 243471.234595894 3225912.773474123, 243408.7925454286 3225988.480389192, 243354.0717458216 3226069.943145995, 243307.5991882866 3226156.377213653, 243269.8224289573 3226246.950184843, 243241.1052786767 3226340.78979234, 243221.7242993005 3226436.992309428, 243211.8661402548 3226534.631253276, 243211.6257410003 3226632.766307482, 243221.0054167131 3226730.452377825, 243239.9148359887 3226826.748694049, 243268.1718907826 3226920.727869987, 243305.5044502102 3227011.4848348, 243351.5529813161 3227098.145549306, 243405.8740115732 3227179.875423449, 243467.9443997651 3227255.887353863, 243537.1663741224 3227325.449304107, 243612.8732891916 3227387.891354572, 243694.3360459948 3227442.612154179, 243780.7701136519 3227489.084711714, 243871.3430848419 3227526.861471043, 243965.1826923398 3227555.578621324, 244061.3852094276 3227574.9596007, 244159.0241532761 3227584.817759746, 244257.159207481 3227585.058159, 244354.8452778244 3227575.678483287, 244619.595477824 3227537.069083287, 244712.9036088684 3227518.895512144, 244804.0644876871 3227491.944070993, 244892.254322042 3227456.458311546, 244976.6761680911 3227412.758907469, 245056.5671321196 3227361.240756554, 245131.2052645705 3227302.369412154, 245199.916084077 3227236.676876126, 245262.0786725377 3227164.756791289, 245317.1312861594 3227087.259076868, 245364.576431759 3227004.884055374, 245563.1391317596 3226618.789855374, 245603.6849065039 3226529.422149764, 245635.2758753188 3226436.51059319, 245657.6077999053 3226340.949974733, 245670.4656116217 3226243.660595388, 245673.7254827124 3226145.57940506, 245667.3560188367 3226047.65097923, 245651.4185614137 3225950.818422171, 245626.0665968707 3225856.014284343, 245591.5442784849 3225764.151581417, 245548.1840750544 3225676.11500144, 245496.4035690412 3225592.752384802, 245436.7014350243 3225514.866559074, 245369.6526371908 3225443.207607332, 245295.9028921165 3225378.465644456, 245216.1624501621 3225321.264170939, 245131.1992553741 3225272.15406824, 245041.8315497642 3225231.608293496, 244948.9199931905 3225200.017324681, 244853.3593747336 3225177.685400095, 244756.0699953879 3225164.827588378, 244657.9888050603 3225161.567717288, 244560.0603792303 3225167.937181164, 244463.2278221718 3225183.874638586, 244368.4236843432 3225209.226603129, 244276.5609814171 3225243.748921515, 244188.52440144 3225287.109124946, 244105.1617848027 3225338.889630959, 244027.275959074 3225398.591764976, 243955.6170073325 3225465.64056281, 243890.8750444562 3225539.390307884, 243833.6735709392 3225619.130749838, 243801.793157836 3225674.285628357))"
6,2L/Hakra Right Minor,"LINESTRING (266067.3994000005 3230767.3846, 266067.8987999996 3230767.408399999, 266083.5904000001 3230768.1556, 266159.2799000004 3230758.145500001, 266250.3125999998 3230721.2773, 266364.8415000001 3230728.0143, 266374.1169999996 3230728.559900001, 266767.3783 3230717.636, 267219.1423000004 3230705.2643, 267437.4142000005 3230915.9441, 267531.6699000001 3231006.921399999, 267546.7796 3231021.5055, 267556.6003999999 3231030.9847, 267635.8296999997 3231092.6075, 267976.2221999997 3231207.049799999, 268137.6151999999 3231286.279100001, 268365.0358999996 3231414.489399999, 268365.4714000002 3231414.734999999, 268574.8435000004 3231532.770199999)","POLYGON ((265920.3746582477 3229778.308732665, 265919.2187236772 3229778.424293838, 265822.9971930261 3229797.710654168, 265729.129389232 3229826.335504674, 265638.5193105589 3229864.023172398, 265552.0395815967 3229910.410704497, 265470.5230494101 3229965.051363679, 265394.7547627655 3230027.418930527, 265325.4644116825 3230096.912771279, 265263.3193001199 3230172.863622258, 265208.917919474 3230254.540035251, 265162.7841847793 3230341.155421752, 265125.3623891201 3230431.87562824, 265097.0129248456 3230525.826969534, 265078.0088127939 3230622.104642859, 265068.5330729531 3230719.781441588, 265068.6769618775 3230817.916684756, 265078.4390938383 3230915.565276324, 265097.7254541681 3231011.786806975, 265126.350304674 3231105.654610769, 265164.0379723976 3231196.264689442, 265210.4255044967 3231282.744418404, 265265.0661636791 3231364.260950591, 265327.4337305271 3231440.029237235, 265396.9275712786 3231509.319588318, 265472.8784222579 3231571.464699881, 265554.554835251 3231625.866080527, 265641.1702217521 3231671.999815222, 265731.8904282402 3231709.421610881, 265825.8417695343 3231737.771075156, 265922.1194428586 3231756.775187207, 266019.7962415882 3231766.250927048, 266020.2956415873 3231766.274727046, 266036.0264602772 3231767.023795328, 266125.5316957347 3231767.275676724, 266214.7009289609 3231759.523356786, 266290.3904289612 3231749.513256787, 266373.5348659175 3231734.923268779, 266399.2497059386 3231728.133509462, 266401.8840037444 3231728.174322417, 266794.9493285883 3231717.255866158, 266826.778577715 3231716.384212106, 266837.1868172786 3231726.430432475, 266852.2974472232 3231741.015430074, 266862.1178147985 3231750.49421269, 266942.65971751 3231820.336863729, 267021.8890175098 3231881.959663729, 267114.1598975697 3231945.754976836, 267212.9953438044 3231998.81448917, 267317.1516349476 3232040.470512705, 267594.8875170097 3232133.84722675, 267671.3531895812 3232171.384924866, 267873.8790552172 3232285.560556155, 267874.251368119 3232285.770521823, 268083.7500148183 3232403.877075653, 268171.498169052 3232447.818037001, 268263.1307593137 3232482.946587463, 268357.7653136677 3232508.924419894, 268454.4904496231 3232525.501353567, 268552.3746512454 3232532.51774355, 268650.4752401639 3232529.906018171, 268747.84745408 3232517.691329772, 268843.5535453448 3232495.991312481, 268936.6718119811 3232465.014949327, 269026.3054741775 3232425.06055962, 269111.5913107684 3232376.512925974, 269191.7079725254 3232319.839588641, 269265.8838921995 3232255.586342839, 269333.4047151357 3232184.37198245, 269393.6201788984 3232106.882340694, 269445.9503756544 3232023.863685181, 269489.8913370025 3231936.115530948, 269525.0198874641 3231844.482940686, 269550.9977198953 3231749.848386332, 269567.5746535686 3231653.123250376, 269574.5910435511 3231555.239048754, 269571.9793181716 3231457.138459836, 269559.7646297732 3231359.76624592, 269538.0646124824 3231264.060154655, 269507.0882493282 3231170.941888019, 269467.1338596212 3231081.308225822, 269418.5862259755 3230996.022389231, 269361.9128886419 3230915.905727474, 269297.6596428399 3230841.7298078, 269226.4452824508 3230774.208984864, 269148.9556406949 3230713.993521101, 269065.9369851825 3230661.663324345, 268856.1296478883 3230543.382672448, 268628.7088509909 3230415.172317823, 268578.2884313908 3230388.611509444, 268416.8954313907 3230309.382209443, 268294.9002650518 3230259.186787294, 268144.5345721723 3230208.632807009, 268131.897282722 3230196.435067525, 267913.6250911743 3229985.754986118, 267838.8073765619 3229920.397946478, 267757.8740428958 3229862.786935796, 267671.6238401075 3229813.490530559, 267580.907991549 3229772.995248482, 267486.621793071 3229741.70074694, 267389.6957771398 3229719.915878661, 267291.0865291951 3229707.855643588, 267191.7672468859 3229705.639066991, 266740.8039191863 3229717.988840327, 266381.3451645054 3229727.256491865, 266309.0346730447 3229723.00292983, 266220.3600064205 3229721.725979588, 266131.920911766 3229728.310327661, 266044.41294727 3229742.70418929, 265958.5243479431 3229764.794359242, 265920.3746582477 3229778.308732665))"
