,NAME,GEOM
0,Hakra Right Disty,"LINESTRING (240173.3817999996 3232915.9641, 240626.5538999997 3232910.3584, 241911.5166999996 3232854.8924, 242960.7489 3232984.313100001, 243796.9222999997 3233086.065400001, 244046.9583999999 3233122.9781, 245123.9236000003 3233289.3762, 245202.5005000001 3233317.109200001, 245271.8329999996 3233358.708699999, 245923.5586999999 3234089.011299999, 245974.4025999997 3234162.966, 246085.3345999997 3234444.918299999, 246219.3775000004 3234740.737, 246302.5765000004 3234823.936100001, 247069.8564999998 3235272.2864, 247194.6550000003 3235318.508099999, 247287.0983999996 3235327.7524, 247384.1639 3235327.7524, 247606.0279999999 3235253.797700001, 247878.7358999997 3235161.3543, 248627.5272000004 3234893.2686, 248812.4139 3234837.8026, 248909.4793999996 3234837.8026, 249011.1671000002 3234837.8026, 249521.1079000002 3234927.9593, 250527.2383000003 3235124.377, 250702.8806999996 3235156.7322, 250809.1906000003 3235142.865700001, 250980.2107999995 3235101.2662, 252038.6873000003 3234754.603499999, 252112.642 3234726.8705, 252283.6622000001 3234722.248400001, 254502.3030000003 3234671.4045)"
1,3L/Hakra Right Minor,"LINESTRING (247188.4682999998 3230594.9045, 247220.2769999998 3230651.453299999, 247290.9631000003 3230757.4824, 247396.9922000002 3230895.3202, 247488.8839999996 3230966.006200001, 247510.0898000002 3231064.966700001, 247488.8839999996 3231128.584100001, 247492.4183 3231199.270199999, 247594.9130999995 3231524.426000001)"
2,1R/Hakra Right Minor,"LINESTRING (239437.6222000001 3236712.7633, 239568.6738999998 3236729.857000001, 239967.5268999999 3236786.835999999, 240394.8695 3236878.0024, 240748.1392999999 3237009.054099999, 241072.9195999997 3237060.335200001, 241585.7306000004 3237117.314200001)"
3,1R/1R/Hakra Right Sub Minor,"LINESTRING (243974.7507999996 3238863.216, 244314.7196000004 3238857.4538, 245398.0099999998 3238822.8807)"
4,4L/Hakra Right Minor,"LINESTRING (239366.4840000002 3220862.959100001, 239668.5593999997 3222434.626499999, 239939.9894000003 3223905.602)"
5,1L/4L Hakra Right Sub Minor,"LINESTRING (244673.8513000002 3226161.4419, 244475.2885999996 3226547.5361, 244210.5384 3226586.145500001)"
6,2L/Hakra Right Minor,"LINESTRING (266067.3994000005 3230767.3846, 266067.8987999996 3230767.408399999, 266083.5904000001 3230768.1556, 266159.2799000004 3230758.145500001, 266250.3125999998 3230721.2773, 266364.8415000001 3230728.0143, 266374.1169999996 3230728.559900001, 266767.3783 3230717.636, 267219.1423000004 3230705.2643, 267437.4142000005 3230915.9441, 267531.6699000001 3231006.921399999, 267546.7796 3231021.5055, 267556.6003999999 3231030.9847, 267635.8296999997 3231092.6075, 267976.2221999997 3231207.049799999, 268137.6151999999 3231286.279100001, 268365.0358999996 3231414.489399999, 268365.4714000002 3231414.734999999, 268574.8435000004 3231532.770199999)"
