source,target,link_id,length,cost
38,69,1,1304,42.95
38,70,2,174,5.73
36,70,3,259,14.01
5,36,4,45,1.95
25,5,5,77,3.34
25,35,6,356,15.46
35,54,7,91,3.95
37,54,8,150,6.51
37,65,9,281,12.2
31,65,10,15,0.65
39,54,11,336,14.59
39,68,12,22,0.96
43,68,13,243,12.98
58,43,14,76,3.3
55,58,15,124,5.38
45,55,17,202,8.67
66,45,18,103,4.42
12,66,19,623,26.75
76,12,20,776,33.32
20,76,21,532,22.84
39,37,22,257,11.16
42,31,24,75,4.72
42,59,25,154,9.69
33,59,26,402,25.3
33,83,27,62,3.9
66,83,28,195,8.37
40,69,29,791,26.05
4,40,30,336,12.75
4,17,31,283,10.74
7,17,32,484,18.36
53,7,33,865,32.81
16,53,34,400,15.17
1,16,35,404,15.33
1,71,36,178,6.75
86,71,37,209,7.93
86,30,38,244,13.04
14,30,39,191,10.2
9,14,40,256,13.68
9,85,41,28,1.5
85,28,42,70,3.01
28,57,43,141,6.05
26,57,44,176,7.56
45,26,45,704,30.23
10,62,46,525,28.41
62,84,47,178,8.62
84,82,48,80,3.41
82,34,49,1188,50.57
34,32,50,2863,78.93
18,27,51,647,28.09
27,74,52,942,35.73
74,29,53,101,3.83
29,56,54,489,18.55
56,48,55,764,28.98
48,87,56,170,6.45
87,2,57,105,3.98
2,53,58,495,18.78
18,75,59,208,5.73
75,88,60,503,13.87
88,15,61,83,2.29
15,32,62,287,7.91
69,21,63,626,20.62
3,21,64,301,11.42
3,11,65,372,14.11
11,46,66,128,4.86
46,77,67,215,8.16
77,78,68,418,15.86
53,78,69,532,20.18
16,53,70,623,23.63
1,16,71,398,15.1
1,10,72,483,26.13
31,65,74,15,0.65
52,72,75,110,4.68
72,61,76,90,3.83
61,34,77,1655,70.45
43,8,78,383,20.46
8,67,79,539,28.8
67,10,80,270,14.61
7,60,81,138,5.23
60,54,82,300,13.03
54,19,83,249,10.81
19,39,85,90,3.91
39,68,86,22,1.18
68,43,87,243,12.98
45,63,88,1040,44.65
63,52,89,865,37.14
62,82,92,240,11.62
21,4,93,700,26.55
60,6,94,67,2.91
6,50,95,117,5.08
62,51,97,300,14.53
51,47,98,1530,74.09
47,41,99,648,31.06
41,32,100,1714,47.25
18,73,101,882,24.31
34,73,102,1550,42.73
37,22,103,359,19.42
36,49,104,22,1.19
50,25,105,113,6.11
33,79,106,460,28.95
79,80,107,257,16.17
80,81,108,722,39.07
