,node_ID,x,y,geometry
0,0,-15.8976921,18.039127,POINT (-15.8976921 18.039127)
1,1,-15.9279308,18.112635,POINT (-15.9279308 18.112635)
2,3,-15.9853757,18.075634,POINT (-15.9853757 18.075634)
3,4,-15.9576457,18.0660551,POINT (-15.9576457 18.0660551)
4,5,-15.973662,18.0487553,POINT (-15.973662 18.0487553)
5,6,-15.9988698,18.11781,POINT (-15.9988698 18.11781)
6,7,-15.8998009,18.0751042,POINT (-15.8998009 18.0751042)
7,8,-15.9627073,18.1086147,POINT (-15.9627073 18.1086147)
8,9,-15.9563616,18.0605615,POINT (-15.9563616 18.0605615)
9,10,-15.9092277,18.0730068,POINT (-15.9092277 18.0730068)
10,11,-15.9223768,18.0578382,POINT (-15.9223768 18.0578382)
11,12,-15.9912786,18.1123319,POINT (-15.9912786 18.1123319)
12,13,-15.939098,18.0956415,POINT (-15.939098 18.0956415)
13,14,-15.9618895,18.1114056,POINT (-15.9618895 18.1114056)
14,15,-15.9239978,18.1035379,POINT (-15.9239978 18.1035379)
15,16,-15.94256,18.0788691,POINT (-15.94256 18.0788691)
16,17,-15.8969222,18.0558742,POINT (-15.8969222 18.0558742)
17,18,-15.9258072,18.1043834,POINT (-15.9258072 18.1043834)
18,19,-15.9889256,18.0116305,POINT (-15.9889256 18.0116305)
19,20,-15.9721716,18.0089011,POINT (-15.9721716 18.0089011)
20,21,-15.9459218,18.0606876,POINT (-15.9459218 18.0606876)
21,23,-15.9142775,18.1167456,POINT (-15.9142775 18.1167456)
22,24,-15.9418667,18.0533571,POINT (-15.9418667 18.0533571)
23,25,-15.9748295,18.0008687,POINT (-15.9748295 18.0008687)
24,26,-15.9313673,18.0654571,POINT (-15.9313673 18.0654571)
25,27,-15.9306432,18.0930584,POINT (-15.9306432 18.0930584)
26,28,-15.9575851,18.0432926,POINT (-15.9575851 18.0432926)
27,29,-16.0024331,18.069255,POINT (-16.0024331 18.069255)
28,30,-16.0091028,18.3150229,POINT (-16.0091028 18.3150229)
29,31,-15.9296939,18.1063712,POINT (-15.9296939 18.1063712)
30,32,-15.9958874,18.1132988,POINT (-15.9958874 18.1132988)
31,33,-15.9208271,18.1058832,POINT (-15.9208271 18.1058832)
32,34,-15.9687433,18.0155712,POINT (-15.9687433 18.0155712)
33,35,-15.9808475,18.0777328,POINT (-15.9808475 18.0777328)
34,36,-15.9558991,18.29372,POINT (-15.9558991 18.29372)
35,37,-15.925396,18.0741208,POINT (-15.925396 18.0741208)
36,38,-15.9366968,18.0407306,POINT (-15.9366968 18.0407306)
37,39,-15.8874389,18.0702727,POINT (-15.8874389 18.0702727)
38,40,-15.9999364,18.1302102,POINT (-15.9999364 18.1302102)
39,41,-15.9266459,18.0991706,POINT (-15.9266459 18.0991706)
40,42,-15.9210558,18.0669261,POINT (-15.9210558 18.0669261)
41,43,-15.9418856,18.134348,POINT (-15.9418856 18.134348)
42,44,-15.9538873,18.0345539,POINT (-15.9538873 18.0345539)
43,45,-15.9884872,18.0756092,POINT (-15.9884872 18.0756092)
44,46,-15.9295147,18.137349,POINT (-15.9295147 18.137349)
45,47,-15.9708661,18.0017426,POINT (-15.9708661 18.0017426)
46,48,-15.9419882,18.1338286,POINT (-15.9419882 18.1338286)
47,49,-15.923463,18.0652889,POINT (-15.923463 18.0652889)
48,50,-15.97196,18.0149255,POINT (-15.97196 18.0149255)
49,51,-15.997249,18.1320209,POINT (-15.997249 18.1320209)
50,52,-15.968758,17.9961243,POINT (-15.968758 17.9961243)
51,53,-15.9672146,17.9757191,POINT (-15.9672146 17.9757191)
52,54,-15.9642708,17.9837715,POINT (-15.9642708 17.9837715)
53,55,-15.9680044,17.9899427,POINT (-15.9680044 17.9899427)
54,56,-15.9715039,17.985209,POINT (-15.9715039 17.985209)
55,57,-15.9665618,17.9821488,POINT (-15.9665618 17.9821488)
56,58,-15.9725464,17.9864338,POINT (-15.9725464 17.9864338)
57,59,-15.9629271,17.9840033,POINT (-15.9629271 17.9840033)
58,60,-15.9724959,17.9933724,POINT (-15.9724959 17.9933724)
59,61,-15.9808164,17.9976328,POINT (-15.9808164 17.9976328)
60,63,-15.9626822,18.065612,POINT (-15.9626822 18.065612)
61,64,-15.9304181,18.11393,POINT (-15.9304181 18.11393)
62,65,-15.9819795,18.071585,POINT (-15.9819795 18.071585)
63,66,-15.9014922,18.0642369,POINT (-15.9014922 18.0642369)
64,67,-15.9583526,18.0706056,POINT (-15.9583526 18.0706056)
65,68,-15.9738984,18.0608087,POINT (-15.9738984 18.0608087)
66,69,-15.9729566,18.0498316,POINT (-15.9729566 18.0498316)
67,70,-15.9515584,18.0368688,POINT (-15.9515584 18.0368688)
68,71,-15.9292842,18.0559681,POINT (-15.9292842 18.0559681)
69,72,-15.9519408,18.1002549,POINT (-15.9519408 18.1002549)
70,73,-15.9900231,18.01964,POINT (-15.9900231 18.01964)
71,74,-15.930749,18.0421057,POINT (-15.930749 18.0421057)
72,75,-15.9284284,18.0748086,POINT (-15.9284284 18.0748086)
73,76,-15.9729017,18.0252078,POINT (-15.9729017 18.0252078)
74,77,-15.9541545,18.0598239,POINT (-15.9541545 18.0598239)
75,78,-15.9254081,18.0586239,POINT (-15.9254081 18.0586239)
76,79,-15.9660438,18.041796,POINT (-15.9660438 18.041796)
77,80,-15.9315084,18.1026258,POINT (-15.9315084 18.1026258)
78,81,-15.9437041,18.1303574,POINT (-15.9437041 18.1303574)
79,82,-15.9098603,18.0788315,POINT (-15.9098603 18.0788315)
80,83,-15.9349053,18.0416107,POINT (-15.9349053 18.0416107)
81,84,-15.9537873,18.1304665,POINT (-15.9537873 18.1304665)
82,85,-15.97833,18.0619009,POINT (-15.97833 18.0619009)
83,86,-15.9141804,18.0860183,POINT (-15.9141804 18.0860183)
84,87,-15.9478352,18.0667365,POINT (-15.9478352 18.0667365)
85,88,-15.9303899,18.0622567,POINT (-15.9303899 18.0622567)
86,89,-15.8684958,18.2855585,POINT (-15.8684958 18.2855585)
87,90,-15.9740784,18.0830758,POINT (-15.9740784 18.0830758)
88,91,-15.9520438,18.0298953,POINT (-15.9520438 18.0298953)
89,92,-15.9283526,18.1270335,POINT (-15.9283526 18.1270335)
90,93,-15.992452,18.0523533,POINT (-15.992452 18.0523533)
91,94,-15.9705143,18.0515711,POINT (-15.9705143 18.0515711)
92,95,-15.9859709,18.0621695,POINT (-15.9859709 18.0621695)
93,97,-16.0023646,18.0800099,POINT (-16.0023646 18.0800099)
94,98,-15.9665357,18.0399354,POINT (-15.9665357 18.0399354)
95,99,-15.9275159,18.059215,POINT (-15.9275159 18.059215)
96,100,-15.9377016,18.0544514,POINT (-15.9377016 18.0544514)
97,101,-15.9296541,18.134566,POINT (-15.9296541 18.134566)
98,102,-15.927246,18.0718602,POINT (-15.927246 18.0718602)
99,103,-15.9819912,18.0200693,POINT (-15.9819912 18.0200693)
100,104,-15.9981626,18.0940248,POINT (-15.9981626 18.0940248)
101,105,-15.9143856,18.0342814,POINT (-15.9143856 18.0342814)
102,106,-15.9652295,18.0632204,POINT (-15.9652295 18.0632204)
103,107,-15.9765485,18.0856365,POINT (-15.9765485 18.0856365)
104,108,-15.9261668,18.0601174,POINT (-15.9261668 18.0601174)
105,109,-15.9286835,18.0392197,POINT (-15.9286835 18.0392197)
106,110,-15.8957289,18.0452901,POINT (-15.8957289 18.0452901)
107,111,-15.950589,18.1019157,POINT (-15.950589 18.1019157)
108,112,-15.9950717,18.0521717,POINT (-15.9950717 18.0521717)
109,113,-15.952207,18.0734768,POINT (-15.952207 18.0734768)
110,114,-15.9297612,18.0993636,POINT (-15.9297612 18.0993636)
111,115,-15.9259431,18.0594244,POINT (-15.9259431 18.0594244)
112,116,-15.931138,18.0659294,POINT (-15.931138 18.0659294)
113,117,-15.9194779,18.0991732,POINT (-15.9194779 18.0991732)
114,118,-15.9740136,17.989082,POINT (-15.9740136 17.989082)
115,119,-15.9750883,17.9992814,POINT (-15.9750883 17.9992814)
116,120,-15.9670132,17.997675,POINT (-15.9670132 17.997675)
117,121,-15.9626187,18.1371176,POINT (-15.9626187 18.1371176)
118,122,-15.9903778,18.1014062,POINT (-15.9903778 18.1014062)
119,123,-15.9816768,18.0234597,POINT (-15.9816768 18.0234597)
120,124,-15.9150699,18.1325324,POINT (-15.9150699 18.1325324)
121,125,-15.931652,18.0537424,POINT (-15.931652 18.0537424)
122,126,-15.9364201,18.1502626,POINT (-15.9364201 18.1502626)
123,127,-15.9935725,18.1061361,POINT (-15.9935725 18.1061361)
124,130,-15.959956,18.0371294,POINT (-15.959956 18.0371294)
125,131,-15.9693749,18.0394637,POINT (-15.9693749 18.0394637)
126,132,-15.8949637,18.0568845,POINT (-15.8949637 18.0568845)
127,133,-15.9549118,18.1110959,POINT (-15.9549118 18.1110959)
128,134,-15.953596,18.0573967,POINT (-15.953596 18.0573967)
129,135,-15.9648123,18.0722749,POINT (-15.9648123 18.0722749)
130,136,-15.9612781,18.0764979,POINT (-15.9612781 18.0764979)
131,137,-15.9272361,18.0494584,POINT (-15.9272361 18.0494584)
132,138,-15.9935886,18.108699,POINT (-15.9935886 18.108699)
133,139,-15.9277191,18.1220508,POINT (-15.9277191 18.1220508)
134,140,-15.9626155,18.0450773,POINT (-15.9626155 18.0450773)
135,141,-15.9921509,18.1212081,POINT (-15.9921509 18.1212081)
136,142,-15.938807,18.1383978,POINT (-15.938807 18.1383978)
