,o,d,w,geometry
0,1,10,9906,"LINESTRING (51.19423615 43.6500856, 49.86637319 40.40943762)"
1,4,17,26557061,"LINESTRING (76.85773523 43.22966422, 73.91684012 43.65288192)"
2,7,17,5474893,"LINESTRING (68.8130505 42.43365853, 73.91684012 43.65288192)"
3,5,25,5800427,"LINESTRING (72.28458996000001 40.8147501, 71.79785386 40.37339112)"
4,35,25,6163925,"LINESTRING (67.85315559 40.13305512, 71.79785386 40.37339112)"
5,5,36,1108161,"LINESTRING (72.28458996000001 40.8147501, 72.86263520999999 40.70247245)"
6,70,36,388468,"LINESTRING (75.41075578 40.5748001, 72.86263520999999 40.70247245)"
7,7,53,9906,"LINESTRING (68.8130505 42.43365853, 60.31394877 47.04978092)"
8,7,60,26547155,"LINESTRING (68.8130505 42.43365853, 69.23343231 41.26065019)"
9,54,60,7869090,"LINESTRING (66.98020844 39.62957641, 69.23343231 41.26065019)"
10,12,66,4732774,"LINESTRING (52.232 30.264, 59.21328001 35.27868594)"
11,45,66,8697961,"LINESTRING (59.61582533 36.26611183, 59.21328001 35.27868594)"
12,16,1,9906,"LINESTRING (55.18184777 45.32223604, 51.19423615 43.6500856)"
13,17,4,5474893,"LINESTRING (73.91684012 43.65288192, 76.85773523 43.22966422)"
14,40,4,8766443,"LINESTRING (80.41189971999999 44.21606721, 76.85773523 43.22966422)"
15,17,7,26557061,"LINESTRING (73.91684012 43.65288192, 68.8130505 42.43365853)"
16,60,7,5474893,"LINESTRING (69.23343231 41.26065019, 68.8130505 42.43365853)"
17,20,76,4732774,"LINESTRING (60.6459286 25.29687798, 60.88055637 29.49568135)"
18,20,92,1078810,"LINESTRING (60.6459286 25.29687798, 60.7656735 14.76131335)"
19,25,5,1108161,"LINESTRING (71.79785386 40.37339112, 72.28458996000001 40.8147501)"
20,36,5,5800427,"LINESTRING (72.86263520999999 40.70247245, 72.28458996000001 40.8147501)"
21,25,35,4193369,"LINESTRING (71.79785386 40.37339112, 67.85315559 40.13305512)"
22,54,35,6163925,"LINESTRING (66.98020844 39.62957641, 67.85315559 40.13305512)"
23,31,42,6349892,"LINESTRING (67.42061344 37.21137416, 67.11609055 36.69681358)"
24,59,42,3136554,"LINESTRING (65.74920704 36.68168619, 67.11609055 36.69681358)"
25,89,42,161462,"LINESTRING (69.19380137 34.50670823, 67.11609055 36.69681358)"
26,31,65,3298016,"LINESTRING (67.42061344 37.21137416, 67.28312911 37.21646347)"
27,37,65,6349892,"LINESTRING (65.78841394 38.82557846, 67.28312911 37.21646347)"
28,33,59,3136554,"LINESTRING (62.20145163 34.33952939, 65.74920704 36.68168619)"
29,33,79,8697961,"LINESTRING (62.20145163 34.33952939, 64.40820458 31.60953352)"
30,80,79,3000000,"LINESTRING (64.0384184 29.4371003, 64.40820458 31.60953352)"
31,35,54,4193369,"LINESTRING (67.85315559 40.13305512, 66.98020844 39.62957641)"
32,37,54,3091853,"LINESTRING (65.78841394 38.82557846, 66.98020844 39.62957641)"
33,39,54,5670202,"LINESTRING (63.74607083 39.36407461, 66.98020844 39.62957641)"
34,60,54,22350209,"LINESTRING (69.23343231 41.26065019, 66.98020844 39.62957641)"
35,36,70,6957371,"LINESTRING (72.86263520999999 40.70247245, 75.41075578 40.5748001)"
36,38,70,388468,"LINESTRING (75.99370752999999 39.46768501, 75.41075578 40.5748001)"
37,37,22,7515516,"LINESTRING (65.78841394 38.82557846, 68.78590278999999 38.55653717)"
38,38,69,6957371,"LINESTRING (75.99370752999999 39.46768501, 89.18466843 42.94997926)"
39,39,68,1022230,"LINESTRING (63.74607083 39.36407461, 63.57481917 39.08876273)"
40,68b,68,5670202,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
41,42,31,3298016,"LINESTRING (67.11609055 36.69681358, 67.42061344 37.21137416)"
42,65,31,6349892,"LINESTRING (67.28312911 37.21646347, 67.42061344 37.21137416)"
43,42,89,6349892,"LINESTRING (67.11609055 36.69681358, 69.19380137 34.50670823)"
44,93,89,22260730,"LINESTRING (71.11171118999999 34.19162304, 69.19380137 34.50670823)"
45,43,58,1022230,"LINESTRING (61.91467015 37.52891078, 61.15050175 37.41207242)"
46,55,58,5670202,"LINESTRING (61.15922124 36.54104309, 61.15050175 37.41207242)"
47,43,68b,5670202,"LINESTRING (61.91467015 37.52891078, 63.57481917 39.08876273)"
48,68,68b,1022230,"LINESTRING (63.57481917 39.08876273, 63.57481917 39.08876273)"
49,45,55,5670202,"LINESTRING (59.61582533 36.26611183, 61.15922124 36.54104309)"
50,58,55,1022230,"LINESTRING (61.15050175 37.41207242, 61.15922124 36.54104309)"
51,45,63,1022230,"LINESTRING (59.61582533 36.26611183, 51.42322354 35.69698355)"
52,53,16,9906,"LINESTRING (60.31394877 47.04978092, 55.18184777 45.32223604)"
53,54,37,13659245,"LINESTRING (66.98020844 39.62957641, 65.78841394 38.82557846)"
54,65,37,3298016,"LINESTRING (67.28312911 37.21646347, 65.78841394 38.82557846)"
55,54,39,1022230,"LINESTRING (66.98020844 39.62957641, 63.74607083 39.36407461)"
56,68,39,5670202,"LINESTRING (63.57481917 39.08876273, 63.74607083 39.36407461)"
57,55,45,1022230,"LINESTRING (61.15922124 36.54104309, 59.61582533 36.26611183)"
58,63,45,9771943,"LINESTRING (51.42322354 35.69698355, 59.61582533 36.26611183)"
59,66,45,4596220,"LINESTRING (59.21328001 35.27868594, 59.61582533 36.26611183)"
60,58,43,5670202,"LINESTRING (61.15050175 37.41207242, 61.91467015 37.52891078)"
61,68b,43,1022230,"LINESTRING (63.57481917 39.08876273, 61.91467015 37.52891078)"
62,66,83,8834515,"LINESTRING (59.21328001 35.27868594, 60.83747644 34.52863651)"
63,69,38,388468,"LINESTRING (89.18466843 42.94997926, 75.99370752999999 39.46768501)"
64,70,38,6957371,"LINESTRING (75.41075578 40.5748001, 75.99370752999999 39.46768501)"
65,69,40,8766443,"LINESTRING (89.18466843 42.94997926, 80.41189971999999 44.21606721)"
66,76,12,4732774,"LINESTRING (60.88055637 29.49568135, 52.232 30.264)"
67,79,33,3000000,"LINESTRING (64.40820458 31.60953352, 62.20145163 34.33952939)"
68,83,33,8834515,"LINESTRING (60.83747644 34.52863651, 62.20145163 34.33952939)"
69,79,80,8697961,"LINESTRING (64.40820458 31.60953352, 64.0384184 29.4371003)"
70,81,80,3000000,"LINESTRING (62.29134860000001 25.23313981, 64.0384184 29.4371003)"
71,80,81,8697961,"LINESTRING (64.0384184 29.4371003, 62.29134860000001 25.23313981)"
72,92,81,5078810,"LINESTRING (60.7656735 14.76131335, 62.29134860000001 25.23313981)"
73,81,90,10776771,"LINESTRING (62.29134860000001 25.23313981, 67.00109753 24.89698664)"
74,94,90,373,"LINESTRING (71.56378993 34.10942691, 67.00109753 24.89698664)"
75,89,93,373,"LINESTRING (69.19380137 34.50670823, 71.11171118999999 34.19162304)"
76,94,93,22260730,"LINESTRING (71.56378993 34.10942691, 71.11171118999999 34.19162304)"
77,90,94,22260730,"LINESTRING (67.00109753 24.89698664, 71.56378993 34.10942691)"
78,93,94,373,"LINESTRING (71.11171118999999 34.19162304, 71.56378993 34.10942691)"
79,91,20,5811584,"LINESTRING (72.92574618 19.02476851, 60.6459286 25.29687798)"
