O_UID,d_0.01,d_0.005,d_0.001,d_0.0007701635,d_0.0003850818,d_0.0001925409,d_9.62704e-05,d_3.85082e-05,d_1e-05
O_1,3.47322777415e-34,1.31912361621e-15,0.963684632969,6.88740334253,187.310400273,1045.24611501,3596.90610629,19495.5006588,103075.201091
O_10,1.88649385523e-82,6.19750069725e-40,6.39830814518e-06,0.000579532899706,1.23607479095,80.4784186479,836.996559042,3784.1023527,8187.80272883
O_11,1.51820401127e-46,8.83292232917e-22,0.0590056909895,0.837600280633,78.7862797029,947.833700838,4683.647387,22392.0280359,106610.200387
O_12,3.54580974096e-82,1.16778355288e-39,1.20636946676e-05,0.00108621294488,2.06880860736,115.483232107,1743.81991033,20812.3858985,122388.139017
O_13,1.66496406302e-14,1.14277814138e-05,183.568497971,484.956665593,2487.27938,5819.39820421,11180.1584277,37532.7531359,138523.558559
O_14,1.18704099722e-145,2.89552595625e-71,9.3656325144e-12,2.45995280363e-08,0.013279367396,11.3058558983,524.767204632,10474.8512546,94083.2833201
O_15,8.83702454135e-40,1.87775738369e-18,0.216545179865,2.07133098786,94.0948819385,739.705381436,2528.61779745,6444.70894808,11484.9942882
O_16,7.19449595812e-42,1.21028896429e-19,0.0730466170904,0.767834293328,39.7246839579,319.063987764,1307.78476182,4481.43077107,9424.39327422
O_17,3.02677184871e-33,5.16272727343e-15,1.98791944406,13.6920972587,347.235529367,1748.91528425,4011.49606021,12660.1693194,95810.6346926
O_18,2.84888192525e-98,1.64345401476e-47,8.21362714407e-07,0.000186184236776,1.78008369089,212.061323395,3181.98536209,26175.5844255,125208.954615
O_19,3.65883701502e-34,1.85433951226e-15,1.7063428367,12.3560543003,341.187101268,1823.16065503,4431.18596925,11304.5220914,83007.5574428
O_2,6.03815765117e-24,2.26575409853e-10,16.4027704996,69.2113700798,829.66920698,3792.70870426,11946.7665836,42371.4836946,138424.593019
O_20,6.16875312128e-13,7.37662329815e-05,214.007413771,504.907422501,2215.21272748,5142.68537985,9205.78898654,18564.3527996,40193.1806704
O_21,1.26395553491e-79,3.49823062262e-38,4.98359125006e-05,0.00400439961738,6.25628006396,260.127607324,1877.44033418,8164.07811615,31967.9242724
O_22,9.24358087523e-10,0.0015727626147,151.833357187,293.924790679,943.579133436,2310.29594081,4951.35447604,10673.897266,72417.925481
O_23,8.62714837032e-69,8.27592477684e-33,0.000505109131576,0.0227756182929,13.634096195,379.372485244,3004.87398057,20395.6997973,107138.898207
O_24,4.21703415863e-88,6.5423922773e-43,9.29651447649e-07,0.000111074909559,0.335768966071,18.4609341617,137.176252846,564.916118366,3891.76636501
O_25,6.50298961584e-06,0.199863354304,894.591746019,1547.35669515,4304.82301719,7855.77182433,13212.386419,40096.0879028,141685.111766
O_26,1.05118436029e-152,7.4288073683e-75,1.41355028411e-12,5.35587769448e-09,0.00530301047251,5.29500917769,170.988568088,1502.48033105,6488.05225671
