O_UID,d_0.01,d_0.005,d_0.001,d_0.0007701635,d_0.0003850818,d_0.0001925409,d_9.62704e-05,d_3.85082e-05,d_1e-05
O_27,9.86967534417e-62,2.2236697928e-29,0.00169606857106,0.0521888334437,17.2578868755,385.926685829,2306.56403912,13153.3261785,89948.7881783
O_28,4.15668367493e-174,1.08669859301e-85,5.9162666075e-15,6.9402074263e-11,0.000501789872403,1.67446264107,150.133120291,6668.26131707,90071.5284461
O_29,7.11525212722e-34,2.54625563098e-15,1.77366407917,12.6396626954,339.440739941,1775.59166567,4654.77984974,18312.2832935,99357.1672661
O_3,3.98688314691e-34,1.65763683141e-15,1.30188940483,9.34184434074,253.740762014,1323.76236819,3072.33522065,5481.42598277,9424.63041512
O_30,2.97328403393e-69,5.00131508988e-33,0.000562143599187,0.028349184292,23.6067638057,868.167157636,6828.83372942,33459.847572,124568.050889
O_31,1.7698019482e-20,8.92121032206e-09,20.5324505505,70.8824841006,577.375962351,1892.66025628,4385.89266856,10888.8231832,28297.0732383
O_32,3.79435861756e-23,5.33634809321e-10,19.5543758143,82.8961302289,1051.34489714,4982.98095692,15730.0435297,46840.5871929,134877.241785
O_33,6.49836673568e-81,7.51557074856e-39,3.39346408473e-05,0.00296513178628,5.99415774385,377.885311581,4585.46092122,33347.5172156,136557.727275
O_34,5.89636237662e-20,2.25199210825e-08,43.068871388,151.833887685,1407.62384191,5702.51388586,16781.3793682,48770.0957199,138106.54543
O_35,5.7659102571e-70,2.0320575288e-33,0.000495916168196,0.0258406589132,21.6114629758,759.631082448,6123.65378778,31927.6685192,121541.52406
O_36,3.3894410714e-96,1.28134910081e-46,6.89622040554e-07,0.000149775066928,1.58966891303,214.637353857,3258.7069466,24315.8293153,112729.922985
O_37,1.37396175809e-29,1.16805137977e-13,0.647221997676,3.49409190397,61.2762293317,471.343040891,3386.80272321,21727.3363229,107917.406047
O_38,3.03341002223e-14,1.21218142816e-05,92.2309820469,229.229687914,1054.12598223,2347.83099639,5270.43690765,23518.5457345,109505.385482
O_39,0.000341984674789,1.47565619442,1467.93246248,2383.97267038,6123.13664953,10952.0680027,17589.3542637,45946.7980176,148322.232536
O_4,4.0781760292e-119,6.2837011637e-58,5.60334112366e-09,3.64185295015e-06,0.192400256684,50.1838410925,1002.02285073,8547.97932463,35482.7310474
O_40,1.14148811387e-97,2.91852450541e-47,6.31731680793e-07,0.000134403541799,1.17764443394,134.601141141,2012.50572995,18847.9563403,109159.074015
O_41,1.13138113415e-188,1.03021776434e-92,6.06399873473e-16,1.58211705637e-11,0.000434202613328,2.60492080232,216.610760664,3443.05073844,22537.4518209
O_42,1.00686944533e-68,9.68794477496e-33,0.000721499713809,0.0359424995111,29.4830527211,1015.5900545,7212.75849378,32846.1055311,123022.963133
O_43,3.8365961518e-66,1.14982217491e-31,0.000438509007322,0.0168571597582,7.66561297672,184.151222894,1484.66618427,13038.1211926,90999.2818969
O_44,1.69743851423e-71,3.55912714244e-34,0.000288347590165,0.0159885728364,14.9033748824,553.51079376,4670.20515634,27686.5494099,118985.465189
O_45,1.60670686474e-64,1.30169245637e-30,0.00216763892252,0.0801799747301,34.1056865451,726.538943168,4084.73594264,20703.5080836,103233.984353
O_46,2.99980759264e-24,1.70123906793e-10,17.2982753159,75.5086865571,990.473067973,4468.24418294,13020.5040775,40381.0949829,129114.353874
O_47,6.77856944138e-06,0.207717689147,953.867885938,1668.40931651,4633.31307717,8262.48218802,13482.6652569,39829.8638447,141095.775673
O_48,3.9321325053e-62,9.39764311246e-30,0.000751159735771,0.0231259321845,7.3127283872,165.507697653,1588.41572989,17568.4998971,113987.476604
O_49,4.50239274286e-23,4.51318344062e-10,11.3585620901,44.9830269648,461.558378354,1869.66297858,5989.14086743,16761.6924737,36715.4482925
O_5,1.53230463629e-41,9.54441877488e-20,0.1636226643,2.02877895516,144.982577598,1331.23159939,4700.33077234,13811.0839297,34841.32686
O_50,2.01211527508e-30,1.31553044891e-13,3.79815200325,23.1236663875,542.138960454,3488.35840767,12712.9919843,42556.2535038,132332.809165
O_51,8.42266018664e-47,4.71995086772e-22,0.0297488961547,0.412278410531,43.045384948,896.50603972,6690.31268497,34997.8628724,132348.815706
O_52,6.93097698388e-65,4.89170058664e-31,0.000908947994695,0.0379154637694,21.9074652445,641.423534093,4885.06622095,26272.2765775,112342.144637
O_53,5.1225379679e-20,2.1904979604e-08,44.2397873183,151.992991354,1249.65355054,3979.35675816,8091.25641983,16041.8284348,33880.9840758
O_54,3.19366744776e-25,5.03532778156e-11,11.5248041314,52.2843585456,727.216798477,3480.65916989,10654.2141923,34844.5160597,124228.734194
O_55,1.51687111487e-49,2.8417990456e-23,0.0296461059576,0.479732041869,54.6221328487,748.810764587,3748.77657025,13492.8935171,35477.8046807
O_56,6.67225529926e-62,1.62117283544e-29,0.00131303009298,0.0404531690321,12.6452599494,236.632316901,1519.64072723,14895.9107715,108340.770709
O_57,9.19554221411e-25,5.10401519321e-11,5.05142881765,21.6570497926,265.366299677,1455.08049394,6601.87489653,30169.4316996,117646.275027
O_58,1.91545197624e-24,7.37685506467e-11,5.44943199353,22.9532713094,255.400771309,882.435701081,2848.90964028,22329.2375075,124061.05591
O_59,2.0902320428e-81,3.44595534622e-39,2.08255577788e-05,0.00188441909048,4.58065043476,327.665058371,3833.42947289,29434.7860658,134065.925223
O_6,4.79893510992e-29,3.56280113894e-13,2.19002445012,13.6112278837,394.382953294,3021.47616898,11297.7388941,42449.0957591,143746.684267
O_60,7.62010931423e-187,5.84278099744e-92,4.81162181898e-16,1.13951257457e-11,0.000279243192748,1.79592415559,243.572387648,10106.3936117,102790.334516
O_61,2.87878708632e-24,9.25128856302e-11,5.912843344,24.6988286731,270.983486942,909.003521673,2431.5712844,18898.3485171,118120.759502
O_62,2.31316214002e-23,4.48397204731e-10,19.1265577199,78.0768162988,840.731385881,3316.46610018,10081.2678986,38170.3131258,134019.734315
O_63,6.95080030441e-138,1.988369989e-67,4.61132738205e-11,8.00382410285e-08,0.0222674043694,13.3551051803,368.376405415,2878.65285984,8114.82247927
O_7,1.64756428767e-46,1.05830723458e-21,0.0743083927089,1.02960911254,92.479887888,1292.69645298,7616.78908754,36865.9326213,136450.86626
O_8,1.7088234434e-14,9.37104245836e-06,91.8487292913,231.696650522,1116.72633515,2941.23585074,7362.33317353,26696.1789974,112651.666518
O_9,3.0541776626e-16,3.84873507319e-07,7.38297818525,19.874030758,155.473826348,827.322218196,2926.05078102,10649.5014258,31583.1553627
