,D_UID,O_UID,DIST,O_POP,D_POP
0,D_1,O_1,0.0,1,9112.0
1,D_2,O_1,49475.3,1,8692.0
2,D_6,O_1,111293.0,1,2645.0
3,D_7,O_1,149155.8,1,3844.0
4,D_10,O_1,153371.3,1,5483.0
5,D_11,O_1,92170.8,1,5681.0
6,D_12,O_1,93532.4,1,8054.0
7,D_13,O_1,175132.1,1,1452.0
8,D_1,O_2,49580.9,1,9112.0
9,D_2,O_2,0.0,1,8692.0
10,D_6,O_2,64371.7,1,2645.0
11,D_7,O_2,102234.5,1,3844.0
12,D_10,O_2,106450.0,1,5483.0
13,D_11,O_2,45249.5,1,5681.0
14,D_12,O_2,46611.1,1,8054.0
15,D_13,O_2,129203.4,1,1452.0
16,D_3,O_3,185038.1,1,1015.0
17,D_5,O_3,38195.1,1,2109.0
18,D_4,O_4,44451.3,1,5324.0
19,D_8,O_4,37912.8,1,8821.0
20,D_4,O_5,0.0,1,5324.0
21,D_8,O_5,11042.6,1,8821.0
22,D_1,O_6,104725.0,1,9112.0
23,D_2,O_6,57704.9,1,8692.0
24,D_6,O_6,7308.7,1,2645.0
25,D_7,O_6,45171.5,1,3844.0
26,D_10,O_6,49387.0,1,5483.0
27,D_11,O_6,49882.1,1,5681.0
28,D_12,O_6,13551.7,1,8054.0
29,D_13,O_6,103171.7,1,1452.0
30,D_1,O_7,112037.2,1,9112.0
31,D_2,O_7,65017.1,1,8692.0
32,D_6,O_7,0.0,1,2645.0
33,D_7,O_7,38059.5,1,3844.0
34,D_10,O_7,42275.0,1,5483.0
35,D_11,O_7,57194.3,1,5681.0
36,D_12,O_7,20863.9,1,8054.0
37,D_13,O_7,96059.7,1,1452.0
38,D_1,O_8,150026.7,1,9112.0
39,D_2,O_8,103006.6,1,8692.0
40,D_6,O_8,38193.2,1,2645.0
41,D_7,O_8,0.0,1,3844.0
42,D_10,O_8,14549.4,1,5483.0
43,D_11,O_8,95183.8,1,5681.0
44,D_12,O_8,58853.4,1,8054.0
45,D_13,O_8,59710.9,1,1452.0
46,D_4,O_9,11711.8,1,5324.0
47,D_8,O_9,0.0,1,8821.0
48,D_9,O_10,0.0,1,5688.0
49,D_1,O_11,154125.9,1,9112.0
50,D_2,O_11,107105.8,1,8692.0
51,D_6,O_11,42292.4,1,2645.0
52,D_7,O_11,14610.8,1,3844.0
53,D_10,O_11,0.0,1,5483.0
54,D_11,O_11,99283.0,1,5681.0
55,D_12,O_11,62952.6,1,8054.0
56,D_13,O_11,70684.4,1,1452.0
57,D_1,O_12,92463.8,1,9112.0
58,D_2,O_12,45443.7,1,8692.0
59,D_6,O_12,56714.0,1,2645.0
60,D_7,O_12,94576.8,1,3844.0
61,D_10,O_12,98792.3,1,5483.0
62,D_11,O_12,0.0,1,5681.0
63,D_12,O_12,38953.4,1,8054.0
64,D_13,O_12,121545.7,1,1452.0
65,D_16,O_1,126676.5,1,3780.0
66,D_17,O_1,132292.8,1,8806.0
67,D_18,O_1,122099.4,1,3667.0
68,D_19,O_1,157783.5,1,2140.0
69,D_21,O_1,142027.3,1,9312.0
70,D_22,O_1,87929.3,1,993.0
71,D_23,O_1,90951.2,1,6363.0
72,D_24,O_1,164738.0,1,9398.0
73,D_25,O_1,146065.3,1,4480.0
74,D_26,O_1,8556.2,1,5010.0
75,D_16,O_2,106522.0,1,3780.0
76,D_17,O_2,112138.3,1,8806.0
77,D_18,O_2,75178.1,1,3667.0
78,D_19,O_2,110862.2,1,2140.0
79,D_21,O_2,95106.0,1,9312.0
80,D_22,O_2,67354.0,1,993.0
81,D_23,O_2,44029.9,1,6363.0
82,D_24,O_2,117816.7,1,9398.0
83,D_25,O_2,99144.0,1,4480.0
84,D_26,O_2,57661.8,1,5010.0
85,D_20,O_4,36030.6,1,485.0
86,D_20,O_5,10016.4,1,485.0
87,D_16,O_6,113991.2,1,3780.0
88,D_17,O_6,118059.3,1,8806.0
89,D_18,O_6,33602.5,1,3667.0
90,D_19,O_6,82121.3,1,2140.0
91,D_21,O_6,41973.9,1,9312.0
92,D_22,O_6,122498.1,1,993.0
93,D_23,O_6,15826.3,1,6363.0
94,D_24,O_6,89075.8,1,9398.0
95,D_25,O_6,83905.2,1,4480.0
96,D_26,O_6,112805.9,1,5010.0
97,D_16,O_7,121303.4,1,3780.0
98,D_17,O_7,125371.5,1,8806.0
99,D_18,O_7,35301.4,1,3667.0
100,D_19,O_7,89433.5,1,2140.0
101,D_21,O_7,34861.9,1,9312.0
102,D_22,O_7,129810.3,1,993.0
103,D_23,O_7,23138.5,1,6363.0
104,D_24,O_7,96388.0,1,9398.0
105,D_25,O_7,91217.4,1,4480.0
106,D_26,O_7,120118.1,1,5010.0
107,D_16,O_8,108246.2,1,3780.0
108,D_17,O_8,112314.3,1,8806.0
109,D_18,O_8,66552.4,1,3667.0
110,D_19,O_8,127423.0,1,2140.0
111,D_21,O_8,36433.3,1,9312.0
112,D_22,O_8,167799.8,1,993.0
113,D_23,O_8,61128.0,1,6363.0
114,D_24,O_8,134377.5,1,9398.0
115,D_25,O_8,129206.9,1,4480.0
116,D_26,O_8,158107.6,1,5010.0
117,D_20,O_9,4190.9,1,485.0
118,D_14,O_10,19579.6,1,2036.0
119,D_15,O_10,26847.2,1,3990.0
120,D_16,O_11,119219.7,1,3780.0
121,D_17,O_11,123287.8,1,8806.0
122,D_18,O_11,70651.6,1,3667.0
123,D_19,O_11,131522.2,1,2140.0
124,D_21,O_11,27634.9,1,9312.0
125,D_22,O_11,171899.0,1,993.0
126,D_23,O_11,65227.2,1,6363.0
127,D_24,O_11,138476.7,1,9398.0
128,D_25,O_11,133306.1,1,4480.0
129,D_26,O_11,162206.8,1,5010.0
130,D_16,O_12,97524.3,1,3780.0
131,D_17,O_12,103140.6,1,8806.0
132,D_18,O_12,67520.4,1,3667.0
133,D_19,O_12,103204.5,1,2140.0
134,D_21,O_12,87448.3,1,9312.0
135,D_22,O_12,110236.9,1,993.0
136,D_23,O_12,36372.2,1,6363.0
137,D_24,O_12,110159.0,1,9398.0
138,D_25,O_12,71137.9,1,4480.0
139,D_26,O_12,100544.7,1,5010.0
140,D_27,O_1,18566.0,1,1964.0
141,D_29,O_1,42147.5,1,8601.0
142,D_30,O_1,61833.7,1,6552.0
143,D_32,O_1,37377.8,1,7503.0
144,D_33,O_1,33529.4,1,8411.0
145,D_34,O_1,66152.3,1,8317.0
146,D_35,O_1,71162.0,1,4844.0
147,D_36,O_1,81018.0,1,989.0
148,D_37,O_1,74715.4,1,7791.0
149,D_38,O_1,40308.3,1,4578.0
150,D_39,O_1,90106.4,1,306.0
151,D_27,O_2,33730.8,1,1964.0
152,D_29,O_2,21572.2,1,8601.0
153,D_30,O_2,14912.4,1,6552.0
154,D_32,O_2,16238.5,1,7503.0
155,D_33,O_2,33186.4,1,8411.0
156,D_34,O_2,45997.8,1,8317.0
157,D_35,O_2,51007.5,1,4844.0
158,D_36,O_2,60442.7,1,989.0
159,D_37,O_2,54560.9,1,7791.0
160,D_38,O_2,13408.7,1,4578.0
161,D_39,O_2,43185.1,1,306.0
162,D_28,O_4,81044.9,1,9367.0
163,D_31,O_4,119154.2,1,9381.0
164,D_28,O_5,45429.3,1,9367.0
165,D_31,O_5,160550.2,1,9381.0
166,D_27,O_6,88874.9,1,1964.0
167,D_29,O_6,76716.3,1,8601.0
168,D_30,O_6,46307.9,1,6552.0
169,D_32,O_6,71382.6,1,7503.0
170,D_33,O_6,88330.5,1,8411.0
171,D_34,O_6,101141.9,1,8317.0
172,D_35,O_6,106151.6,1,4844.0
173,D_36,O_6,115586.8,1,989.0
174,D_37,O_6,109705.0,1,7791.0
175,D_38,O_6,68552.8,1,4578.0
176,D_39,O_6,16321.9,1,306.0
177,D_27,O_7,96187.1,1,1964.0
178,D_29,O_7,84028.5,1,8601.0
179,D_30,O_7,53620.1,1,6552.0
180,D_32,O_7,78694.8,1,7503.0
181,D_33,O_7,95642.7,1,8411.0
182,D_34,O_7,108454.1,1,8317.0
183,D_35,O_7,113463.8,1,4844.0
184,D_36,O_7,122899.0,1,989.0
185,D_37,O_7,117017.2,1,7791.0
186,D_38,O_7,75865.0,1,4578.0
187,D_39,O_7,23634.1,1,306.0
188,D_27,O_8,134176.6,1,1964.0
189,D_29,O_8,122018.0,1,8601.0
190,D_30,O_8,91609.6,1,6552.0
191,D_32,O_8,116684.3,1,7503.0
192,D_33,O_8,133632.2,1,8411.0
193,D_34,O_8,146443.6,1,8317.0
194,D_35,O_8,151453.3,1,4844.0
195,D_36,O_8,160888.5,1,989.0
196,D_37,O_8,155006.7,1,7791.0
197,D_38,O_8,113854.5,1,4578.0
198,D_39,O_8,61623.6,1,306.0
199,D_28,O_9,48305.4,1,9367.0
200,D_31,O_9,154724.7,1,9381.0
201,D_27,O_11,138275.8,1,1964.0
202,D_29,O_11,126117.2,1,8601.0
203,D_30,O_11,95708.8,1,6552.0
204,D_32,O_11,120783.5,1,7503.0
205,D_33,O_11,137731.4,1,8411.0
206,D_34,O_11,150542.8,1,8317.0
207,D_35,O_11,155552.5,1,4844.0
208,D_36,O_11,164987.7,1,989.0
209,D_37,O_11,159105.9,1,7791.0
210,D_38,O_11,117953.7,1,4578.0
211,D_39,O_11,65722.8,1,306.0
212,D_27,O_12,76613.7,1,1964.0
213,D_29,O_12,64455.1,1,8601.0
214,D_30,O_12,34046.7,1,6552.0
215,D_32,O_12,59121.4,1,7503.0
216,D_33,O_12,76069.3,1,8411.0
217,D_34,O_12,75711.3,1,8317.0
218,D_35,O_12,93890.4,1,4844.0
219,D_36,O_12,103325.6,1,989.0
220,D_37,O_12,97443.8,1,7791.0
221,D_38,O_12,56291.6,1,4578.0
222,D_39,O_12,35527.4,1,306.0
223,D_40,O_1,146384.8,1,5590.0
224,D_43,O_1,130572.7,1,7939.0
225,D_44,O_1,177457.9,1,7063.0
226,D_46,O_1,132816.4,1,9363.0
227,D_47,O_1,165580.4,1,3446.0
228,D_48,O_1,52888.7,1,2833.0
229,D_50,O_1,92053.5,1,6184.0
230,D_51,O_1,127248.9,1,3939.0
231,D_40,O_2,99463.5,1,5590.0
232,D_43,O_2,83651.4,1,7939.0
233,D_44,O_2,130536.6,1,7063.0
234,D_46,O_2,85895.1,1,9363.0
235,D_47,O_2,118659.1,1,3446.0
236,D_48,O_2,32313.4,1,2833.0
237,D_50,O_2,45132.2,1,6184.0
238,D_51,O_2,80327.6,1,3939.0
239,D_45,O_3,125279.1,1,5250.0
240,D_49,O_3,8574.3,1,6892.0
241,D_41,O_4,28178.0,1,9682.0
242,D_42,O_4,76213.5,1,7149.0
243,D_52,O_4,61122.5,1,3413.0
244,D_41,O_5,69574.0,1,9682.0
245,D_42,O_5,117609.5,1,7149.0
246,D_52,O_5,25506.9,1,3413.0
247,D_40,O_6,57887.9,1,5590.0
248,D_43,O_6,26588.4,1,7939.0
249,D_44,O_6,73473.6,1,7063.0
250,D_46,O_6,28832.1,1,9363.0
251,D_47,O_6,61596.1,1,3446.0
252,D_48,O_6,87457.5,1,2833.0
253,D_50,O_6,15435.5,1,6184.0
254,D_51,O_6,52761.5,1,3939.0
255,D_40,O_7,59586.8,1,5590.0
256,D_43,O_7,19476.4,1,7939.0
257,D_44,O_7,66361.6,1,7063.0
258,D_46,O_7,30531.0,1,9363.0
259,D_47,O_7,60329.6,1,3446.0
260,D_48,O_7,94769.7,1,2833.0
261,D_50,O_7,22747.7,1,6184.0
262,D_51,O_7,60073.7,1,3939.0
263,D_40,O_8,58067.2,1,5590.0
264,D_43,O_8,18903.8,1,7939.0
265,D_44,O_8,35628.9,1,7063.0
266,D_46,O_8,45733.6,1,9363.0
267,D_47,O_8,48900.3,1,3446.0
268,D_48,O_8,132759.2,1,2833.0
269,D_50,O_8,60737.2,1,6184.0
270,D_51,O_8,87160.5,1,3939.0
271,D_41,O_9,63748.5,1,9682.0
272,D_42,O_9,111784.0,1,7149.0
273,D_52,O_9,28383.0,1,3413.0
274,D_40,O_11,64563.6,1,5590.0
275,D_43,O_11,23074.8,1,7939.0
276,D_44,O_11,47952.0,1,7063.0
277,D_46,O_11,49832.8,1,9363.0
278,D_47,O_11,55396.7,1,3446.0
279,D_48,O_11,136858.4,1,2833.0
280,D_50,O_11,64836.4,1,6184.0
281,D_51,O_11,93656.9,1,3939.0
282,D_40,O_12,91805.8,1,5590.0
283,D_43,O_12,75993.7,1,7939.0
284,D_44,O_12,122878.9,1,7063.0
285,D_46,O_12,78237.4,1,9363.0
286,D_47,O_12,111001.4,1,3446.0
287,D_48,O_12,75196.3,1,2833.0
288,D_50,O_12,37474.5,1,6184.0
289,D_51,O_12,72669.9,1,3939.0
290,D_53,O_1,43754.2,1,4253.0
291,D_54,O_1,113709.8,1,6798.0
292,D_55,O_1,178864.7,1,2676.0
293,D_56,O_1,150003.6,1,7462.0
294,D_60,O_1,135992.1,1,2246.0
295,D_61,O_1,148402.5,1,5139.0
296,D_62,O_1,59222.5,1,9648.0
297,D_63,O_1,110442.4,1,2973.0
298,D_64,O_1,88433.2,1,3846.0
299,D_65,O_1,116342.9,1,2841.0
300,D_53,O_2,27089.7,1,4253.0
301,D_54,O_2,66788.5,1,6798.0
302,D_55,O_2,131943.4,1,2676.0
303,D_56,O_2,103082.3,1,7462.0
304,D_60,O_2,89070.8,1,2246.0
305,D_61,O_2,101481.2,1,5139.0
306,D_62,O_2,38647.2,1,9648.0
307,D_63,O_2,63521.1,1,2973.0
308,D_64,O_2,41511.9,1,3846.0
309,D_65,O_2,69421.6,1,2841.0
310,D_57,O_4,77089.3,1,4497.0
311,D_58,O_4,66235.8,1,4524.0
312,D_59,O_4,57033.0,1,3136.0
313,D_57,O_5,41473.7,1,4497.0
314,D_58,O_5,30620.2,1,4524.0
315,D_59,O_5,15206.4,1,3136.0
316,D_53,O_6,82233.8,1,4253.0
317,D_54,O_6,9725.5,1,6798.0
318,D_55,O_6,103202.5,1,2676.0
319,D_56,O_6,46019.3,1,7462.0
320,D_60,O_6,61910.0,1,2246.0
321,D_61,O_6,44418.2,1,5139.0
322,D_62,O_6,93791.3,1,9648.0
323,D_63,O_6,36352.6,1,2973.0
324,D_64,O_6,36562.5,1,3846.0
325,D_65,O_6,42253.1,1,2841.0
326,D_53,O_7,89546.0,1,4253.0
327,D_54,O_7,11424.4,1,6798.0
328,D_55,O_7,110514.7,1,2676.0
329,D_56,O_7,46284.3,1,7462.0
330,D_60,O_7,69222.2,1,2246.0
331,D_61,O_7,37306.2,1,5139.0
332,D_62,O_7,101103.5,1,9648.0
333,D_63,O_7,43664.8,1,2973.0
334,D_64,O_7,43874.7,1,3846.0
335,D_65,O_7,49565.3,1,2841.0
336,D_53,O_8,127535.5,1,4253.0
337,D_54,O_8,39447.3,1,6798.0
338,D_55,O_8,148504.2,1,2676.0
339,D_56,O_8,34855.0,1,7462.0
340,D_60,O_8,97865.9,1,2246.0
341,D_61,O_8,4024.5,1,5139.0
342,D_62,O_8,139093.0,1,9648.0
343,D_63,O_8,81654.3,1,2973.0
344,D_64,O_8,81864.2,1,3846.0
345,D_65,O_8,87554.8,1,2841.0
