,ID,geometry
0,0,"LINESTRING (94.032978 19.783462, 94.02986799999999 19.768508, 94.038163 19.765006, 94.049837 19.741106, 94.061435 19.731957, 94.057146 19.721498, 94.04717599999999 19.715042, 94.055441 19.697421, 94.040193 19.675401, 94.04026500000001 19.655457, 94.035248 19.648584, 94.04476699999999 19.611711, 94.044259 19.578255, 94.031375 19.547902, 94.01918600000001 19.536342, 94.038425 19.512899, 94.02985099999999 19.500925, 94.02985200000001 19.485763, 94.039401 19.481461, 94.05247300000001 19.486821, 94.060115 19.476274, 94.08175900000001 19.474136, 94.10103599999999 19.439294, 94.128356 19.416838, 94.13486500000001 19.403784, 94.120116 19.392986, 94.140424 19.36901, 94.13732899999999 19.347353)"
1,1,"LINESTRING (93.54914599999999 19.433367, 93.53855299999999 19.436184, 93.525745 19.427255, 93.515824 19.432875, 93.508518 19.425512, 93.502348 19.413363, 93.502217 19.407343, 93.51069 19.396242, 93.51953500000001 19.369796, 93.53054299999999 19.363022, 93.53167999999999 19.351287, 93.54043299999999 19.339118, 93.52598399999999 19.331663, 93.52174700000001 19.318412, 93.53022799999999 19.30249, 93.525995 19.284366, 93.535749 19.273182, 93.55646299999999 19.239886, 93.563316 19.235736, 93.565986 19.228371, 93.571141 19.22396, 93.572109 19.217188, 93.591831 19.182927, 93.599402 19.160762, 93.615872 19.152209, 93.62749599999999 19.15107, 93.635654 19.146963, 93.682169 19.165089, 93.71495299999999 19.189429, 93.719182 19.198568, 93.728579 19.207386, 93.733779 19.216469, 93.739502 19.214904, 93.760639 19.198503, 93.775811 19.198973, 93.78268 19.194901, 93.798582 19.192932, 93.80609 19.186704, 93.815268 19.184641, 93.82390100000001 19.194613, 93.81988699999999 19.2052, 93.822418 19.206899, 93.835426 19.192595, 93.84974800000001 19.189932, 93.85597199999999 19.1926, 93.861104 19.199315, 93.861516 19.207248, 93.85821799999999 19.212574, 93.86053200000001 19.214471, 93.87373599999999 19.212983, 93.89095 19.219594, 93.897451 19.215987, 93.90177799999999 19.216712, 93.92563 19.239224, 93.926356 19.254369, 93.94132000000001 19.290647, 93.948401 19.287318, 93.956549 19.293399, 93.966773 19.289927, 93.979882 19.295054, 93.986606 19.295437, 93.987596 19.293542, 93.991708 19.295794, 93.99118900000001 19.302125, 94.003323 19.315364, 94.008241 19.31684, 94.007932 19.323191, 94.02000200000001 19.339593, 94.02362100000001 19.340022, 94.03758600000001 19.35265, 94.04078199999999 19.362248, 94.04730600000001 19.366801, 94.050167 19.373838, 94.06391000000001 19.381688, 94.11617699999999 19.360057, 94.12192 19.354571, 94.13732899999999 19.347353)"
2,2,"LINESTRING (124.646644 8.482400999999999, 124.704578 8.469716, 124.755715 8.500787000000001, 124.786524 8.472515, 124.828204 8.394086, 124.851353 8.371722999999999, 124.932787 8.380494000000001, 124.957784 8.368567000000001, 124.963659 8.387089, 124.980552 8.373911, 124.976165 8.336586000000001, 124.989685 8.284647, 124.999478 8.270334, 125.026694 8.268147000000001, 125.031604 8.210036000000001, 125.089264 8.185798999999999, 125.132083 8.147918000000001, 125.134298 7.984868, 125.116829 7.973362, 125.091888 7.902555, 125.058962 7.878002, 125.043595 7.840054, 125.074892 7.810598, 125.083324 7.757723, 125.113122 7.714023, 125.103696 7.641714, 125.112674 7.636383, 125.111356 7.608051, 125.128572 7.611165, 125.144272 7.599757, 125.169259 7.60814, 125.184875 7.592882, 125.195796 7.60048, 125.207046 7.564588, 125.21517 7.5697, 125.228352 7.559287, 125.220724 7.532716, 125.251879 7.507471, 125.24791 7.456038, 125.232423 7.450528, 125.230321 7.422743, 125.291382 7.360987, 125.284279 7.345737, 125.308868 7.278873, 125.351284 7.247529, 125.401747 7.246894, 125.411048 7.219831, 125.435149 7.212808, 125.471355 7.173063, 125.479775 7.11411, 125.538562 7.058955, 125.576591 7.055568, 125.612522 7.073812)"
3,3,"LINESTRING (125.17167 6.112798, 125.20353 6.135035, 125.235555 6.209403, 125.250049 6.220814, 125.243863 6.231723, 125.260285 6.257708, 125.251835 6.316733, 125.27346 6.356834, 125.266698 6.376163, 125.301398 6.415434, 125.31558 6.468398, 125.347069 6.485374, 125.356051 6.524715, 125.37231 6.538229, 125.344641 6.597599, 125.351436 6.715368, 125.389788 6.792428, 125.376444 6.811879, 125.454384 6.882783, 125.493485 7.018139, 125.551253 7.05991, 125.576591 7.055568, 125.612522 7.073812)"
4,4,"LINESTRING (105.783374 10.033384, 105.779702 10.029523, 105.785082 10.011557, 105.832892 10.051447, 105.833919 10.074706, 105.864616 10.083504, 105.914416 10.128512, 105.944159 10.20492, 105.932065 10.236264, 105.928681 10.266661, 105.913156 10.269936, 105.905078 10.288911, 105.893989 10.294508, 105.892509 10.323567, 105.955663 10.356953, 106.040016 10.369144, 106.048792 10.403202, 106.072756 10.416441, 106.125492 10.403977, 106.220164 10.406081, 106.305268 10.391943, 106.304842 10.410586, 106.320745 10.425573, 106.310272 10.438658, 106.338674 10.500477, 106.363222 10.54036, 106.433085 10.617205, 106.480811 10.654897, 106.554618 10.680994, 106.594683 10.689555, 106.602108 10.71752, 106.663442 10.750131, 106.659482 10.75067, 106.660295 10.746979, 106.666562 10.749778)"
5,5,"LINESTRING (106.81662 10.949926, 106.817599 10.949314, 106.816369 10.947445, 106.825814 10.937288, 106.827658 10.937161, 106.836848 10.92429, 106.844922 10.91563, 106.848324 10.906377, 106.843499 10.903267, 106.826857 10.896921, 106.80381 10.867741, 106.773482 10.848548, 106.758633 10.822296, 106.756231 10.809993, 106.752803 10.805287, 106.753512 10.803166, 106.749673 10.787586, 106.72135 10.77283, 106.70294 10.768379, 106.685077 10.751793, 106.677661 10.752169, 106.673864 10.749195, 106.672066 10.752955, 106.669544 10.752742, 106.669098 10.748256, 106.666562 10.749778)"
6,6,"LINESTRING (98.993123 18.787774, 99.02706499999999 18.783296, 99.04891499999999 18.698316, 99.04731700000001 18.554334, 99.099006 18.509039, 99.128306 18.509937, 99.135852 18.497831, 99.12897599999999 18.464446, 99.202178 18.452574, 99.215842 18.39425, 99.254694 18.329439, 99.380955 18.314372, 99.445615 18.28709, 99.467648 18.264409, 99.49063200000001 18.280883, 99.518537 18.283401, 99.537425 18.259093, 99.594514 18.229525, 99.59093 18.163704, 99.599451 18.143286, 99.620407 18.134156, 99.672847 18.056456, 99.696631 18.060169, 99.699085 18.037845, 99.735562 18.005244, 99.90253 17.989401, 99.94220300000001 17.953523, 99.97861 17.956663, 100.016088 17.976644, 100.065634 17.969334, 100.060764 17.938466, 100.069179 17.916678, 100.039508 17.865837, 100.059182 17.831508, 100.105721 17.814704, 100.118269 17.78181, 100.131463 17.774317, 100.134636 17.711799, 100.149233 17.669652, 100.126458 17.632714, 100.124651 17.601498, 100.161759 17.561753, 100.210645 17.531327, 100.236447 17.471604, 100.307406 17.461228, 100.325056 17.420654)"
7,7,"LINESTRING (100.988209 13.360945, 100.993083 13.375511, 100.987252 13.391026, 100.989442 13.41114, 101.002896 13.429088, 100.995808 13.464518, 101.005801 13.495921, 101.002108 13.501497, 100.970396 13.522734, 100.95502 13.558904, 100.950783 13.563295, 100.804297 13.595009, 100.757865 13.61182, 100.686053 13.647168, 100.650902 13.601894, 100.639704 13.600876, 100.62823 13.605455, 100.619619 13.612998, 100.61119 13.596852, 100.607211 13.595189, 100.597223 13.601306, 100.596711 13.599628)"
8,8,"LINESTRING (108.212408 16.051237, 108.210576 16.019923, 108.147216 16.003464, 108.195303 15.822059, 108.295338 15.753646, 108.442436 15.54196, 108.516939 15.54966, 108.720241 15.3763, 108.775054 15.270324, 108.816606 15.098936, 108.921539 14.887726, 108.818638 14.836781, 108.793202 14.847562, 108.732408 14.75975, 108.569431 14.705046, 108.534879 14.781241, 108.463096 14.710908, 108.439623 14.652343, 108.289186 14.597115, 108.236719 14.494694, 108.159008 14.459041, 108.099987 14.373946, 108.038231 14.373622, 107.999767 14.346677, 107.994193 14.231657, 107.963204 14.204645, 107.950129 14.122874, 107.986553 14.084905, 108.014944 13.975197, 108.009666 13.885169)"
9,9,"LINESTRING (125.612522 7.073812, 125.576474 7.055668, 125.551253 7.05991, 125.493485 7.018139, 125.454384 6.882783, 125.376444 6.811879, 125.389788 6.792428, 125.351436 6.715368, 125.344641 6.597599, 125.37231 6.538229, 125.356391 6.525426, 125.347069 6.485374, 125.31558 6.468398, 125.301398 6.415434, 125.266698 6.376163, 125.27346 6.356834, 125.251835 6.316733, 125.260285 6.257708, 125.243863 6.231723, 125.250049 6.220814, 125.235555 6.209403, 125.20353 6.135035, 125.17167 6.112798)"
