,ID,geometry
10,10,"LINESTRING (105.84133 21.024496, 105.841337 21.007585, 105.865275 21.008632, 105.874463 21.001443, 105.902293 21.035216, 105.926109 21.025767, 105.916755 21.011399, 105.946369 20.979749, 105.990831 20.898014, 106.009498 20.873175, 106.046753 20.8456, 106.263886 20.863119, 106.315491 20.855319, 106.342528 20.857745, 106.494514 20.814662, 106.540243 20.797711, 106.587451 20.771107, 106.690127 20.765339, 106.747072 20.784833, 106.753162 20.794871, 106.751861 20.843021, 106.716823 20.864753, 106.683431 20.86444)"
11,11,"LINESTRING (104.577517 14.687444, 104.642206 14.644505, 104.650247 14.629036, 104.639239 14.586106, 104.685581 14.534593, 104.718946 14.457837, 104.74314 14.46176, 104.777183 14.44945, 104.83948 14.47225, 104.90499 14.46848, 104.953138 14.492881, 104.980345 14.479203, 104.991549 14.455057, 104.962101 14.384249, 104.973436 14.380308, 104.948043 14.350225, 104.934419 14.248857, 104.956491 14.180219, 104.996237 14.169652, 105.005803 14.133573, 104.985068 14.082866, 104.979403 14.035908, 104.990338 14.020194, 104.988965 13.99088, 104.97082 13.944794, 104.972537 13.922468, 105.01682 13.860748, 104.968569 13.803401)"
12,12,"LINESTRING (101.083582 4.583326, 101.110534 4.575139, 101.131757 4.525396, 101.17307 4.476538, 101.173329 4.445608, 101.19817 4.427907, 101.230974 4.370969, 101.249491 4.298219, 101.248441 4.249578, 101.299828 4.161753, 101.303021 4.067617, 101.31762 3.995988, 101.337031 3.971238, 101.354256 3.913433, 101.384102 3.890734, 101.401545 3.844088, 101.430392 3.824664, 101.466751 3.727013, 101.53493 3.639794, 101.517746 3.594142, 101.524947 3.577207, 101.518654 3.540303, 101.549289 3.42611, 101.545624 3.403499, 101.560507 3.377975, 101.55273 3.348609, 101.55947 3.323127, 101.544967 3.306755, 101.55622 3.282685, 101.551081 3.265469, 101.582176 3.213443, 101.584288 3.18982, 101.599502 3.180946, 101.661381 3.180172, 101.687346 3.141631)"
13,13,"LINESTRING (96.479595 17.336646, 96.466442 17.318029, 96.471009 17.260559, 96.455812 17.228884, 96.423194 17.216723, 96.39532300000001 17.189753, 96.368494 17.181107, 96.32828000000001 17.15302, 96.271331 17.128405, 96.245611 17.107127, 96.197969 17.087801, 96.132316 17.0416, 96.134378 17.022051, 96.127185 17.014281, 96.131086 16.99204, 96.12401800000001 16.975397, 96.134704 16.914821, 96.119852 16.891856, 96.13520699999999 16.88661, 96.142939 16.864794, 96.130765 16.826538, 96.140316 16.792896, 96.1567 16.795334, 96.15603299999999 16.805398)"
14,14,"LINESTRING (106.841612 -6.211834, 106.83755 -6.207965, 106.834837 -6.211026, 106.83061 -6.210703, 106.833301 -6.229886, 106.827503 -6.23666, 106.84522 -6.243247, 106.863558 -6.243038, 106.878154 -6.246481, 106.872473 -6.254552, 106.872847 -6.272897, 106.88289 -6.299511, 106.896323 -6.374428, 106.895755 -6.391279, 106.89858 -6.406686, 106.897092 -6.423476, 106.89169 -6.447912, 106.854285 -6.527443, 106.833691 -6.595295, 106.819534 -6.596839, 106.806936 -6.604592, 106.805171 -6.601674, 106.79991 -6.602687, 106.801936 -6.606584)"
15,15,"LINESTRING (103.616699 -1.599968, 103.616079 -1.615583, 103.60428 -1.613672, 103.600588 -1.653758, 103.560828 -1.758811, 103.519099 -1.785343, 103.55807 -1.859123, 103.582693 -1.868938, 103.64006 -1.940449, 103.689643 -1.974739, 103.699573 -2.013863, 103.674653 -2.086949, 103.678799 -2.143033, 103.75043 -2.187735, 103.805528 -2.253113, 103.86337 -2.257353, 103.94225 -2.36943, 103.939427 -2.442449, 104.013697 -2.487659, 104.030216 -2.512762, 104.085312 -2.516713, 104.113172 -2.536174, 104.101628 -2.636573, 104.067479 -2.667926, 104.057382 -2.699663, 104.081216 -2.774277, 104.111726 -2.789387, 104.127446 -2.786377, 104.145156 -2.808687, 104.203358 -2.80893, 104.231776 -2.850237, 104.351215 -2.855821, 104.38183 -2.870686, 104.434698 -2.924052, 104.530036 -2.920768, 104.55253 -2.929173, 104.614915 -2.912949, 104.694287 -2.913195, 104.730411 -2.944419, 104.745114 -2.916441)"
16,16,"LINESTRING (105.257723 -5.425406, 105.260707 -5.384547, 105.20071 -5.324548, 105.172028 -5.221546, 105.226214 -4.834723, 105.205679 -4.63679, 105.243442 -4.589027, 105.218988 -4.534784, 105.263802 -4.481945, 105.269035 -4.440347, 105.219184 -4.317101, 105.22203 -4.278535, 105.262819 -4.224808, 105.211834 -4.17537, 105.247867 -4.022878, 105.181321 -3.998085, 105.16499 -4.025512, 105.137481 -4.025608, 105.105705 -3.998882, 105.011218 -3.981057, 104.98397 -3.958737, 104.994802 -3.931345, 104.87944 -3.884279, 104.904014 -3.783927, 104.820095 -3.732634, 104.79395 -3.546695, 104.803616 -3.477469, 104.830922 -3.45801, 104.823759 -3.37804, 104.761976 -3.323102, 104.699987 -3.3094, 104.655128 -3.212909, 104.694195 -3.159689, 104.754049 -3.137368, 104.734271 -3.096537, 104.768805 -2.999891, 104.734433 -2.95314, 104.745114 -2.916441)"
17,17,"LINESTRING (103.757679 1.465626, 103.756928 1.464811, 103.760345 1.465111, 103.755667 1.472323, 103.758122 1.473923, 103.76491 1.472173, 103.769117 1.468408, 103.768673 1.46563, 103.765646 1.463144, 103.770389 1.448918, 103.768393 1.443159, 103.768667 1.434005, 103.771782 1.423018, 103.778767 1.426027, 103.784432 1.426617, 103.78955 1.42548, 103.797899 1.421045, 103.805366 1.41496, 103.814317 1.3971, 103.81699 1.394947, 103.826463 1.392973, 103.8541 1.397788, 103.857594 1.395958, 103.858505 1.377086, 103.860999 1.368899, 103.856909 1.354943, 103.862031 1.338883, 103.86238 1.329127, 103.855639 1.320862, 103.846737 1.315792, 103.840091 1.305235, 103.843303 1.301, 103.84432 1.29506, 103.841728 1.288244, 103.845211 1.286551, 103.848755 1.290952, 103.850169 1.289495)"
18,18,"LINESTRING (103.530175 10.608845, 103.527506 10.633955, 103.544676 10.634761, 103.590215 10.600064, 103.615372 10.606717, 103.644722 10.585715, 103.759071 10.583854, 103.817741 10.708176, 103.859903 10.713168, 103.87795 10.725989, 103.91578 10.662784, 103.914204 10.634383, 103.926243 10.616217, 103.98036 10.581059, 104.09697 10.557206, 104.144779 10.573731, 104.16348 10.588853, 104.205274 10.662449, 104.285507 10.713757, 104.314074 10.71692, 104.389939 10.792074, 104.463552 10.841459, 104.656351 10.949069, 104.684406 11.079634, 104.685542 11.168921, 104.711095 11.322424, 104.802093 11.434666, 104.829917 11.534452, 104.885185 11.534703, 104.916181 11.562002)"
19,19,"LINESTRING (104.784897 10.991371, 104.763808 10.989726, 104.735263 11.003779, 104.672131 11.011725, 104.684438 11.079957, 104.685542 11.168921, 104.710902 11.321821, 104.782064 11.40281, 104.802093 11.434666, 104.81326 11.461715, 104.821605 11.522598, 104.829917 11.534452, 104.838167 11.528316, 104.885185 11.534703, 104.916181 11.562002)"
20,20,"LINESTRING (116.11674 5.978149, 116.124142 5.991662, 116.05813 5.960202, 116.042604 5.853755, 116.050038 5.825061, 116.025342 5.775839, 116.034016 5.757632, 116.005811 5.688912, 115.948654 5.702042, 115.91422 5.700697, 115.904356 5.691148, 115.893814 5.66384, 115.899615 5.622976, 115.859971 5.539376, 115.777002 5.451404, 115.740177 5.397217, 115.712099 5.320174, 115.64986 5.256845, 115.647003 5.226625, 115.627416 5.193173, 115.62765 5.165946, 115.645033 5.147601, 115.640177 5.130514, 115.612355 5.126337, 115.551436 5.08377, 115.537914 5.014235, 115.549832 4.991275, 115.506243 4.96239, 115.516693 4.938792, 115.476354 4.928338, 115.437127 4.865776, 115.431285 4.844518, 115.449081 4.832787, 115.448487 4.819435, 115.413556 4.804699, 115.398874 4.856599, 115.368837 4.842822, 115.347118 4.845853, 115.296144 4.819553, 115.264686 4.772816, 115.231089 4.792724, 115.165043 4.752832, 115.155565 4.735257, 115.121252 4.727118, 115.106569 4.708508, 115.078465 4.710602, 115.018773 4.685316, 115.008204 4.701368, 115.020505 4.765351, 114.99308 4.729864, 114.979769 4.66414, 114.965237 4.653945, 114.930276 4.66071, 114.921316 4.637273, 114.895225 4.626301, 114.891446 4.644344, 114.865638 4.641804, 114.814729 4.664573, 114.795677 4.711111, 114.823394 4.76842, 114.862432 4.811748, 114.875828 4.852713, 114.917609 4.874014, 114.939719 4.903098)"
21,21,"LINESTRING (100.525239 13.721962, 100.525502 13.720578, 100.530031 13.721916, 100.526742 13.728424, 100.517374 13.725771, 100.520854 13.747303, 100.539725 13.798854, 100.548268 13.807832, 100.550255 13.814906, 100.548527 13.822284, 100.542442 13.828765, 100.534005 13.841794, 100.533241 13.857603, 100.521586 13.859164, 100.517923 13.869982, 100.521611 13.860171)"
22,22,"LINESTRING (110.33365 1.550259, 110.337107 1.520417, 110.256871 1.503591, 110.186084 1.476732, 110.158177 1.454544, 110.12715 1.45237, 110.15008 1.42436, 110.146572 1.412182, 110.05664 1.345832, 109.978543 1.317153, 109.930884 1.332014, 109.91052 1.321473, 109.867797 1.321299, 109.844053 1.263446, 109.800571 1.228799, 109.767097 1.165084, 109.738024 1.171551, 109.709801 1.160056, 109.695702 1.144401, 109.690176 1.113716, 109.676594 1.096667, 109.646534 1.086137, 109.624679 1.038473, 109.605758 1.037334, 109.557845 0.988084, 109.508051 0.975911, 109.470892 0.935868, 109.510779 0.872794, 109.482311 0.818443, 109.520174 0.802216, 109.545722 0.749466, 109.540822 0.739479, 109.508068 0.718839, 109.461329 0.728743, 109.408062 0.694621, 109.387598 0.6702280000000001, 109.400673 0.609183, 109.374746 0.555858, 109.376912 0.51649, 109.363059 0.491932, 109.320354 0.446219, 109.275139 0.429842, 109.243248 0.438383, 109.206105 0.400022, 109.179853 0.390831, 109.145726 0.322899, 109.073538 0.27291, 109.132125 0.212909, 109.145772 0.212719, 109.161456 0.166934, 109.156168 0.125934, 109.180474 0.084886, 109.254479 0.027943, 109.322344 0.001234, 109.342496 -0.017732, 109.363004 -0.015586, 109.345474 -0.041347, 109.333192 -0.033188)"
23,23,"LINESTRING (102.135279 19.885706, 102.137869 19.84952, 102.201882 19.841823, 102.200729 19.808745, 102.13961 19.70695, 102.00447 19.57483, 101.980904 19.524253, 102.1354 19.44014, 102.149103 19.411265, 102.134895 19.389657, 102.177538 19.323728, 102.163653 19.281563, 102.223418 19.273983, 102.253251 19.236967, 102.212787 19.151483, 102.221317 19.132352, 102.317138 19.141583, 102.429821 19.077163, 102.450764 18.918862, 102.486399 18.868767, 102.536878 18.850623, 102.515812 18.781592, 102.470047 18.795604, 102.420815 18.778814, 102.355915 18.717843, 102.326662 18.614145, 102.360353 18.559838, 102.425618 18.529232, 102.409372 18.463127, 102.425127 18.347241, 102.487223 18.258284, 102.509903 18.096008, 102.545141 18.049883, 102.545664 18.011975, 102.600224 17.966921)"
24,24,"LINESTRING (102.786397 17.415528, 102.790959 17.421161, 102.802708 17.578027, 102.789847 17.613912, 102.786311 17.646885, 102.790572 17.671175, 102.784395 17.68212, 102.759098 17.812318, 102.744998 17.817701, 102.728642 17.858458, 102.716834 17.870614, 102.713358 17.887723, 102.684694 17.874131, 102.65376 17.87126, 102.644228 17.893988, 102.620726 17.909471, 102.617464 17.958946, 102.600224 17.966921)"
25,25,"LINESTRING (94.13732899999999 19.347353, 94.140424 19.36901, 94.120116 19.392986, 94.13486500000001 19.403784, 94.128356 19.416838, 94.10103599999999 19.439294, 94.08175900000001 19.474136, 94.060115 19.476274, 94.05247300000001 19.486821, 94.039401 19.481461, 94.02985200000001 19.485763, 94.02985099999999 19.500925, 94.038425 19.512899, 94.01918600000001 19.536342, 94.031375 19.547902, 94.044259 19.578255, 94.04476699999999 19.611711, 94.035248 19.648584, 94.04026500000001 19.655457, 94.040193 19.675401, 94.055441 19.697421, 94.04717599999999 19.715042, 94.057146 19.721498, 94.061435 19.731957, 94.049837 19.741106, 94.038163 19.765006, 94.02986799999999 19.768508, 94.032978 19.783462)"
26,26,"LINESTRING (116.828845 -1.267516, 116.833187 -1.270501, 116.839703 -1.261859, 116.834661 -1.246716, 116.840368 -1.227663, 116.850497 -1.216886, 116.884367 -1.20209, 116.886224 -1.18554, 116.880152 -1.178069, 116.882 -1.161457, 116.875131 -1.144136, 116.885122 -1.122948, 116.87867 -1.107255, 116.892986 -1.103057, 116.904688 -1.090714, 116.935018 -1.073772, 116.944214 -1.051458, 116.952789 -1.043897, 116.957762 -1.021224, 116.978726 -0.993777, 116.987585 -0.956739, 117.009218 -0.93904, 117.018432 -0.894624, 117.008279 -0.858054, 117.009281 -0.8015060000000001, 117.019196 -0.800551, 117.033355 -0.7789740000000001, 117.032554 -0.767214, 117.050884 -0.759189, 117.057847 -0.738214, 117.065505 -0.73975, 117.090095 -0.717954, 117.095589 -0.718458, 117.097541 -0.701562, 117.085569 -0.687477, 117.08385 -0.675295, 117.096796 -0.660955, 117.097317 -0.649355, 117.106122 -0.642859, 117.099814 -0.6326850000000001, 117.102768 -0.6244960000000001, 117.097971 -0.624861, 117.088074 -0.610379, 117.093491 -0.596785, 117.110552 -0.5850340000000001, 117.109584 -0.562599, 117.121445 -0.549549, 117.114233 -0.539759, 117.12476 -0.531488, 117.121486 -0.520263, 117.116091 -0.521961, 117.119634 -0.505433, 117.127228 -0.5002410000000001, 117.149885 -0.500336)"
27,27,"LINESTRING (94.749493 20.254905, 94.75757400000001 20.25564, 94.751785 20.308717, 94.69996999999999 20.324497, 94.670515 20.361042, 94.688115 20.390255, 94.67069100000001 20.419975, 94.65722700000001 20.487437, 94.66784800000001 20.542392, 94.658585 20.579372, 94.69104 20.658173, 94.671652 20.66861, 94.647966 20.732745, 94.663196 20.772671, 94.652912 20.811293, 94.671097 20.844747, 94.724152 20.858484, 94.7358 20.884739, 94.790611 20.904502, 94.813822 20.892245, 94.835865 20.908591, 94.83371099999999 20.927821, 94.858215 20.945389, 94.867081 20.973226, 94.85406399999999 21.050942, 94.858617 21.164119, 94.88145900000001 21.175397)"
28,28,"LINESTRING (112.630151 -7.979958, 112.636335 -7.985194, 112.648813 -7.929233, 112.696769 -7.847078, 112.697483 -7.829928, 112.733175 -7.803468, 112.745962 -7.77174, 112.733793 -7.757457, 112.699592 -7.665354, 112.707127 -7.664493, 112.706011 -7.622459, 112.715972 -7.565404, 112.697313 -7.5477, 112.704875 -7.521546, 112.687685 -7.482544, 112.697084 -7.448486, 112.692775 -7.42572, 112.698241 -7.376016, 112.709953 -7.345209, 112.72901 -7.345465, 112.740975 -7.289114)"
29,29,"LINESTRING (96.083972 21.974716, 96.08304200000001 21.885096, 95.99607 21.839666, 95.966848 21.801912, 95.997462 21.688386, 95.833012 21.209149, 95.80467 21.153351, 95.78711300000001 21.056443, 95.791189 20.966649, 95.770016 20.867458, 95.769621 20.81192, 95.767414 20.835383)"
30,30,"LINESTRING (97.62803 16.490504, 97.67730899999999 16.499092, 97.683796 16.520376, 97.72729 16.549275, 97.73423800000001 16.57265, 97.65154200000001 16.746356, 97.626633 16.832993, 97.60592 16.84539, 97.610896 16.88844, 97.586484 16.900364, 97.520734 16.966592, 97.483215 16.959834, 97.441174 16.981395, 97.414406 16.951485, 97.405816 16.913333, 97.370172 16.912884, 97.34946100000001 16.942407, 97.33368900000001 17.019271, 97.306849 17.05134, 97.299887 17.119648, 97.276551 17.184033, 97.245558 17.205324, 97.181034 17.226841, 97.135599 17.279857, 97.11995400000001 17.274236, 97.107647 17.290014, 97.037508 17.314242, 97.004606 17.308871, 96.98496 17.393885, 96.96849899999999 17.408998, 96.924077 17.428632, 96.89205200000001 17.429684, 96.89234500000001 17.447144, 96.862098 17.454456, 96.80515800000001 17.502695, 96.77233 17.516875, 96.71673199999999 17.517261, 96.685591 17.493326, 96.68189099999999 17.477109, 96.62642099999999 17.447551, 96.58426900000001 17.466703, 96.527419 17.474256, 96.53149000000001 17.454577, 96.508229 17.358134, 96.479595 17.336646)"
31,31,"LINESTRING (96.15603299999999 16.805398, 96.15393400000001 16.823309, 96.13974 16.825714, 96.133657 16.834796, 96.14303700000001 16.864766, 96.13537599999999 16.886562, 96.120008 16.891556, 96.134783 16.914542, 96.12410800000001 16.975242, 96.13116599999999 16.992162, 96.127293 17.014298, 96.134479 17.022103, 96.132446 17.041613, 96.19782100000001 17.087591, 96.245662 17.107035, 96.27137500000001 17.128319, 96.32832999999999 17.152928, 96.36855199999999 17.180991, 96.395245 17.189571, 96.423294 17.216646, 96.45590300000001 17.228803, 96.471124 17.260508, 96.466442 17.318029, 96.479595 17.336646)"
32,32,"LINESTRING (95.767414 20.835383, 95.791348 20.966573, 95.78727600000001 21.056749, 95.804765 21.153107, 95.833174 21.209103, 95.997811 21.68852, 95.96704699999999 21.801954, 95.996421 21.839697, 96.082857 21.884518, 96.083972 21.974716)"
33,33,"LINESTRING (95.69835000000001 22.578624, 95.69718500000001 22.559957, 95.679185 22.514146, 95.66808399999999 22.462411, 95.670239 22.392193, 95.69438599999999 22.340573, 95.70041999999999 22.308629, 95.73438400000001 22.267208, 95.73230100000001 22.211245, 95.76514 22.151786, 95.76118099999999 22.134336, 95.77612600000001 22.065149, 95.820425 22.013814, 95.84343699999999 22.002942, 95.86983600000001 21.957039, 95.896036 21.938182, 95.92722000000001 21.935963, 95.944368 21.927861, 95.983394 21.882938, 96.0057 21.872406, 95.99330999999999 21.851571, 95.995504 21.838634, 96.017448 21.850054, 96.03241300000001 21.864569, 96.06596500000001 21.874067, 96.083125 21.884916, 96.086443 21.899243, 96.080583 21.911877, 96.08792699999999 21.955291, 96.083972 21.974716)"
34,34,"LINESTRING (94.88145900000001 21.175397, 94.858367 21.164349, 94.85406399999999 21.050942, 94.867081 20.973226, 94.858215 20.945389, 94.83371099999999 20.927821, 94.835865 20.908591, 94.813822 20.892245, 94.790611 20.904502, 94.7358 20.884739, 94.724152 20.858484, 94.671097 20.844747, 94.652912 20.811293, 94.663196 20.772671, 94.647966 20.732745, 94.671652 20.66861, 94.69104 20.658173, 94.658585 20.579372, 94.66784800000001 20.542392, 94.65722700000001 20.487437, 94.67069100000001 20.419975, 94.688115 20.390255, 94.670515 20.361042, 94.69996999999999 20.324497, 94.751785 20.308717, 94.75757400000001 20.25564, 94.749493 20.254905)"
